"location_id","national","region","district","subcounty","facility","location_name","tx_stock","cases","year","week","q1","q3","iqr","potential_outlier"
"A4szRIn3VJl","MOH - Uganda","Tooro","Kasese District","Rugendabara Town Council","RCRA Community Health HC III","RCRA Community Health HC III",25200,8,2022,23,4.725,7103.99999999996,7099.27499999996,1
"A6P3WOAXDru","MOH - Uganda","Tooro","Ntoroko District","Karugutu Town Council","Karugutu HC IV","Karugutu HC IV",405000,199,2022,30,429.95,120879,120449.05,1
"ASNyZE7TMLu","MOH - Uganda","Bunyoro","Masindi District","Kabango Town Council","Kinyara Sugar Works HC III","Kinyara Sugar Works HC III",29208,29,2022,20,34.5,8177.19999999996,8142.69999999996,1
"AZRfSZ46cbp","MOH - Uganda","West Nile","Obongi District","Ewafa Subcounty","Aliba HC III","Aliba HC III",50065004,80,2022,20,86116.35,1848676.09999993,1762559.74999993,1
"AaEPI9rSAtc","MOH - Uganda","South Central","Kalangala District","Kalangala Town Council","Shuhadah HC II","Shuhadah HC II",90,6,2022,4,3.975,29.5499999999999,25.5749999999999,1
"Adxinf4hk0o","MOH - Uganda","Busoga","Iganga District","Nawandala Subcounty","Buzaaya HC II","Buzaaya HC II",394200,477,2022,25,1593,116046,114453,1
"AhDvE2o9F3L","MOH - Uganda","Bukedi","Busia District","Dabani Subcounty","Dabani Hospital","Dabani Hospital",146700,16,2022,41,211.5,18360,18148.5,1
"BttsyxGJcTm","MOH - Uganda","Tooro","Kamwenge District","Bihanga Subcounty (Kamwenge District)","Kabingo (Bihanga) HC II","Kabingo (Bihanga) HC II",28684800,126,2022,26,1093.5,7984889.99999996,7983796.49999996,1
"CK05rJs1H25","MOH - Uganda","Acholi","Kitgum District","Pager Division","Diocese Of Kitgum HC II","Diocese Of Kitgum HC II",110000,19,2022,30,149.25,42500.7499999999,42351.4999999999,1
"CRKrLT3w8EQ","MOH - Uganda","Bunyoro","Kikuube District","Bugambe Subcounty","Bugambe HC III","Bugambe HC III",353600,59,2022,17,80.35,65787.9999999991,65707.6499999991,1
"CbZsLxa0Zp6","MOH - Uganda","Bukedi","Budaka District","Katiira Subcounty","Katira HC III","Katira HC III",393360,218,2022,26,696,136620,135924,1
"CnzSBNkUBIH","MOH - Uganda","Busoga","Namayingo District","Banda Subcounty (Namayingo District)","Lico HC III","Lico HC III",15000,NA,2022,51,31.05,1012.2,981.15,1
"CyZwgWizfmy","MOH - Uganda","West Nile","Koboko District","Keri Town Council","Kuluba HC III","Kuluba HC III",11852220,351,2022,29,13586,243549,229963,1
"D5teAz2N7y8","MOH - Uganda","Kampala","Kampala District","Makindye Division","Praise God Clinic HC II","Praise God Clinic HC II",5184,26,2022,43,12.7,1148.40000000001,1135.70000000001,1
"DDbLsI5S91i","MOH - Uganda","West Nile","Terego District","Odupi Subcounty","Imvepi HC II","Imvepi HC II",1403820,160,2022,18,2559,532080,529521,1
"DVPFLWaZInR","MOH - Uganda","West Nile","Terego District","Katrini Subcounty","Wandi HC III","Wandi HC III",3700080,296,2022,21,34974,402732,367758,1
"DXPEWHcbZwC","MOH - Uganda","Karamoja","Amudat District","Loroo Subcounty","Achorichor HC II","Achorichor HC II",411214,15,2022,14,4081.2,65562.8499999995,61481.6499999995,1
"E1TxjBqAvWB","MOH - Uganda","South Central","Butambala District","Kalamba Subcounty","Epi-Centre Senge HC III","Epi-Centre Senge HC III",510000,31,2022,8,23197.5,72486,49288.5,1
