"district","year","week","total_suspected"
"Masindi District",2022,18,2175
"Masindi District",2022,19,2505
"Masindi District",2022,2,840
"Masindi District",2022,20,1703
"Masindi District",2022,21,2859
"Masindi District",2022,22,3069
"Masindi District",2022,23,2849
"Masindi District",2022,24,3919
"Masindi District",2022,25,2754
"Masindi District",2022,26,3359
"Masindi District",2022,27,2453
"Masindi District",2022,28,3576
"Masindi District",2022,3,997
"Masindi District",2022,31,2119
"Masindi District",2022,37,2174
"Masindi District",2022,4,1628
"Masindi District",2022,41,3087
"Masindi District",2022,45,2629
"Masindi District",2022,48,2123
"Masindi District",2022,5,1690
"Masindi District",2022,50,1304
"Masindi District",2022,51,988
"Masindi District",2022,52,1012
"Masindi District",2022,6,2801
"Masindi District",2022,7,2004
"Masindi District",2022,8,1864
"Kiruhura District",2022,1,2645
"Kiruhura District",2022,10,1785
"Kiruhura District",2022,11,1348
"Kiruhura District",2022,12,1630
"Kiruhura District",2022,16,1324
"Kiruhura District",2022,17,1765
"Kiruhura District",2022,18,1719
"Kiruhura District",2022,20,1130
"Kiruhura District",2022,21,1034
"Kiruhura District",2022,22,1993
"Kiruhura District",2022,23,2696
"Kiruhura District",2022,24,2561
"Kiruhura District",2022,25,3005
"Kiruhura District",2022,26,2472
"Kiruhura District",2022,27,1909
"Kiruhura District",2022,28,2737
"Kiruhura District",2022,29,1935
"Kiruhura District",2022,3,2333
"Kiruhura District",2022,30,1653
"Kiruhura District",2022,31,1240
"Kiruhura District",2022,32,1248
"Kiruhura District",2022,33,826
"Kiruhura District",2022,34,864
"Kiruhura District",2022,35,896
"Kiruhura District",2022,36,659
"Kiruhura District",2022,37,965
"Kiruhura District",2022,38,1609
"Kiruhura District",2022,39,1964
"Kiruhura District",2022,4,2359
"Kiruhura District",2022,40,1961
"Kiruhura District",2022,41,2229
"Kiruhura District",2022,42,1571
"Kiruhura District",2022,43,2347
"Kiruhura District",2022,44,2432
"Kiruhura District",2022,45,2402
"Kiruhura District",2022,46,1164
"Kiruhura District",2022,48,1952
"Kiruhura District",2022,49,1802
"Kiruhura District",2022,5,2206
"Kiruhura District",2022,50,2068
"Kiruhura District",2022,51,2224
"Kiruhura District",2022,52,1762
"Kiruhura District",2022,6,2608
"Kiruhura District",2022,7,2281
"Kiruhura District",2022,8,1859
"Kiruhura District",2022,9,1892
"Kiruhura District",2023,1,2350
"Luwero District",2022,42,4089
"Luwero District",2022,43,4217
"Luwero District",2022,44,5301
"Luwero District",2022,47,4360
"Luwero District",2022,48,4534
"Terego District",2022,1,428156
"Terego District",2022,10,4932
"Terego District",2022,11,6202
"Terego District",2022,12,5128
"Terego District",2022,16,3530
"Terego District",2022,17,4798
"Terego District",2022,18,7023
"Terego District",2022,19,7653
"Terego District",2022,2,3891
"Terego District",2022,21,8314
"Terego District",2022,23,6681
"Terego District",2022,24,7228
"Terego District",2022,25,6545
"Terego District",2022,26,4719
"Terego District",2022,27,4637
"Terego District",2022,28,5624
"Terego District",2022,29,5755
"Terego District",2022,3,3736
"Terego District",2022,30,7563
"Terego District",2022,31,6272
"Terego District",2022,32,5122
"Terego District",2022,33,6184
"Terego District",2022,34,5535
"Terego District",2022,35,5452
"Terego District",2022,36,6512
"Terego District",2022,37,6803
"Terego District",2022,4,3890
"Terego District",2022,40,7555
"Terego District",2022,41,5329
"Terego District",2022,42,9050
"Terego District",2022,43,14778
"Terego District",2022,44,7124
"Terego District",2022,45,7311
"Terego District",2022,46,3732
"Terego District",2022,47,6799
"Terego District",2022,48,6061
"Terego District",2022,49,5316
"Terego District",2022,5,3829
"Terego District",2022,50,4702
"Terego District",2022,51,3841
"Terego District",2022,52,3786
"Terego District",2022,6,4273
"Terego District",2022,7,5616
"Terego District",2022,8,6649
"Terego District",2022,9,4109
"Terego District",2023,1,2760
"Koboko District",2022,11,2578
"Koboko District",2022,12,2090
"Koboko District",2022,14,1138
"Koboko District",2022,15,2054
"Koboko District",2022,16,1772
"Koboko District",2022,17,3075
"Koboko District",2022,18,2824
"Koboko District",2022,19,2804
"Koboko District",2022,2,1224
"Koboko District",2022,21,1678
"Koboko District",2022,22,3087
"Koboko District",2022,23,3829
"Koboko District",2022,26,1968
"Koboko District",2022,28,3030
"Koboko District",2022,29,2551
"Koboko District",2022,3,946
"Koboko District",2022,30,2775
"Koboko District",2022,31,2348
"Koboko District",2022,33,1495
"Koboko District",2022,34,2259
"Koboko District",2022,35,2833
"Koboko District",2022,36,2021
"Koboko District",2022,37,1889
"Koboko District",2022,39,3355
"Koboko District",2022,40,3567
"Koboko District",2022,41,3057
"Koboko District",2022,43,4366
"Koboko District",2022,44,3403
"Koboko District",2022,45,2618
"Koboko District",2022,47,2087
"Koboko District",2022,48,2492
"Koboko District",2022,49,2346
"Koboko District",2022,5,1962
"Koboko District",2022,50,1281
"Koboko District",2022,51,1284
"Koboko District",2022,52,1152
"Koboko District",2022,7,1611
"Koboko District",2022,8,2669
"Koboko District",2023,1,1887
"Isingiro District",2022,41,6057
"Isingiro District",2022,50,5081
"Isingiro District",2022,22,4450
"Isingiro District",2022,46,1028
"Nakaseke District",2022,11,2243
"Nakaseke District",2022,12,1897
"Nakaseke District",2022,13,1513
"Nakaseke District",2022,14,1521
"Nakaseke District",2022,15,1339
"Nakaseke District",2022,16,1500
"Nakaseke District",2022,17,1867
"Nakaseke District",2022,19,2574
"Nakaseke District",2022,20,1395
"Nakaseke District",2022,21,1446
"Nakaseke District",2022,24,1377
"Nakaseke District",2022,25,1739
"Nakaseke District",2022,26,1579
"Nakaseke District",2022,27,1190
"Nakaseke District",2022,29,1700
"Nakaseke District",2022,30,1549
"Nakaseke District",2022,32,1087
"Nakaseke District",2022,37,1355
"Nakaseke District",2022,38,2615
"Nakaseke District",2023,1,1678
"Mitooma District",2022,14,1400
"Mitooma District",2022,15,1426
"Mitooma District",2022,16,1232
"Mitooma District",2022,17,1571
"Mitooma District",2022,18,1469
"Mitooma District",2022,20,165
"Mitooma District",2022,21,1054
"Mitooma District",2022,22,307
"Mitooma District",2022,23,1326
"Mitooma District",2022,24,1313
"Mitooma District",2022,25,1259
"Mitooma District",2022,26,1608
"Mitooma District",2022,27,1369
"Mitooma District",2022,28,1538
"Mitooma District",2022,31,1194
"Mitooma District",2022,33,1158
"Mitooma District",2022,34,1296
"Mitooma District",2022,35,1255
"Mitooma District",2022,36,1390
"Mitooma District",2022,37,956
"Mitooma District",2022,38,1834
"Mitooma District",2022,39,1789
"Mitooma District",2022,40,2035
"Mitooma District",2022,41,1680
"Mitooma District",2022,42,1775
"Mitooma District",2022,43,2543
"Mitooma District",2022,44,1637
"Mitooma District",2022,45,1554
"Mitooma District",2022,46,386
"Mitooma District",2022,48,1671
"Mitooma District",2022,50,1138
"Mitooma District",2022,51,1499
"Mitooma District",2022,52,1086
"Mitooma District",2023,1,1603
"Mpigi District",2022,10,1473
"Mpigi District",2022,12,1758
"Mpigi District",2022,2,1291
"Mpigi District",2022,27,1517
"Mpigi District",2022,28,1547
"Mpigi District",2022,29,1868
"Mpigi District",2022,30,2095
"Mpigi District",2022,31,1141
"Mpigi District",2022,32,1170
"Mpigi District",2022,33,1137
"Mpigi District",2022,35,968
"Mpigi District",2022,36,1336
"Mpigi District",2022,4,1102
"Mpigi District",2022,43,1659
"Mpigi District",2022,45,1894
"Mpigi District",2022,5,1353
"Mpigi District",2022,50,1045
"Mpigi District",2022,6,895
"Mpigi District",2022,8,1326
"Dokolo District",2022,1,4030
"Dokolo District",2022,10,4503
"Dokolo District",2022,11,5274
"Dokolo District",2022,12,4296
"Dokolo District",2022,13,3706
"Dokolo District",2022,14,3509
"Dokolo District",2022,15,3335
"Dokolo District",2022,16,3620
"Dokolo District",2022,17,4551
"Dokolo District",2022,18,5229
"Dokolo District",2022,19,6089
"Dokolo District",2022,2,2346
"Dokolo District",2022,20,7253
"Dokolo District",2022,21,6755
"Dokolo District",2022,22,5273
"Dokolo District",2022,23,7361
"Dokolo District",2022,24,7569
"Dokolo District",2022,25,4432
"Dokolo District",2022,26,4999
"Dokolo District",2022,27,5339
"Dokolo District",2022,28,4914
"Dokolo District",2022,29,5570
"Dokolo District",2022,3,2366
"Dokolo District",2022,30,6329
"Dokolo District",2022,31,5061
"Dokolo District",2022,32,5620
"Dokolo District",2022,33,4767
"Dokolo District",2022,34,4571
"Dokolo District",2022,35,3994
"Dokolo District",2022,36,3827
"Dokolo District",2022,37,3948
"Dokolo District",2022,38,4502
"Dokolo District",2022,39,4291
"Dokolo District",2022,4,2741
"Dokolo District",2022,40,4219
"Dokolo District",2022,41,3981
"Dokolo District",2022,42,4172
"Dokolo District",2022,43,9279
"Dokolo District",2022,44,7803
"Dokolo District",2022,45,5637
"Dokolo District",2022,47,4044
"Dokolo District",2022,48,4369
"Dokolo District",2022,49,3471
"Dokolo District",2022,5,2325
"Dokolo District",2022,50,2998
"Dokolo District",2022,51,2483
"Dokolo District",2022,52,2348
"Dokolo District",2022,6,2554
"Dokolo District",2022,7,1839
"Dokolo District",2022,8,4643
"Dokolo District",2022,9,4526
"Dokolo District",2023,1,2315
"Tororo District",2022,3,5715
"Lira City",2022,1,1676
"Lira City",2022,10,2334
"Lira City",2022,13,1926
"Lira City",2022,14,1667
"Lira City",2022,15,1448
"Lira City",2022,16,1592
"Lira City",2022,17,1867
"Lira City",2022,18,2026
"Lira City",2022,19,2349
"Lira City",2022,2,1119
"Lira City",2022,20,2230
"Lira City",2022,21,2368
"Lira City",2022,23,3227
"Lira City",2022,24,2441
"Lira City",2022,25,2452
"Lira City",2022,26,2363
"Lira City",2022,27,2299
"Lira City",2022,28,2457
"Lira City",2022,29,2649
"Lira City",2022,3,1458
"Lira City",2022,30,2731
"Lira City",2022,31,2233
"Lira City",2022,32,2728
"Lira City",2022,33,2330
"Lira City",2022,34,2613
"Lira City",2022,36,2018
"Lira City",2022,38,2221
"Lira City",2022,39,1889
"Lira City",2022,4,1538
"Lira City",2022,40,1659
"Lira City",2022,42,1676
"Lira City",2022,43,2622
"Lira City",2022,45,2777
"Lira City",2022,46,1554
"Lira City",2022,49,1666
"Lira City",2022,5,1582
"Lira City",2022,7,2015
"Lira City",2022,9,2533
"Soroti District",2022,1,2931
"Soroti District",2022,11,2627
"Soroti District",2022,12,3451
"Soroti District",2022,16,1928
"Soroti District",2022,17,2434
"Soroti District",2022,18,2432
"Soroti District",2022,19,2698
"Soroti District",2022,2,2065
"Soroti District",2022,22,1859
"Soroti District",2022,23,2391
"Soroti District",2022,24,5074
"Soroti District",2022,25,4960
"Soroti District",2022,26,4110
"Soroti District",2022,27,3324
"Soroti District",2022,28,3524
"Soroti District",2022,29,3401
"Soroti District",2022,3,1303
"Soroti District",2022,30,3391
"Soroti District",2022,31,2175
"Soroti District",2022,33,2467
"Soroti District",2022,34,2414
"Soroti District",2022,35,2101
"Soroti District",2022,36,2159
"Soroti District",2022,37,2417
"Soroti District",2022,38,3388
"Soroti District",2022,39,3407
"Soroti District",2022,4,2022
"Soroti District",2022,40,3368
"Soroti District",2022,42,7736
"Soroti District",2022,43,2747
"Soroti District",2022,44,2429
"Soroti District",2022,45,3092
"Soroti District",2022,48,2164
"Soroti District",2022,49,2909
"Soroti District",2022,5,1904
"Soroti District",2022,50,2260
"Soroti District",2022,51,2389
"Soroti District",2022,52,1897
"Soroti District",2022,6,2092
"Soroti District",2022,7,1973
"Soroti District",2022,8,3012
"Soroti District",2022,9,1943
"Soroti District",2023,1,1297
"Obongi District",2022,10,1622
"Obongi District",2022,13,1251
"Obongi District",2022,14,1287
"Obongi District",2022,17,1354
"Obongi District",2022,18,1110
"Obongi District",2022,19,1895
"Obongi District",2022,20,2023
"Obongi District",2022,21,1502
"Obongi District",2022,23,2176
"Obongi District",2022,24,2096
"Obongi District",2022,25,1894
"Obongi District",2022,26,2504
"Obongi District",2022,27,4087
"Obongi District",2022,28,3728
"Obongi District",2022,29,3400
"Obongi District",2022,30,3539
"Obongi District",2022,31,2942
"Obongi District",2022,32,3323
"Obongi District",2022,33,3061
"Obongi District",2022,34,4033
"Obongi District",2022,35,4378
"Obongi District",2022,36,4699
"Obongi District",2022,37,5209
"Obongi District",2022,38,5360
"Obongi District",2022,39,5436
"Obongi District",2022,40,3894
"Obongi District",2022,41,4106
"Obongi District",2022,42,4615
"Obongi District",2022,43,4485
"Obongi District",2022,44,4263
"Obongi District",2022,45,3939
"Obongi District",2022,46,1374
"Obongi District",2022,47,2717
"Obongi District",2022,48,2651
"Obongi District",2022,49,2785
"Obongi District",2022,50,1830
"Obongi District",2022,51,675
"Obongi District",2023,1,1894
"Kalangala District",2022,10,496
"Kalangala District",2022,13,805
"Kalangala District",2022,14,773
"Kalangala District",2022,15,520
"Kalangala District",2022,16,623
"Kalangala District",2022,18,453
"Kalangala District",2022,19,389
"Kalangala District",2022,21,453
"Kalangala District",2022,4,504
"Kalangala District",2022,47,393
"Kalangala District",2022,51,362
"Oyam District",2022,18,6594
"Oyam District",2022,19,7190
"Oyam District",2022,24,8443
"Oyam District",2022,29,4445
"Oyam District",2022,30,5850
"Oyam District",2022,42,3134
"Oyam District",2022,43,5538
"Ntungamo District",2022,1,4731
"Ntungamo District",2022,10,3090
"Ntungamo District",2022,11,3323
"Ntungamo District",2022,12,2602
"Ntungamo District",2022,13,4265
"Ntungamo District",2022,14,3401
"Ntungamo District",2022,15,3775
"Ntungamo District",2022,16,2546
"Ntungamo District",2022,17,3310
"Ntungamo District",2022,18,2616
"Ntungamo District",2022,19,2619
"Ntungamo District",2022,2,3235
"Ntungamo District",2022,20,2557
"Ntungamo District",2022,21,2471
"Ntungamo District",2022,22,2732
"Ntungamo District",2022,24,2798
"Ntungamo District",2022,3,3768
"Ntungamo District",2022,36,1537
"Ntungamo District",2022,38,3168
"Ntungamo District",2022,4,4277
"Ntungamo District",2022,40,3059
"Ntungamo District",2022,41,3804
"Ntungamo District",2022,42,3027
"Ntungamo District",2022,43,2893
"Ntungamo District",2022,44,3795
"Ntungamo District",2022,45,3892
"Ntungamo District",2022,46,2286
"Ntungamo District",2022,47,3886
"Ntungamo District",2022,48,3924
"Ntungamo District",2022,49,3408
"Ntungamo District",2022,5,3423
"Ntungamo District",2022,50,3358
"Ntungamo District",2022,51,2829
"Ntungamo District",2022,52,2638
"Ntungamo District",2022,6,3913
"Ntungamo District",2022,7,4633
"Ntungamo District",2022,8,4286
"Ntungamo District",2022,9,3675
"Ntungamo District",2023,1,4139
"Agago District",2022,24,542217
"Agago District",2022,30,9019
"Agago District",2022,4,3279
"Agago District",2022,5,3424
"Agago District",2022,6,3289
"Gulu City",2022,1,4049
"Gulu City",2022,10,5008
"Gulu City",2022,11,4905
"Gulu City",2022,12,4630
"Gulu City",2022,13,4027
"Gulu City",2022,14,3917
"Gulu City",2022,15,3780
"Gulu City",2022,16,3735
"Gulu City",2022,17,4604
"Gulu City",2022,18,5134
"Gulu City",2022,19,5593
"Gulu City",2022,20,6298
"Gulu City",2022,21,6446
"Gulu City",2022,22,7544
"Gulu City",2022,23,6921
"Gulu City",2022,24,6129
"Gulu City",2022,25,5626
"Gulu City",2022,26,5415
"Gulu City",2022,27,5390
"Gulu City",2022,28,4695
"Gulu City",2022,29,4443
"Gulu City",2022,3,2945
"Gulu City",2022,30,4202
"Gulu City",2022,31,4322
"Gulu City",2022,32,4589
"Gulu City",2022,33,4326
"Gulu City",2022,34,4561
"Gulu City",2022,35,4577
"Gulu City",2022,36,4908
"Gulu City",2022,37,5094
"Gulu City",2022,38,5346
"Gulu City",2022,39,4940
"Gulu City",2022,4,3619
"Gulu City",2022,40,4218
"Gulu City",2022,41,5113
"Gulu City",2022,42,3752
"Gulu City",2022,43,5240
"Gulu City",2022,44,4263
"Gulu City",2022,45,4914
"Gulu City",2022,46,3728
"Gulu City",2022,48,4289
"Gulu City",2022,49,3732
"Gulu City",2022,5,3736
"Gulu City",2022,50,2605
"Gulu City",2022,51,2920
"Gulu City",2022,52,3432
"Gulu City",2022,6,4365
"Gulu City",2022,7,4562
"Gulu City",2022,8,5914
"Gulu City",2022,9,7018
"Gulu City",2023,1,3383
"Gomba District",2022,10,668
"Gomba District",2022,15,521
"Gomba District",2022,19,881
"Gomba District",2022,39,1044
"Gomba District",2022,40,1432
"Gomba District",2022,41,1457
"Gomba District",2022,42,1055
"Gomba District",2022,43,1292
"Gomba District",2022,44,1538
"Gomba District",2022,46,716
"Gomba District",2022,52,1383
"Sheema District",2022,1,1089
"Sheema District",2022,10,1218
"Sheema District",2022,11,1060
"Sheema District",2022,12,665
"Sheema District",2022,15,760
"Sheema District",2022,19,802
"Sheema District",2022,2,667
"Sheema District",2022,28,1175
"Sheema District",2022,29,1096
"Sheema District",2022,30,1333
"Sheema District",2022,33,688
"Sheema District",2022,34,615
"Sheema District",2022,35,543
"Sheema District",2022,36,580
"Sheema District",2022,37,545
"Sheema District",2022,38,750
"Sheema District",2022,39,744
"Sheema District",2022,4,1152
"Sheema District",2022,41,962
"Sheema District",2022,42,781
"Sheema District",2022,44,906
"Sheema District",2022,45,812
"Sheema District",2022,47,770
"Sheema District",2022,49,846
"Sheema District",2022,51,534
"Sheema District",2022,52,514
"Sheema District",2022,6,1369
"Sheema District",2022,7,1161
"Nakaseke District",2022,1,1105
"Nakaseke District",2022,10,2391
"Nakaseke District",2022,18,2077
"Nakaseke District",2022,2,1009
"Nakaseke District",2022,22,1471
"Nakaseke District",2022,23,1493
"Nakaseke District",2022,3,989
"Nakaseke District",2022,31,1378
"Nakaseke District",2022,33,1504
"Nakaseke District",2022,34,1465
"Nakaseke District",2022,35,1499
"Nakaseke District",2022,36,1451
"Nakaseke District",2022,39,1784
"Nakaseke District",2022,40,1328
"Nakaseke District",2022,42,939
"Nakaseke District",2022,43,1447
"Nakaseke District",2022,44,1865
"Nakaseke District",2022,45,2010
"Nakaseke District",2022,46,478
"Nakaseke District",2022,5,843
"Nakaseke District",2022,52,1144
"Nakaseke District",2022,6,1061
"Nakaseke District",2022,7,1096
"Nakaseke District",2022,8,1241
"Nakaseke District",2022,9,1880
"Iganga District",2022,1,5478
"Iganga District",2022,10,5719
"Iganga District",2022,11,6058
"Iganga District",2022,12,5184
"Iganga District",2022,13,3655
"Iganga District",2022,14,3868
"Iganga District",2022,15,4760
"Iganga District",2022,16,5704
"Iganga District",2022,17,3613
"Iganga District",2022,18,4487
"Iganga District",2022,19,4780
"Iganga District",2022,2,4180
"Iganga District",2022,21,2982
"Iganga District",2022,24,7182
"Iganga District",2022,25,7739
"Iganga District",2022,26,6779
"Iganga District",2022,28,6887
"Iganga District",2022,29,7422
"Iganga District",2022,3,4434
"Iganga District",2022,30,6184
"Iganga District",2022,31,5589
"Iganga District",2022,32,4895
"Iganga District",2022,33,4454
"Iganga District",2022,34,7249
"Iganga District",2022,35,5344
"Iganga District",2022,36,5403
"Iganga District",2022,37,5476
"Iganga District",2022,38,6713
"Iganga District",2022,39,6755
"Iganga District",2022,4,6418
"Iganga District",2022,40,8553
"Iganga District",2022,41,5608
"Iganga District",2022,42,5991
"Iganga District",2022,43,6546
"Iganga District",2022,44,5644
"Iganga District",2022,45,5104
"Iganga District",2022,46,2988
"Iganga District",2022,47,7548
"Iganga District",2022,48,7423
"Iganga District",2022,49,7079
"Iganga District",2022,5,5635
"Iganga District",2022,50,4511
"Iganga District",2022,51,5883
"Iganga District",2022,52,5409
"Iganga District",2022,6,3726
"Iganga District",2022,8,4525
"Iganga District",2022,9,4244
"Kassanda District",2022,24,1300
"Kassanda District",2022,26,1219
"Kassanda District",2022,27,1487
"Kassanda District",2022,28,1703
"Kassanda District",2022,30,1651
"Kassanda District",2022,31,1196
"Kassanda District",2022,33,1546
"Kassanda District",2022,34,1309
"Kassanda District",2022,35,1348
"Kassanda District",2022,36,1100
"Kassanda District",2022,37,1738
"Kassanda District",2022,38,1816
"Kassanda District",2022,45,1860
"Kassanda District",2022,49,1745
"Kassanda District",2022,51,785
"Arua City",2022,36,2455
"Arua City",2022,50,1217
"Arua City",2022,7,1420
"Amolatar District",2022,10,2450
"Amolatar District",2022,11,3391
"Amolatar District",2022,12,3042
"Amolatar District",2022,13,2995
"Amolatar District",2022,14,2683
"Amolatar District",2022,15,2174
"Amolatar District",2022,18,1685
"Amolatar District",2022,19,2601
"Amolatar District",2022,20,2223
"Amolatar District",2022,22,1038
"Amolatar District",2022,24,7364
"Amolatar District",2022,27,4175
"Amolatar District",2022,28,3270
"Amolatar District",2022,29,3952
"Amolatar District",2022,30,3432
"Amolatar District",2022,31,2946
"Amolatar District",2022,33,2890
"Amolatar District",2022,34,3108
"Amolatar District",2022,35,3232
"Amolatar District",2022,36,3697
"Amolatar District",2022,37,3935
"Amolatar District",2022,38,4638
"Amolatar District",2022,39,4558
"Amolatar District",2022,40,3685
"Amolatar District",2022,41,4158
"Amolatar District",2022,42,3722
"Amolatar District",2022,43,3623
"Amolatar District",2022,44,2238
"Amolatar District",2022,45,1980
"Amolatar District",2022,47,1690
"Amolatar District",2022,48,2187
"Amolatar District",2022,49,5217
"Amolatar District",2022,50,3814
"Amolatar District",2022,52,2797
"Amolatar District",2022,8,2827
"Amolatar District",2022,9,2707
"Namayingo District",2022,11,3001
"Namayingo District",2022,12,2479
"Namayingo District",2022,14,1927
"Namayingo District",2022,15,1588
"Namayingo District",2022,16,1782
"Namayingo District",2022,2,2490
"Namayingo District",2022,21,1470
"Namayingo District",2022,22,1409
"Namayingo District",2022,27,2551
"Namayingo District",2022,3,2735
"Namayingo District",2022,6,1651
"Namayingo District",2022,7,2585
"Namayingo District",2022,8,2969
"Namayingo District",2022,9,2583
"Serere District",2022,1,3978
"Serere District",2022,10,4654
"Serere District",2022,12,3431
"Serere District",2022,15,2895
"Serere District",2022,16,2833
"Serere District",2022,17,3122
"Serere District",2022,18,2811
"Serere District",2022,2,2641
"Serere District",2022,3,2903
"Serere District",2022,30,3401
"Serere District",2022,31,3073
"Serere District",2022,32,4176
"Serere District",2022,33,3728
"Serere District",2022,34,3334
"Serere District",2022,35,3176
"Serere District",2022,36,3869
"Serere District",2022,37,4477
"Serere District",2022,38,5277
"Serere District",2022,39,6453
"Serere District",2022,4,3131
"Serere District",2022,40,4592
"Serere District",2022,41,4876
"Serere District",2022,42,4672
"Serere District",2022,43,5472
"Serere District",2022,44,4703
"Serere District",2022,45,3778
"Serere District",2022,47,3168
"Serere District",2022,48,4469
"Serere District",2022,49,3871
"Serere District",2022,50,4420
"Serere District",2022,52,3690
"Serere District",2022,6,4168
"Serere District",2022,8,4126
"Serere District",2022,9,4291
"Rakai District",2022,1,6910
"Rakai District",2022,10,3712
"Rakai District",2022,11,3243
"Rakai District",2022,12,3717
"Rakai District",2022,13,2916
"Rakai District",2022,14,4227
"Rakai District",2022,15,4257
"Rakai District",2022,16,4537
"Rakai District",2022,17,4619
"Rakai District",2022,19,5287
"Rakai District",2022,2,4768
"Rakai District",2022,26,8071
"Rakai District",2022,28,7179
"Rakai District",2022,29,7234
"Rakai District",2022,3,5182
"Rakai District",2022,30,4920
"Rakai District",2022,31,3988
"Rakai District",2022,32,2852
"Rakai District",2022,33,3493
"Rakai District",2022,34,2992
"Rakai District",2022,35,2456
"Rakai District",2022,36,1966
"Rakai District",2022,37,1810
"Rakai District",2022,38,3045
"Rakai District",2022,39,3569
"Rakai District",2022,4,5059
"Rakai District",2022,40,2967
"Rakai District",2022,41,3146
"Rakai District",2022,42,3332
"Rakai District",2022,43,4642
"Rakai District",2022,44,4184
"Rakai District",2022,45,4829
"Rakai District",2022,46,3465
"Rakai District",2022,47,3389
"Rakai District",2022,48,3897
"Rakai District",2022,49,3875
"Rakai District",2022,5,3658
"Rakai District",2022,51,5163
"Rakai District",2022,6,4669
"Rakai District",2022,7,4195
"Rakai District",2022,8,4188
"Rakai District",2023,1,5293
"Busia District",2022,1,6678
"Busia District",2022,10,7807
"Busia District",2022,11,5850
"Busia District",2022,12,4640
"Busia District",2022,13,6145
"Busia District",2022,14,4080
"Busia District",2022,15,3045
"Busia District",2022,16,2966
"Busia District",2022,17,2222
"Busia District",2022,18,2825
"Busia District",2022,19,2450
"Busia District",2022,2,5035
"Busia District",2022,21,1753
"Busia District",2022,22,1917
"Busia District",2022,23,3800
"Busia District",2022,24,3841
"Busia District",2022,25,4063
"Busia District",2022,26,4592
"Busia District",2022,28,3835
"Busia District",2022,29,4177
"Busia District",2022,3,4561
"Busia District",2022,30,3619
"Busia District",2022,31,2273
"Busia District",2022,32,2800
"Busia District",2022,33,2710
"Busia District",2022,34,2848
"Busia District",2022,35,4084
"Busia District",2022,36,2815
"Busia District",2022,37,3195
"Busia District",2022,38,3293
"Busia District",2022,39,2727
"Busia District",2022,4,5506
"Busia District",2022,40,2861
"Busia District",2022,41,2338
"Busia District",2022,42,1774
"Busia District",2022,43,2198
"Busia District",2022,44,2083
"Busia District",2022,45,1970
"Busia District",2022,46,1671
"Busia District",2022,47,3608
"Busia District",2022,48,4481
"Busia District",2022,49,3873
"Busia District",2022,5,4342
"Busia District",2022,50,2323
"Busia District",2022,52,1837
"Busia District",2022,6,5135
"Busia District",2022,7,4244
"Busia District",2022,8,5192
"Busia District",2022,9,6511
"Busia District",2023,1,2733
"Masaka City",2022,13,589
"Masaka City",2022,17,791
"Masaka City",2022,24,865
"Masaka City",2022,25,958
"Masaka City",2022,31,699
"Masaka City",2022,32,378
"Masaka City",2022,36,595
"Masaka City",2022,37,540
"Masaka City",2022,39,889
"Masaka City",2022,42,1021
"Masaka City",2022,45,1051
"Masaka City",2022,46,661
"Masaka City",2022,50,805
"Masaka City",2022,7,778
"Rakai District",2022,18,4677
"Rakai District",2022,20,2237
"Rakai District",2022,21,4968
"Rakai District",2022,22,4617
"Rakai District",2022,23,5795
"Rakai District",2022,24,5775
"Rakai District",2022,25,7010
"Rakai District",2022,27,7744
"Rakai District",2022,50,6204
"Rakai District",2022,52,5119
"Rakai District",2022,9,3035
"Mityana District",2022,15,1788
"Mityana District",2022,45,3873
"Kasese District",2022,1,5340
"Kasese District",2022,11,7274
"Kasese District",2022,12,7201
"Kasese District",2022,15,5303
"Kasese District",2022,16,9102
"Kasese District",2022,2,5575
"Kasese District",2022,3,7919
"Kasese District",2022,32,7241
"Kasese District",2022,4,14376
"Kasese District",2022,5,11568
"Kasese District",2022,51,3030
"Kasese District",2022,52,3125
"Kasese District",2022,7,8411
"Kasese District",2022,8,9225
"Kasese District",2022,9,6805
"Kasese District",2023,1,4146
"Lira District",2022,1,972
"Lira District",2022,10,3346
"Lira District",2022,11,3420
"Lira District",2022,12,3034
"Lira District",2022,13,2144
"Lira District",2022,14,2102
"Lira District",2022,15,1969
"Lira District",2022,16,1726
"Lira District",2022,17,1889
"Lira District",2022,18,2095
"Lira District",2022,19,3139
"Lira District",2022,20,2281
"Lira District",2022,21,1845
"Lira District",2022,22,1467
"Lira District",2022,23,2806
"Lira District",2022,24,2726
"Lira District",2022,25,2053
"Lira District",2022,26,2377
"Lira District",2022,27,2455
"Lira District",2022,28,2051
"Lira District",2022,29,2264
"Lira District",2022,3,775
"Lira District",2022,30,2976
"Lira District",2022,31,2426
"Lira District",2022,32,2374
"Lira District",2022,33,2130
"Lira District",2022,34,1949
"Lira District",2022,35,1598
"Lira District",2022,36,1656
"Lira District",2022,37,1437
"Lira District",2022,38,1409
"Lira District",2022,39,1535
"Lira District",2022,4,1002
"Lira District",2022,40,922
"Lira District",2022,41,1323
"Lira District",2022,42,1989
"Lira District",2022,43,3694
"Lira District",2022,44,3015
"Lira District",2022,45,2112
"Lira District",2022,46,2266
"Lira District",2022,47,2005
"Lira District",2022,48,2011
"Lira District",2022,49,1614
"Lira District",2022,5,841
"Lira District",2022,50,1397
"Lira District",2022,51,933
"Lira District",2022,52,1027
"Lira District",2022,6,1005
"Lira District",2022,7,966
