periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,033B-CD01a. Malaria (diagnosed)  - Cases
2022W1,W1 2022,2022W1,,MOH - Uganda,Karamoja,Abim District,NREoMszwQZW,Abim District,,,892.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Adjumani District,QYiQ2KqgCxj,Adjumani District,,,3613.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Acholi,Agago District,ztIyIYAzFKp,Agago District,,,2020.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Lango,Alebtong District,p7EEgDEX3jT,Alebtong District,,,871.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Lango,Amolatar District,ZuQHWOaFQVM,Amolatar District,,,1484.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Karamoja,Amudat District,a8RHFdF4DXL,Amudat District,,,210.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Teso,Amuria District,TM6ccNxawqy,Amuria District,,,2041.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Acholi,Amuru District,C0RSe3EWBqU,Amuru District,,,1013.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Lango,Apac District,JyZJhGXKeEq,Apac District,,,1458.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Arua City,iQTVPmAJPkr,Arua City,,,492.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Arua District,WcB3kLlgRTb,Arua District,,,451.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bukedi,Budaka District,kb7iUQISRlx,Budaka District,,,4046.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bugisu,Bududa District,AhwgeZQYj16,Bududa District,,,453.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Busoga,Bugiri District,gUaoj8Geuao,Bugiri District,,,2533.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Busoga,Bugweri District,AIonX4LaJeU,Bugweri District,,,2347.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Ankole,Buhweju District,sWoNWQZ9qrD,Buhweju District,,,131.0
2022W1,W1 2022,2022W1,,MOH - Uganda,North Central,Buikwe District,x75Yh65MaUa,Buikwe District,,,1847.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Teso,Bukedea District,tdZbtg9sZkO,Bukedea District,,,1065.0
2022W1,W1 2022,2022W1,,MOH - Uganda,South Central,Bukomansimbi District,Ame30QOwuX6,Bukomansimbi District,,,1119.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bugisu,Bukwo District,e8m9ZYMRoeR,Bukwo District,,,124.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bugisu,Bulambuli District,auLatLbcOxf,Bulambuli District,,,410.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bunyoro,Buliisa District,CQTmrrriwOq,Buliisa District,,,419.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Tooro,Bundibugyo District,g8M1cWRJZV6,Bundibugyo District,,,1788.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Tooro,Bunyangabu District,iTfbtn6JUsN,Bunyangabu District,,,469.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Ankole,Bushenyi District,It5UGwdHAPF,Bushenyi District,,,998.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bukedi,Busia District,lkuO79O6mRx,Busia District,,,4674.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bukedi,Butaleja District,MtpE3CH6vq3,Butaleja District,,,4653.0
2022W1,W1 2022,2022W1,,MOH - Uganda,South Central,Butambala District,a3LMKP8z8Xj,Butambala District,,,905.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bukedi,Butebo District,FDPqRvcW3NN,Butebo District,,,1494.0
2022W1,W1 2022,2022W1,,MOH - Uganda,North Central,Buvuma District,aZLZPPjqft0,Buvuma District,,,731.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Busoga,Buyende District,F3ccON3OCsL,Buyende District,,,1118.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Lango,Dokolo District,wMQ25dybdgH,Dokolo District,,,2509.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Tooro,Fort Portal City,R1x33oSVR1M,Fort Portal City,,,325.0
2022W1,W1 2022,2022W1,,MOH - Uganda,South Central,Gomba District,lQj3yMM1lI7,Gomba District,,,930.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Acholi,Gulu City,szlrGpmFlu9,Gulu City,,,795.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Acholi,Gulu District,Gwk4wkLz7EW,Gulu District,,,1211.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bunyoro,Hoima City,ZqJ9w7mzitv,Hoima City,,,306.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bunyoro,Hoima District,PJFtfCyp6Rb,Hoima District,,,383.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Ankole,Ibanda District,r8WLxW9JwsS,Ibanda District,,,1829.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Busoga,Iganga District,oNxpMjveyZt,Iganga District,,,3126.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Ankole,Isingiro District,UaR7OHycj8c,Isingiro District,,,6791.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Busoga,Jinja City,wRApaxY2zJf,Jinja City,,,727.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Busoga,Jinja District,aJR2ZxSH7g4,Jinja District,,,1206.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Karamoja,Kaabong District,eOJUW6OGpc7,Kaabong District,,,897.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Kigezi,Kabale District,zBIpPzKYFLp,Kabale District,,,157.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Tooro,Kabarole District,m77oR1YJESj,Kabarole District,,,599.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Teso,Kaberamaido District,QoRZB7xc3j9,Kaberamaido District,,,1497.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bunyoro,Kagadi District,orgY0d5MJa9,Kagadi District,,,268.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bunyoro,Kakumiro District,Lnewt3iIJaK,Kakumiro District,,,554.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Teso,Kalaki District,KOnkIf4N6jA,Kalaki District,,,1075.0
2022W1,W1 2022,2022W1,,MOH - Uganda,South Central,Kalangala District,JrHILmtK0OU,Kalangala District,,,321.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Busoga,Kaliro District,kJCEJnXLgnh,Kaliro District,,,2510.0
2022W1,W1 2022,2022W1,,MOH - Uganda,South Central,Kalungu District,ahyi8Uq4vaj,Kalungu District,,,673.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Kampala,Kampala District,aXmBzv61LbM,Kampala District,,,2207.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Busoga,Kamuli District,oyygQ2STBST,Kamuli District,,,5356.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Tooro,Kamwenge District,uCVQXAdKqL9,Kamwenge District,,,2394.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Kigezi,Kanungu District,aphcy5JTnd6,Kanungu District,,,1226.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bugisu,Kapchorwa District,aginheWSLef,Kapchorwa District,,,151.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Teso,Kapelebyong District,mvN9LBbpf7X,Kapelebyong District,,,358.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Karamoja,Karenga District,Hmh5JQLls1d,Karenga District,,,523.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Tooro,Kasese District,aa8xVDzSpte,Kasese District,,,2495.0
2022W1,W1 2022,2022W1,,MOH - Uganda,North Central,Kassanda District,Pvl4FVXO0RD,Kassanda District,,,283.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Teso,Katakwi District,cSrCFjPKqcG,Katakwi District,,,2156.0
2022W1,W1 2022,2022W1,,MOH - Uganda,North Central,Kayunga District,ykxQEnZGXkj,Kayunga District,,,1227.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Ankole,Kazo District,AS2Seq1grGE,Kazo District,,,2439.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bunyoro,Kibaale District,tM3DsJxMaMX,Kibaale District,,,210.0
2022W1,W1 2022,2022W1,,MOH - Uganda,North Central,Kiboga District,GLHh0BXys9w,Kiboga District,,,809.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bukedi,Kibuku District,Oyxwe3iDqpR,Kibuku District,,,4891.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bunyoro,Kikuube District,L5WBetpBpY3,Kikuube District,,,2753.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Ankole,Kiruhura District,qf9xWZu7Dq8,Kiruhura District,,,1080.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bunyoro,Kiryandongo District,B0G9cqixld8,Kiryandongo District,,,667.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Kigezi,Kisoro District,aPhSZRinfbg,Kisoro District,,,236.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Tooro,Kitagwenda District,qKmESX5Owwr,Kitagwenda District,,,577.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Acholi,Kitgum District,pnTVIF5v27r,Kitgum District,,,1315.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Koboko District,iqsaGItA68C,Koboko District,,,853.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Lango,Kole District,Y4LV8xqkv6J,Kole District,,,906.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Karamoja,Kotido District,aPZzL4CyBTg,Kotido District,,,1104.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Teso,Kumi District,saT18HClZoz,Kumi District,,,2468.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Lango,Kwania District,gCN6sU5BjlR,Kwania District,,,1034.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bugisu,Kween District,h1O9AvNR4jS,Kween District,,,231.0
2022W1,W1 2022,2022W1,,MOH - Uganda,North Central,Kyankwanzi District,IVuiLJYABw6,Kyankwanzi District,,,372.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Tooro,Kyegegwa District,a9tQqo1rSj7,Kyegegwa District,,,1462.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Tooro,Kyenjojo District,O9MoQcpZ4uA,Kyenjojo District,,,1792.0
2022W1,W1 2022,2022W1,,MOH - Uganda,South Central,Kyotera District,REJuxCmTwXG,Kyotera District,,,4202.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Acholi,Lamwo District,xy0M4HhjXtD,Lamwo District,,,2494.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Lango,Lira City,ullSvMrkHdi,Lira City,,,642.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Lango,Lira District,Lj8t70RYnEt,Lira District,,,621.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Busoga,Luuka District,hn1AlYtF1Pu,Luuka District,,,2290.0
2022W1,W1 2022,2022W1,,MOH - Uganda,North Central,Luwero District,tr9XWtYsL5P,Luwero District,,,2192.0
2022W1,W1 2022,2022W1,,MOH - Uganda,South Central,Lwengo District,aqpd0Y9eXZ2,Lwengo District,,,1715.0
2022W1,W1 2022,2022W1,,MOH - Uganda,South Central,Lyantonde District,aPRNSGUR3vk,Lyantonde District,,,962.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Madi-Okollo District,bLoH4VbxCGI,Madi-Okollo District,,,1783.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bugisu,Manafwa District,JIZDvNlIhXS,Manafwa District,,,884.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Maracha District,WyR8Eetj7Uw,Maracha District,,,2615.0
2022W1,W1 2022,2022W1,,MOH - Uganda,South Central,Masaka City,KJkbK1YhjFb,Masaka City,,,452.0
2022W1,W1 2022,2022W1,,MOH - Uganda,South Central,Masaka District,bIONCoCnt3Q,Masaka District,,,144.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bunyoro,Masindi District,xr8EMirOASp,Masindi District,,,566.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Busoga,Mayuge District,mv4gKtY0qW8,Mayuge District,,,2739.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bugisu,Mbale City,ALFFOStwtqW,Mbale City,,,1254.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bugisu,Mbale District,yuo5ielNL7W,Mbale District,,,1276.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Ankole,Mbarara City,W7kX446X8Jn,Mbarara City,,,145.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Ankole,Mbarara District,auswb7JO9wY,Mbarara District,,,337.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Ankole,Mitooma District,FLygHiUd2UW,Mitooma District,,,383.0
2022W1,W1 2022,2022W1,,MOH - Uganda,North Central,Mityana District,Q7PaNIbyZII,Mityana District,,,1286.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Karamoja,Moroto District,A9kRCvmn6Co,Moroto District,,,707.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Moyo District,W0kQBddyGyh,Moyo District,,,1266.0
2022W1,W1 2022,2022W1,,MOH - Uganda,South Central,Mpigi District,YMMexeHFUay,Mpigi District,,,536.0
2022W1,W1 2022,2022W1,,MOH - Uganda,North Central,Mubende District,lzWuB6bCQeV,Mubende District,,,645.0
2022W1,W1 2022,2022W1,,MOH - Uganda,North Central,Mukono District,a0DfYpC2Rwl,Mukono District,,,1798.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Karamoja,Nabilatuk District,mOXva2xiwQv,Nabilatuk District,,,578.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Karamoja,Nakapiripirit District,VuHCApXcMTm,Nakapiripirit District,,,619.0
2022W1,W1 2022,2022W1,,MOH - Uganda,North Central,Nakaseke District,aSbgVKaeCP0,Nakaseke District,,,819.0
2022W1,W1 2022,2022W1,,MOH - Uganda,North Central,Nakasongola District,aUcYGQCK9ub,Nakasongola District,,,874.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Busoga,Namayingo District,Ut0ysYGEipO,Namayingo District,,,2066.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bugisu,Namisindwa District,TGzZPOmbgn8,Namisindwa District,,,807.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Busoga,Namutumba District,esIUe2tQAtL,Namutumba District,,,2283.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Karamoja,Napak District,EDhGji3EteB,Napak District,,,1138.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Nebbi District,Xjc0LDFa5gW,Nebbi District,,,967.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Teso,Ngora District,aj4hsYK3dVm,Ngora District,,,1195.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Tooro,Ntoroko District,z8D9ER36EKN,Ntoroko District,,,128.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Ankole,Ntungamo District,hAoe9dhZh9V,Ntungamo District,,,1747.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Acholi,Nwoya District,zNgVoDVPYgD,Nwoya District,,,1308.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Obongi District,uTMUclQ5bi6,Obongi District,,,517.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Acholi,Omoro District,S5fvUXgY54J,Omoro District,,,849.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Lango,Otuke District,aXjub1BYn1y,Otuke District,,,1398.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Lango,Oyam District,xpIFdCMhVHG,Oyam District,,,2159.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Acholi,Pader District,aBrjuZk0W31,Pader District,,,1599.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Pakwach District,uqUyTPvQKII,Pakwach District,,,1007.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bukedi,Pallisa District,WiVj4bEhX4P,Pallisa District,,,3544.0
2022W1,W1 2022,2022W1,,MOH - Uganda,South Central,Rakai District,P8iz90eiIrW,Rakai District,,,3661.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Kigezi,Rubanda District,wZrfAgC3WrU,Rubanda District,,,90.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Ankole,Rubirizi District,fS71jg1WYPk,Rubirizi District,,,557.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Kigezi,Rukiga District,fsP0Wxie1UW,Rukiga District,,,375.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Kigezi,Rukungiri District,tugqr4dY6wq,Rukungiri District,,,1062.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Ankole,Rwampara District,tsugXWRXwGu,Rwampara District,,,49.0
2022W1,W1 2022,2022W1,,MOH - Uganda,South Central,Sembabule District,j7AQsnEYmvi,Sembabule District,,,1149.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Teso,Serere District,zJfpujxC1kD,Serere District,,,1966.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Ankole,Sheema District,xAJgEKKAeRA,Sheema District,,,113.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bugisu,Sironko District,wJ2a6YKDFZW,Sironko District,,,1215.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Teso,Soroti City,iRUvO30ij3h,Soroti City,,,422.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Teso,Soroti District,srmGjHrpVE5,Soroti District,,,1770.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Terego District,bJgx6UjvyoP,Terego District,,,2862.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bukedi,Tororo District,KhT80mlwJ3Y,Tororo District,,,4219.0
2022W1,W1 2022,2022W1,,MOH - Uganda,South Central,Wakiso District,aIahLLmtvgT,Wakiso District,,,3216.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Yumbe District,W1JM2Qdhcv3,Yumbe District,,,6818.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Zombo District,A4aGXEfdb8P,Zombo District,,,990.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Karamoja,Abim District,NREoMszwQZW,Abim District,,,656.0
2022W2,W2 2022,2022W2,,MOH - Uganda,West Nile,Adjumani District,QYiQ2KqgCxj,Adjumani District,,,2496.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Acholi,Agago District,ztIyIYAzFKp,Agago District,,,1661.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Lango,Alebtong District,p7EEgDEX3jT,Alebtong District,,,750.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Lango,Amolatar District,ZuQHWOaFQVM,Amolatar District,,,1257.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Karamoja,Amudat District,a8RHFdF4DXL,Amudat District,,,322.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Teso,Amuria District,TM6ccNxawqy,Amuria District,,,1683.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Acholi,Amuru District,C0RSe3EWBqU,Amuru District,,,625.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Lango,Apac District,JyZJhGXKeEq,Apac District,,,797.0
2022W2,W2 2022,2022W2,,MOH - Uganda,West Nile,Arua City,iQTVPmAJPkr,Arua City,,,416.0
2022W2,W2 2022,2022W2,,MOH - Uganda,West Nile,Arua District,WcB3kLlgRTb,Arua District,,,284.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bukedi,Budaka District,kb7iUQISRlx,Budaka District,,,2245.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bugisu,Bududa District,AhwgeZQYj16,Bududa District,,,343.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Busoga,Bugiri District,gUaoj8Geuao,Bugiri District,,,1748.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Busoga,Bugweri District,AIonX4LaJeU,Bugweri District,,,1627.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Ankole,Buhweju District,sWoNWQZ9qrD,Buhweju District,,,37.0
2022W2,W2 2022,2022W2,,MOH - Uganda,North Central,Buikwe District,x75Yh65MaUa,Buikwe District,,,1525.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Teso,Bukedea District,tdZbtg9sZkO,Bukedea District,,,1196.0
2022W2,W2 2022,2022W2,,MOH - Uganda,South Central,Bukomansimbi District,Ame30QOwuX6,Bukomansimbi District,,,861.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bugisu,Bukwo District,e8m9ZYMRoeR,Bukwo District,,,109.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bugisu,Bulambuli District,auLatLbcOxf,Bulambuli District,,,377.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bunyoro,Buliisa District,CQTmrrriwOq,Buliisa District,,,375.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Tooro,Bundibugyo District,g8M1cWRJZV6,Bundibugyo District,,,906.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Tooro,Bunyangabu District,iTfbtn6JUsN,Bunyangabu District,,,272.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Ankole,Bushenyi District,It5UGwdHAPF,Bushenyi District,,,786.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bukedi,Busia District,lkuO79O6mRx,Busia District,,,3183.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bukedi,Butaleja District,MtpE3CH6vq3,Butaleja District,,,2721.0
2022W2,W2 2022,2022W2,,MOH - Uganda,South Central,Butambala District,a3LMKP8z8Xj,Butambala District,,,820.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bukedi,Butebo District,FDPqRvcW3NN,Butebo District,,,977.0
2022W2,W2 2022,2022W2,,MOH - Uganda,North Central,Buvuma District,aZLZPPjqft0,Buvuma District,,,394.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Busoga,Buyende District,F3ccON3OCsL,Buyende District,,,933.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Lango,Dokolo District,wMQ25dybdgH,Dokolo District,,,1384.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Tooro,Fort Portal City,R1x33oSVR1M,Fort Portal City,,,223.0
2022W2,W2 2022,2022W2,,MOH - Uganda,South Central,Gomba District,lQj3yMM1lI7,Gomba District,,,779.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Acholi,Gulu City,szlrGpmFlu9,Gulu City,,,692.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Acholi,Gulu District,Gwk4wkLz7EW,Gulu District,,,877.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bunyoro,Hoima City,ZqJ9w7mzitv,Hoima City,,,227.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bunyoro,Hoima District,PJFtfCyp6Rb,Hoima District,,,212.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Ankole,Ibanda District,r8WLxW9JwsS,Ibanda District,,,1567.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Busoga,Iganga District,oNxpMjveyZt,Iganga District,,,2368.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Ankole,Isingiro District,UaR7OHycj8c,Isingiro District,,,5977.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Busoga,Jinja City,wRApaxY2zJf,Jinja City,,,466.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Busoga,Jinja District,aJR2ZxSH7g4,Jinja District,,,1015.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Karamoja,Kaabong District,eOJUW6OGpc7,Kaabong District,,,900.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Kigezi,Kabale District,zBIpPzKYFLp,Kabale District,,,149.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Tooro,Kabarole District,m77oR1YJESj,Kabarole District,,,354.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Teso,Kaberamaido District,QoRZB7xc3j9,Kaberamaido District,,,694.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bunyoro,Kagadi District,orgY0d5MJa9,Kagadi District,,,188.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bunyoro,Kakumiro District,Lnewt3iIJaK,Kakumiro District,,,520.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Teso,Kalaki District,KOnkIf4N6jA,Kalaki District,,,737.0
2022W2,W2 2022,2022W2,,MOH - Uganda,South Central,Kalangala District,JrHILmtK0OU,Kalangala District,,,190.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Busoga,Kaliro District,kJCEJnXLgnh,Kaliro District,,,2226.0
2022W2,W2 2022,2022W2,,MOH - Uganda,South Central,Kalungu District,ahyi8Uq4vaj,Kalungu District,,,575.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Kampala,Kampala District,aXmBzv61LbM,Kampala District,,,2111.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Busoga,Kamuli District,oyygQ2STBST,Kamuli District,,,3091.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Tooro,Kamwenge District,uCVQXAdKqL9,Kamwenge District,,,1261.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Kigezi,Kanungu District,aphcy5JTnd6,Kanungu District,,,1298.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bugisu,Kapchorwa District,aginheWSLef,Kapchorwa District,,,117.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Teso,Kapelebyong District,mvN9LBbpf7X,Kapelebyong District,,,183.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Karamoja,Karenga District,Hmh5JQLls1d,Karenga District,,,496.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Tooro,Kasese District,aa8xVDzSpte,Kasese District,,,2580.0
2022W2,W2 2022,2022W2,,MOH - Uganda,North Central,Kassanda District,Pvl4FVXO0RD,Kassanda District,,,257.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Teso,Katakwi District,cSrCFjPKqcG,Katakwi District,,,1189.0
2022W2,W2 2022,2022W2,,MOH - Uganda,North Central,Kayunga District,ykxQEnZGXkj,Kayunga District,,,869.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Ankole,Kazo District,AS2Seq1grGE,Kazo District,,,1946.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bunyoro,Kibaale District,tM3DsJxMaMX,Kibaale District,,,114.0
2022W2,W2 2022,2022W2,,MOH - Uganda,North Central,Kiboga District,GLHh0BXys9w,Kiboga District,,,713.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bukedi,Kibuku District,Oyxwe3iDqpR,Kibuku District,,,3426.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bunyoro,Kikuube District,L5WBetpBpY3,Kikuube District,,,918.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Ankole,Kiruhura District,qf9xWZu7Dq8,Kiruhura District,,,789.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Bunyoro,Kiryandongo District,B0G9cqixld8,Kiryandongo District,,,671.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Kigezi,Kisoro District,aPhSZRinfbg,Kisoro District,,,227.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Tooro,Kitagwenda District,qKmESX5Owwr,Kitagwenda District,,,406.0
2022W2,W2 2022,2022W2,,MOH - Uganda,Acholi,Kitgum District,pnTVIF5v27r,Kitgum District,,,1065.0
2022W2,W2 2022,2022W2,,MOH - Uganda,West Nile,Koboko District,iqsaGItA68C,Koboko District,,,864.0
