"","orgunitlevel3","periodid","orgunitlevel2","orgunitlevel5","HMIS.033b...Weekly.Epidemiological.Surveillance.Report...Reporting.rate","X033B.AP02..Total.OPD","X033B.CD01b..Malaria..diagnosed....Deaths","X033B.CD01a..Malaria..diagnosed.....Cases","X033B.MA01..Suspected.Malaria..Fever.","X033B.TR08..RDT..Malaria..Tests","X033B.TR01..ACT..Tablets.","X033B.MA02..Cases.Tested.with.RDT","X033B.MA03..RDT.Positive.Cases","X033B.MA04..Cases.Tested.with.Microscopy","X033B.MA05..Microscopy.Positive.Cases"
"63","Katakwi District","2022W44","Teso",29,85.2,4355,NA,1566,3010,11246,390662,2612,1700,375,213
"64","Kayunga District","2022W44","North Central",90,55,5113,NA,1319,2852,24298,110601,1653,874,1223,449
"65","Kazo District","2022W44","Ankole",35,60,3259,NA,1554,2149,21929,640378,2100,1458,49,32
"66","Kibaale District","2022W44","Bunyoro",30,100,2241,NA,902,1461,23713,248958,1295,849,156,76
"67","Kiboga District","2022W44","North Central",48,87.2,4859,NA,1808,2817,11591,562167,2175,1484,642,335
"68","Kibuku District","2022W44","Bukedi",19,100,7239,1,5304,6624,149089,1230541,6086,5266,92,38
"69","Kikuube District","2022W44","Bunyoro",29,75.9,6190,1,3207,5027,22891,444127,4490,2749,535,352
"70","Kiruhura District","2022W44","Ankole",29,100,2910,NA,1120,2432,25472,218785,2357,1333,65,26
"71","Kiryandongo District","2022W44","Bunyoro",41,85.7,5578,NA,2151,4285,31736,811035,3195,1734,260,115
"72","Kisoro District","2022W44","Kigezi",51,97.9,6356,1,187,1135,21113,298846,990,204,153,15
"73","Kitagwenda District","2022W44","Tooro",29,68,1066,NA,593,737,4328,11874,683,500,48,34
"74","Kitgum District","2022W44","Acholi",43,75,7104,NA,3428,5006,169602,1376870,4697,2965,464,201
"75","Koboko District","2022W44","West Nile",25,85,4556,1,2344,3403,50466,1109726,3566,2279,92,42
"76","Kole District","2022W44","Lango",50,100,4423,NA,3502,3600,20119,823214,2890,2328,726,622
"77","Kotido District","2022W44","Karamoja",22,100,4239,NA,1804,3172,189183,3325263,3122,1917,35,14
"78","Kumi District","2022W44","Teso",35,100,5542,NA,2513,4648,109392,914534,4471,2827,180,71
"79","Kwania District","2022W44","Lango",44,61.5,5866,NA,3227,4887,40177,160166,4426,3271,426,245
"80","Kween District","2022W44","Bugisu",27,85.2,1199,NA,254,608,1968,4230,541,188,16,9
"81","Kyankwanzi District","2022W44","North Central",32,100,1891,NA,791,1218,3625,78124,459,336,757,455
"82","Kyegegwa District","2022W44","Tooro",39,66.7,4893,NA,2954,4334,30438,575836,4098,2676,194,71
"83","Kyenjojo District","2022W44","Tooro",54,90.2,7526,NA,3160,4741,10063,533763,3068,2273,1596,1068
"84","Kyotera District","2022W44","South Central",92,100,7997,NA,2412,3838,23200,492110,2551,1663,1297,680
"85","Lamwo District","2022W44","Acholi",32,87.1,6669,NA,3635,5657,31593,2187876,5370,3711,52,25
"86","Lira City","2022W44","Lango",42,100,5207,NA,1209,2219,65918,598119,1733,1028,418,179
"87","Lira District","2022W44","Lango",16,100,4357,NA,2186,3015,23665,324682,2666,1719,191,122
"88","Luuka District","2022W44","Busoga",45,95.3,2893,NA,1975,2435,59583,257204,2281,1633,160,93
"89","Luwero District","2022W44","North Central",101,75.5,10133,NA,2576,5261,30290,1075048,2708,1577,2589,1175
"90","Lwengo District","2022W44","South Central",49,73.8,4202,NA,1768,2905,6183,84160,1705,1037,1191,735
"91","Lyantonde District","2022W44","South Central",50,100,2953,NA,975,1730,8137,123364,1240,759,490,173
"92","Madi-Okollo District","2022W44","West Nile",19,89.5,4098,NA,2195,3224,77972,1833426,3146,2294,79,47
"93","Manafwa District","2022W44","Bugisu",13,75,520,NA,234,426,1122,13327,251,151,156,112
"94","Maracha District","2022W44","West Nile",18,100,4809,NA,2956,4009,312079,1725368,3888,2756,122,75
"95","Masaka City","2022W44","South Central",43,64.3,2740,1,315,892,10818,296733,395,150,477,146
"96","Masaka District","2022W44","South Central",20,93.8,1445,30,400,695,3447,28449,291,174,413,216
"97","Masindi District","2022W44","Bunyoro",52,73.1,4999,NA,1221,2318,20803,606353,1993,1053,321,120
"98","Mayuge District","2022W44","Busoga",61,88.3,3988,NA,1434,3267,32737,75569,2697,1230,468,180
"99","Mbale City","2022W44","Bugisu",48,70.7,4939,4,1137,2261,37768,143370,962,438,1211,365
"100","Mbale District","2022W44","Bugisu",26,96.2,2915,NA,660,1836,10079,189354,943,523,868,292
"101","Mbarara City","2022W44","Ankole",46,73.3,4409,1,123,936,10378,396026,459,78,515,45
"102","Mbarara District","2022W44","Ankole",27,96.2,2095,1,435,1026,7539,105660,988,307,38,6
"103","Mitooma District","2022W44","Ankole",29,79.2,2890,1,573,1637,19761,720199,1602,515,47,13
"104","Mityana District","2022W44","North Central",81,66.2,8230,NA,3304,5091,16127,1081486,2842,2211,1676,1127
"105","Moroto District","2022W44","Karamoja",19,100,2491,NA,962,1839,21533,338391,1810,800,30,3
"106","Moyo District","2022W44","West Nile",35,74.2,2761,NA,1507,2474,20413,3048902,2250,1546,256,95
"107","Mpigi District","2022W44","South Central",61,81,4884,NA,802,2188,18901,1019601,1585,791,495,188
"108","Mubende District","2022W44","North Central",64,70.4,4425,NA,1511,2168,29306,484168,1704,1149,455,287
"109","Mukono District","2022W44","North Central",120,91.9,5908,NA,1369,2730,32333,707103,1886,996,967,419
"110","Nabilatuk District","2022W44","Karamoja",6,100,1150,NA,581,1101,26869,31620,1092,696,8,7
"111","Nakapiripirit District","2022W44","Karamoja",13,76.9,1525,NA,641,1216,33060,118860,1213,642,187,120
"112","Nakaseke District","2022W44","North Central",30,60,3635,NA,983,1865,13152,413698,1260,660,765,266
"113","Nakasongola District","2022W44","North Central",41,61,4241,NA,1955,2935,43908,604784,2871,1806,105,41
"114","Namayingo District","2022W44","Busoga",41,88.2,2901,NA,1821,2354,102374,98997,2207,1493,131,76
"115","Namisindwa District","2022W44","Bugisu",23,63.6,1254,NA,277,657,9560,51000,281,156,154,81
"116","Namutumba District","2022W44","Busoga",35,91.4,3233,NA,1865,3041,12120,176227,2145,1537,831,538
"117","Napak District","2022W44","Karamoja",19,100,2645,NA,787,1715,120993,396533,1589,800,34,6
"118","Nebbi District","2022W44","West Nile",26,96.2,4823,1,2270,3853,50486,1571872,3630,2577,231,87
"119","Ngora District","2022W44","Teso",16,61.5,2178,NA,1158,1989,55031,493452,1911,1073,75,40
"120","Ntoroko District","2022W44","Tooro",11,77.8,1224,NA,260,594,3420,17952,297,121,296,150
"121","Ntungamo District","2022W44","Ankole",68,78.5,6897,1,1436,3795,56132,664234,3283,1368,498,301
"122","Nwoya District","2022W44","Acholi",26,100,4828,NA,2531,3625,38329,623870,3319,2305,313,146
"123","Obongi District","2022W44","West Nile",20,78.9,6299,NA,2206,4263,52947,3038416,3764,2526,198,82
"124","Omoro District","2022W44","Acholi",40,88.9,7047,NA,4283,5887,19070,674630,5485,4102,376,200
"125","Otuke District","2022W44","Lango",17,82.4,2878,NA,2061,2401,56868,366008,2247,1732,90,68
"126","Oyam District","2022W44","Lango",82,74.6,9541,5,5425,7314,77554,471792,7018,5260,190,124
"127","Pader District","2022W44","Acholi",50,97.8,7640,NA,5028,6991,265022,2202598,6699,5103,477,273
"128","Pakwach District","2022W44","West Nile",20,84.2,3917,NA,2695,3938,58928,1210792,3884,2793,37,21
"129","Pallisa District","2022W44","Bukedi",37,83.3,5659,NA,3524,4979,45760,774846,4268,2966,347,146
"130","Rakai District","2022W44","South Central",46,100,5522,NA,2144,4184,13231,2351920,3431,2323,644,326
"131","Rubanda District","2022W44","Kigezi",41,92.1,2164,NA,43,346,5018,57140,286,44,60,6
"132","Rubirizi District","2022W44","Ankole",33,100,2279,NA,307,1421,13809,115854,1042,535,334,61
"133","Rukiga District","2022W44","Kigezi",34,100,2774,NA,96,595,7711,62282,524,89,71,6
"134","Rukungiri District","2022W44","Kigezi",96,69.9,6331,1,929,2585,99253,747926,2394,944,198,29
"135","Rwampara District","2022W44","Ankole",21,65,1033,NA,79,399,7645,54145,373,56,28,9
"136","Sembabule District","2022W44","South Central",51,100,4070,NA,1972,3070,12405,396599,2402,1552,624,313
"137","Serere District","2022W44","Teso",27,100,5369,NA,3127,4703,171708,395604,4496,3084,215,137
"138","Sheema District","2022W44","Ankole",42,81.1,3466,NA,83,857,29302,186611,788,81,89,8
"139","Sironko District","2022W44","Bugisu",36,66.7,2113,NA,682,1381,26509,22459,1110,432,266,44
"140","Soroti City","2022W44","Teso",41,68,5255,NA,1036,2352,74683,632040,1343,678,954,414
"141","Soroti District","2022W44","Teso",16,93.3,2257,NA,1897,2429,44821,206720,2188,1670,219,144
"142","Terego District","2022W44","West Nile",29,100,6865,NA,5239,7124,58882,774246,6973,5514,117,75
"143","Tororo District","2022W44","Bukedi",123,94.7,16693,1,3202,11636,34980,3510530,7885,5327,1655,862
"144","Wakiso District","2022W44","South Central",639,56.9,30876,NA,4170,12300,49434,1818044,6393,2455,5790,1722
"145","Yumbe District","2022W44","West Nile",58,89.3,15219,1,8483,13156,302686,8810611,12167,9020,987,641
"146","Zombo District","2022W44","West Nile",22,90.5,2830,NA,1000,1997,21238,2194546,1962,791,35,12
