"","orgunitlevel3","periodid","orgunitlevel2","orgunitlevel5","HMIS.033b...Weekly.Epidemiological.Surveillance.Report...Reporting.rate","X033B.AP02..Total.OPD","X033B.CD01b..Malaria..diagnosed....Deaths","X033B.CD01a..Malaria..diagnosed.....Cases","X033B.MA01..Suspected.Malaria..Fever.","X033B.TR08..RDT..Malaria..Tests","X033B.TR01..ACT..Tablets.","X033B.MA02..Cases.Tested.with.RDT","X033B.MA03..RDT.Positive.Cases","X033B.MA04..Cases.Tested.with.Microscopy","X033B.MA05..Microscopy.Positive.Cases"
"1","Abim District","2022W44","Karamoja",21,100,2314,NA,1036,1477,32420,285790,1445,924,57,34
"2","Adjumani District","2022W44","West Nile",54,88.2,11965,1,5992,9268,132301,6580555,8562,6092,621,385
"3","Agago District","2022W44","Acholi",43,88.4,8994,NA,6208,8425,109782,2738257,8443,6314,376,107
"4","Alebtong District","2022W44","Lango",21,90.5,5474,NA,3643,4513,22694,772571,4449,3492,64,38
"5","Amolatar District","2022W44","Lango",16,92.9,2747,NA,3339,2238,40613,29692,1990,1488,258,144
"6","Amudat District","2022W44","Karamoja",13,76.9,913,NA,263,728,10316,185484,667,242,56,32
"7","Amuria District","2022W44","Teso",27,92.3,4311,NA,1973,2697,255860,1271368,2431,1512,265,128
"8","Amuru District","2022W44","Acholi",36,71.9,4941,NA,3006,3589,13680,128148,3574,2725,15,8
"9","Apac District","2022W44","Lango",53,79.5,7522,NA,3654,5549,65304,1153000,5086,3740,403,278
"10","Arua City","2022W44","West Nile",57,69.7,2616,9,798,1596,20419,3087675,819,418,786,221
"11","Arua District","2022W44","West Nile",10,90,1024,NA,500,857,13840,984071,852,532,7,5
"12","Budaka District","2022W44","Bukedi",24,100,4646,NA,2984,4749,78027,135820,4613,3438,70,39
"13","Bududa District","2022W44","Bugisu",19,75,1367,NA,246,998,7438,173448,632,154,380,92
"14","Bugiri District","2022W44","Busoga",59,76.4,5246,NA,2716,4531,66712,563438,4105,2732,361,230
"15","Bugweri District","2022W44","Busoga",31,96.7,2275,NA,1108,2091,14567,340571,1655,1266,429,317
"16","Buhweju District","2022W44","Ankole",20,80,1532,NA,89,270,1011,18500,254,72,11,5
"17","Buikwe District","2022W44","North Central",81,46.2,5755,NA,1120,2277,29781,193886,1749,821,516,136
"18","Bukedea District","2022W44","Teso",22,80,2515,NA,1501,2553,125322,167217,2485,1419,32,25
"19","Bukomansimbi District","2022W44","South Central",28,77.8,2365,NA,1117,1704,3897,35197,1154,833,551,326
"20","Bukwo District","2022W44","Bugisu",23,68.4,868,NA,78,380,9280,108442,380,81,25,16
"21","Bulambuli District","2022W44","Bugisu",29,92.3,1947,NA,516,1419,16191,128924,1276,524,122,38
"22","Buliisa District","2022W44","Bunyoro",15,73.3,2854,NA,1949,2657,14880,268886,2091,1560,310,161
"23","Bundibugyo District","2022W44","Tooro",32,100,4414,NA,1712,2960,14570,1436542,2771,1724,186,122
"24","Bunyangabu District","2022W44","Tooro",36,87.9,2787,NA,677,1057,2318,28517,768,325,313,158
"25","Bushenyi District","2022W44","Ankole",47,76.1,4296,NA,639,2007,36201,159274,1811,600,139,53
"26","Busia District","2022W44","Bukedi",37,58.8,2731,2,1190,2083,9618,79636,1631,1106,427,175
"27","Butaleja District","2022W44","Bukedi",33,76,8391,NA,3374,3437,17221,703314,1825,1426,1276,999
"28","Butambala District","2022W44","South Central",24,95.8,4766,NA,1875,2218,13311,445653,1707,1189,516,346
"29","Butebo District","2022W44","Bukedi",11,90.9,1608,NA,1150,1459,1934,161405,892,664,565,421
"30","Buvuma District","2022W44","North Central",14,100,1018,NA,292,758,10831,37231,680,324,78,33
"31","Buyende District","2022W44","Busoga",27,96.3,3210,NA,1408,2663,42824,80023,2001,1288,649,398
"32","Dokolo District","2022W44","Lango",24,88.9,9345,NA,5779,7271,106789,1100710,7190,5731,81,48
"33","Fort Portal City","2022W44","Tooro",28,96.3,5019,2,443,1602,12992,275350,1280,451,300,38
"34","Gomba District","2022W44","South Central",22,71.4,1999,NA,936,1538,1747,32380,907,543,481,286
"35","Gulu City","2022W44","Acholi",50,78.6,8149,NA,1365,3855,23328,339782,2313,1003,1506,317
"36","Gulu District","2022W44","Acholi",24,100,4059,156,3004,3400,32125,215038,3180,2372,25,24
"37","Hoima City","2022W44","Bunyoro",22,55,2848,1,264,541,7947,760232,367,168,162,53
"38","Hoima District","2022W44","Bunyoro",21,94.7,2419,NA,974,1856,16365,784303,1194,776,674,252
"39","Ibanda District","2022W44","Ankole",67,55.3,3746,NA,1323,2263,17883,1591723,2124,1217,616,134
"40","Iganga District","2022W44","Busoga",57,100,7866,1,3333,5644,179071,735468,5198,3178,600,198
"41","Isingiro District","2022W44","Ankole",80,98.6,10324,NA,2058,5992,68781,894393,5797,2049,167,76
"42","Jinja City","2022W44","Busoga",65,82.2,6109,NA,830,2726,24053,166757,2086,684,1018,257
"43","Jinja District","2022W44","Busoga",43,52.5,2530,NA,716,1485,9213,54590,1106,614,371,84
"44","Kaabong District","2022W44","Karamoja",27,100,2299,2,1085,1824,110226,158270,1723,843,101,82
"45","Kabale District","2022W44","Kigezi",66,93.2,6128,NA,70,1000,11602,103148,782,58,221,11
"46","Kabarole District","2022W44","Tooro",34,100,3186,NA,669,1406,7724,103562,1175,594,199,81
"47","Kaberamaido District","2022W44","Teso",16,93.8,4138,1,1830,2885,5032,566419,2325,1772,436,229
"48","Kagadi District","2022W44","Bunyoro",40,76.3,1921,NA,731,1762,10858,77114,1715,1051,40,20
"49","Kakumiro District","2022W44","Bunyoro",43,88.6,4132,NA,2099,3246,32331,834117,2577,1761,639,307
"50","Kalaki District","2022W44","Teso",12,91.7,3029,NA,1823,2502,21205,73814,2011,1502,491,290
"51","Kalangala District","2022W44","South Central",24,100,1822,NA,111,411,10653,440791,274,86,150,30
"52","Kaliro District","2022W44","Busoga",35,85.2,1944,NA,1319,2052,3297,108492,1047,734,1024,553
"53","Kalungu District","2022W44","South Central",45,77.8,3018,NA,1099,1562,2829,60529,399,279,1110,624
"54","Kampala District","2022W44","Kampala",1797,81.4,64010,3,3526,14996,21439,328652,7600,1167,8748,1587
"55","Kamuli District","2022W44","Busoga",74,64.3,6139,1,2477,3648,35160,471140,2626,1700,906,398
"56","Kamwenge District","2022W44","Tooro",41,77.1,7562,1,4085,6072,23903,2060008,5886,4076,213,101
"57","Kanungu District","2022W44","Kigezi",58,60,5188,NA,1277,2842,26915,236913,2484,1184,360,132
"58","Kapchorwa District","2022W44","Bugisu",36,81.5,1493,NA,78,429,3820,70960,361,73,69,11
"59","Kapelebyong District","2022W44","Teso",14,100,2251,NA,1189,2090,61738,1943818,2017,1320,73,15
"60","Karenga District","2022W44","Karamoja",10,100,1231,NA,419,1149,25284,444366,1149,684,NA,NA
"61","Kasese District","2022W44","Tooro",140,84.1,10697,NA,2687,5633,25680,1788416,3896,2160,1652,673
"62","Kassanda District","2022W44","North Central",35,77.1,2972,NA,1646,2400,10480,103293,1904,1280,496,320
