"","orgunitlevel3","periodid","orgunitlevel2","orgunitlevel5","HMIS.033b...Weekly.Epidemiological.Surveillance.Report...Reporting.rate","X033B.AP02..Total.OPD","X033B.CD01b..Malaria..diagnosed....Deaths","X033B.CD01a..Malaria..diagnosed.....Cases","X033B.MA01..Suspected.Malaria..Fever.","X033B.TR08..RDT..Malaria..Tests","X033B.TR01..ACT..Tablets.","X033B.MA02..Cases.Tested.with.RDT","X033B.MA03..RDT.Positive.Cases","X033B.MA04..Cases.Tested.with.Microscopy","X033B.MA05..Microscopy.Positive.Cases"
"131","Rubanda District","2022W42","Kigezi",41,71.1,2427,NA,40,246,4150,45501,184,46,49,6
"132","Rubirizi District","2022W42","Ankole",33,100,1986,NA,275,1079,17326,262441,811,351,243,89
"133","Rukiga District","2022W42","Kigezi",34,100,2471,NA,90,584,6711,55875,521,90,61,6
"134","Rukungiri District","2022W42","Kigezi",96,57,5300,NA,530,1850,87002,610463,1690,600,172,27
"135","Rwampara District","2022W42","Ankole",21,40,759,NA,26,216,5477,45396,216,26,1,NA
"136","Sembabule District","2022W42","South Central",51,52.2,2786,NA,1018,2136,35903,297010,1671,1020,322,191
"137","Serere District","2022W42","Teso",27,95.5,5401,NA,2619,4624,254956,575761,4438,2869,176,126
"138","Sheema District","2022W42","Ankole",42,78.4,3028,1,56,748,24269,188919,630,58,127,9
"139","Sironko District","2022W42","Bugisu",36,78.8,2641,NA,855,1870,31069,32871,1853,699,28,18
"140","Soroti City","2022W42","Teso",41,64,3528,NA,1461,2498,58051,639096,1777,927,715,302
"141","Soroti District","2022W42","Teso",16,66.7,3597,NA,1219,7690,21812,1078736,3225,2111,212,137
"142","Terego District","2022W42","West Nile",29,75.9,7777,NA,5036,6669,64126,1320911,6605,4968,45,34
"143","Tororo District","2022W42","Bukedi",123,56.6,13369,1,1892,8741,15967,2374308,5738,3511,1939,946
"144","Wakiso District","2022W42","South Central",639,45.5,20647,NA,2692,7788,21857,1128827,3024,1241,4759,1386
"145","Yumbe District","2022W42","West Nile",58,76.8,14250,NA,8753,11257,311992,9363490,10884,7714,705,422
"146","Zombo District","2022W42","West Nile",22,66.7,2454,NA,917,1752,25563,1666470,1749,786,9,7
