"","orgunitlevel3","periodid","orgunitlevel2","orgunitlevel5","HMIS.033b...Weekly.Epidemiological.Surveillance.Report...Reporting.rate","X033B.AP02..Total.OPD","X033B.CD01b..Malaria..diagnosed....Deaths","X033B.CD01a..Malaria..diagnosed.....Cases","X033B.MA01..Suspected.Malaria..Fever.","X033B.TR08..RDT..Malaria..Tests","X033B.TR01..ACT..Tablets.","X033B.MA02..Cases.Tested.with.RDT","X033B.MA03..RDT.Positive.Cases","X033B.MA04..Cases.Tested.with.Microscopy","X033B.MA05..Microscopy.Positive.Cases"
"44","Kaabong District","2022W38","Karamoja",27,92.6,3399,NA,1108,2909,155910,246983,2834,1330,75,50
"45","Kabale District","2022W38","Kigezi",66,94.9,6643,NA,121,959,27223,112297,766,88,190,22
"46","Kabarole District","2022W38","Tooro",34,100,2782,NA,524,1144,6468,95101,808,427,247,112
"47","Kaberamaido District","2022W38","Teso",16,100,4681,NA,2118,3919,18108,767087,3603,2231,313,153
"48","Kagadi District","2022W38","Bunyoro",40,71.1,2154,1,385,1067,8013,167010,821,503,89,26
"49","Kakumiro District","2022W38","Bunyoro",43,82.9,3021,NA,1184,2148,19976,313087,1613,858,555,291
"50","Kalaki District","2022W38","Teso",12,83.3,2462,NA,1464,1629,19665,198994,1429,1064,190,110
"51","Kalangala District","2022W38","South Central",24,100,1933,NA,113,391,8415,20562,256,68,133,38
"52","Kaliro District","2022W38","Busoga",35,74.1,3878,NA,2126,2859,20474,385530,2784,1953,51,35
"53","Kalungu District","2022W38","South Central",45,75,3188,1,597,1373,5061,114010,498,260,884,355
"54","Kampala District","2022W38","Kampala",1797,86.7,61703,1,3579,13914,61665,359223,7391,1163,7772,1409
"55","Kamuli District","2022W38","Busoga",74,85.7,10394,NA,4766,7447,101130,643344,6462,4396,753,374
"56","Kamwenge District","2022W38","Tooro",41,91.4,5525,NA,2233,4289,12651,2510384,3737,2087,306,206
"57","Kanungu District","2022W38","Kigezi",58,100,6193,1,1121,2962,40642,731671,2373,1036,455,124
"58","Kapchorwa District","2022W38","Bugisu",36,63,1861,NA,86,487,3504,71923,419,92,70,24
"59","Kapelebyong District","2022W38","Teso",14,100,3344,NA,1942,3028,87920,2668754,2994,2002,37,10
"60","Karenga District","2022W38","Karamoja",10,100,1696,1,550,1435,29961,481512,1428,813,6,1
"61","Kasese District","2022W38","Tooro",140,98.5,12941,NA,2631,6104,23344,2329005,3132,1388,2084,1025
"62","Kassanda District","2022W38","North Central",35,80,2598,NA,1002,1816,3840,165056,1122,618,620,348
"63","Katakwi District","2022W38","Teso",29,88.9,8665,NA,3966,7465,29469,978167,6762,4626,705,384
"64","Kayunga District","2022W38","North Central",90,77.5,6315,NA,1452,3149,38030,192789,1838,878,1039,415
"65","Kazo District","2022W38","Ankole",35,83.3,2662,NA,1009,1983,39239,2751223,1858,1021,110,75
"66","Kibaale District","2022W38","Bunyoro",30,100,2213,NA,792,1454,25783,316031,1263,761,136,58
"67","Kiboga District","2022W38","North Central",48,91.5,3784,NA,1001,2082,6162,486627,1046,644,913,354
"68","Kibuku District","2022W38","Bukedi",19,100,7372,NA,4712,6601,217314,2004446,6458,4665,80,47
"69","Kikuube District","2022W38","Bunyoro",29,82.8,6646,1,2440,4514,19739,350562,3284,1910,1078,551
"70","Kiruhura District","2022W38","Ankole",29,100,2634,3,630,1609,22316,164927,1536,653,55,20
"71","Kiryandongo District","2022W38","Bunyoro",41,82.1,5013,NA,1524,3252,39240,754781,2909,1324,323,129
"72","Kisoro District","2022W38","Kigezi",51,100,7663,NA,179,1066,36418,355381,954,159,95,8
"73","Kitagwenda District","2022W38","Tooro",26,87.5,1121,NA,386,603,920,28977,253,155,342,176
"74","Kitgum District","2022W38","Acholi",43,88.9,5953,NA,2897,4274,70548,97362,3472,2487,952,320
"75","Koboko District","2022W38","West Nile",25,95,4479,NA,2327,3242,12864,712583,3207,2005,38,15
"76","Kole District","2022W38","Lango",50,100,3377,NA,1777,2413,11366,610817,2055,1423,355,141
"77","Kotido District","2022W38","Karamoja",22,90.9,5971,NA,2778,4512,197811,1474791,4494,2683,17,8
"78","Kumi District","2022W38","Teso",35,100,9228,NA,4197,6501,264119,1728209,6016,3521,480,215
"79","Kwania District","2022W38","Lango",44,100,2534,NA,1158,2016,28265,50974,1740,1168,296,186
"80","Kween District","2022W38","Bugisu",27,88.9,2254,NA,305,961,7430,48476,955,298,11,4
"81","Kyankwanzi District","2022W38","North Central",32,100,1790,NA,424,1043,4935,117372,97,77,818,346
"82","Kyegegwa District","2022W38","Tooro",39,70.8,5532,NA,2499,3007,22147,786772,2628,1487,378,153
"83","Kyenjojo District","2022W38","Tooro",54,84.3,4594,1,1409,2426,9080,612959,1360,715,1047,648
"84","Kyotera District","2022W38","South Central",92,98.8,6902,1,1552,2964,38306,674388,2052,1130,897,386
"85","Lamwo District","2022W38","Acholi",32,77.4,9254,NA,5099,7260,28067,371302,6674,4730,184,117
"86","Lira City","2022W38","Lango",42,100,5075,1,884,2221,95637,566376,998,491,1223,385
"87","Lira District","2022W38","Lango",16,100,2269,NA,808,1409,1040,151864,759,431,634,375
"88","Luuka District","2022W38","Busoga",45,90.7,4913,NA,3100,4490,97060,989379,4221,2912,247,154
"89","Luwero District","2022W38","North Central",101,77.6,9336,NA,1823,4615,23226,4007978,2086,1021,2547,963
"90","Lwengo District","2022W38","South Central",49,64.3,3066,NA,594,1374,15777,178083,738,391,592,265
"91","Lyantonde District","2022W38","South Central",50,100,2383,NA,401,1077,17707,212267,837,321,234,60
"92","Madi-Okollo District","2022W38","West Nile",19,94.7,5514,NA,3168,4916,81631,1712252,4872,3494,50,38
"93","Manafwa District","2022W38","Bugisu",13,91.7,1971,NA,919,1026,2082,65700,554,346,336,213
"94","Maracha District","2022W38","West Nile",18,94.4,4827,NA,2983,3870,305536,1321812,3713,2692,179,91
"95","Masaka City","2022W38","South Central",43,67.9,6019,NA,262,678,15455,395994,431,131,264,78
"96","Masaka District","2022W38","South Central",20,87.5,741,NA,145,311,5187,33321,210,94,99,51
"97","Masindi District","2022W38","Bunyoro",52,76.9,5501,NA,1068,2357,21939,632514,1713,774,524,177
"98","Mayuge District","2022W38","Busoga",61,90,7210,2,3428,5879,77611,253040,5354,2990,364,143
"99","Mbale City","2022W38","Bugisu",48,82.9,8123,3,2018,4057,12348,273186,2282,1067,1753,450
"100","Mbale District","2022W38","Bugisu",26,96.2,4695,NA,1525,3527,23629,338862,2620,1307,900,401
"101","Mbarara City","2022W38","Ankole",46,86.7,5145,NA,111,837,10904,427788,547,70,536,45
"102","Mbarara District","2022W38","Ankole",27,96.2,1903,NA,164,825,9411,122585,406,74,406,89
"103","Mitooma District","2022W38","Ankole",29,95.8,3219,NA,495,1834,31756,803975,1758,605,75,24
"104","Mityana District","2022W38","North Central",81,94.6,6180,NA,1969,2906,11530,1263409,1201,810,1277,623
"105","Moroto District","2022W38","Karamoja",19,100,3866,NA,1645,3025,66622,470914,2778,1484,107,47
"106","Moyo District","2022W38","West Nile",35,77.4,5484,NA,2309,3222,3497,3349183,989,609,742,378
"107","Mpigi District","2022W38","South Central",61,69,4502,NA,556,1532,15142,151560,1181,601,300,104
"108","Mubende District","2022W38","North Central",64,90.7,6883,NA,803,2144,30420,575719,1709,699,495,147
"109","Mukono District","2022W38","North Central",120,91.9,7979,NA,1590,4129,75330,685195,2514,1261,1536,535
"110","Nabilatuk District","2022W38","Karamoja",6,100,7563,NA,889,1220,66225,88140,1186,720,34,26
"111","Nakapiripirit District","2022W38","Karamoja",13,100,2398,NA,1013,1869,33048,79376,1834,983,229,170
"112","Nakaseke District","2022W38","North Central",30,80,4578,NA,777,2557,7797,350944,1023,572,578,167
"113","Nakasongola District","2022W38","North Central",41,63.4,3168,NA,1044,2005,31234,592194,1791,966,225,53
"114","Namayingo District","2022W38","Busoga",41,61.8,3633,NA,1901,3179,89361,186596,3017,1893,84,44
"115","Namisindwa District","2022W38","Bugisu",23,63.6,1756,NA,434,747,4078,58271,434,227,312,199
"116","Namutumba District","2022W38","Busoga",35,77.1,3890,1,2621,3559,17123,261633,3115,2227,199,124
"117","Napak District","2022W38","Karamoja",19,94.4,5182,NA,1717,3297,146991,485032,3253,1727,59,20
"118","Nebbi District","2022W38","West Nile",26,92.3,6794,NA,3092,5135,52001,2173365,4861,3160,280,91
"119","Ngora District","2022W38","Teso",16,69.2,2520,NA,1465,2622,102507,713490,2559,1450,62,37
"120","Ntoroko District","2022W38","Tooro",11,88.9,1204,NA,314,623,2659,22349,402,208,213,106
"121","Ntungamo District","2022W38","Ankole",68,83.1,7126,NA,872,3066,85394,965920,2636,678,440,225
"122","Nwoya District","2022W38","Acholi",26,100,4891,NA,2541,3738,36136,392940,3319,2294,418,203
"123","Obongi District","2022W38","West Nile",20,89.5,6862,NA,3176,5360,33052,3548748,4817,3274,323,173
"124","Omoro District","2022W38","Acholi",40,96.3,5555,NA,3245,4120,12105,343473,3476,2448,617,354
"125","Otuke District","2022W38","Lango",17,100,3829,NA,2618,3110,81229,926781,2882,2233,63,44
"126","Oyam District","2022W38","Lango",82,93.7,6032,NA,2732,4185,112774,64250,3922,2376,227,141
"127","Pader District","2022W38","Acholi",50,95.7,8571,NA,5902,8099,58822,150565,6294,4999,743,498
"128","Pakwach District","2022W38","West Nile",20,94.7,5274,NA,2519,4104,64525,2425442,3934,2561,73,37
"129","Pallisa District","2022W38","Bukedi",37,96.7,5626,NA,2879,4657,77146,210938,4368,2581,277,120
"130","Rakai District","2022W38","South Central",46,100,5331,NA,1478,3045,28140,2367617,2676,1516,350,141
"131","Rubanda District","2022W38","Kigezi",41,94.7,4033,NA,60,462,7927,68046,439,58,5,2
"132","Rubirizi District","2022W38","Ankole",33,94.4,1740,NA,209,991,13462,285529,475,225,409,172
"133","Rukiga District","2022W38","Kigezi",34,100,2967,NA,84,490,10402,82587,433,90,48,4
"134","Rukungiri District","2022W38","Kigezi",96,69.9,7133,NA,967,2968,122865,1120132,2773,1060,162,18
"135","Rwampara District","2022W38","Ankole",21,100,1304,NA,104,438,8665,83872,414,73,21,5
"136","Sembabule District","2022W38","South Central",51,100,3265,NA,740,2012,27103,839384,1838,708,172,69
"137","Serere District","2022W38","Teso",27,95.5,6482,NA,2979,5277,295481,1392450,5117,2875,164,87
"138","Sheema District","2022W38","Ankole",42,97.3,3826,NA,60,750,37585,149885,797,71,74,2
"139","Sironko District","2022W38","Bugisu",36,72.7,3540,NA,1061,2642,40079,111428,2331,881,228,48
"140","Soroti City","2022W38","Teso",41,72,4108,NA,1479,2950,60775,835478,2198,1110,774,317
"141","Soroti District","2022W38","Teso",16,86.7,4013,NA,1899,3388,40804,483580,3074,2136,305,188
"142","Terego District","2022W38","West Nile",29,100,8215,NA,5366,7355,46511,1447368,7181,5278,147,97
"143","Tororo District","2022W38","Bukedi",123,100,21954,2,5246,14215,28367,4994709,12456,8063,1299,592
"144","Wakiso District","2022W38","South Central",639,65.9,26658,NA,3416,11630,29636,1771335,5976,2058,5029,1263
"145","Yumbe District","2022W38","West Nile",58,98.2,17339,1,10756,14338,288205,11914887,13425,9905,909,580
"146","Zombo District","2022W38","West Nile",22,81,3926,NA,1193,2565,20523,2244512,2073,961,262,136
