"","orgunitlevel3","periodid","orgunitlevel2","orgunitlevel5","HMIS.033b...Weekly.Epidemiological.Surveillance.Report...Reporting.rate","X033B.AP02..Total.OPD","X033B.CD01b..Malaria..diagnosed....Deaths","X033B.CD01a..Malaria..diagnosed.....Cases","X033B.MA01..Suspected.Malaria..Fever.","X033B.TR08..RDT..Malaria..Tests","X033B.TR01..ACT..Tablets.","X033B.MA02..Cases.Tested.with.RDT","X033B.MA03..RDT.Positive.Cases","X033B.MA04..Cases.Tested.with.Microscopy","X033B.MA05..Microscopy.Positive.Cases"
"1","Abim District","2022W38","Karamoja",21,100,4974,NA,1821,3179,67013,584886,2755,1731,53,36
"2","Adjumani District","2022W38","West Nile",53,87,11923,NA,6813,10858,56982,6311067,9851,7135,594,347
"3","Agago District","2022W38","Acholi",43,100,8720,NA,5617,8304,103885,2279538,8145,6376,509,129
"4","Alebtong District","2022W38","Lango",21,90.5,5427,NA,2873,4065,15888,951696,3577,2578,487,295
"5","Amolatar District","2022W38","Lango",16,100,5727,NA,3659,4638,84177,344398,4520,3284,118,80
"6","Amudat District","2022W38","Karamoja",13,100,2332,NA,553,1368,10270,164344,1344,548,24,9
"7","Amuria District","2022W38","Teso",27,88.5,6438,1,3512,5895,288946,1171398,5788,3654,315,95
"8","Amuru District","2022W38","Acholi",36,93.8,3705,NA,1422,3052,10233,572349,2047,1315,621,387
"9","Apac District","2022W38","Lango",53,81.8,4794,NA,1763,2846,39013,580334,2711,1667,127,63
"10","Arua City","2022W38","West Nile",57,90.9,4219,NA,1532,2996,20624,2370561,2523,1551,656,203
"11","Arua District","2022W38","West Nile",10,90,1581,NA,552,1006,18920,1192756,990,328,16,13
"12","Budaka District","2022W38","Bukedi",24,100,5169,NA,2590,4644,104530,357695,4419,3357,100,35
"13","Bududa District","2022W38","Bugisu",19,75,3456,NA,580,1809,14971,239352,1390,429,419,158
"14","Bugiri District","2022W38","Busoga",59,89.1,7853,NA,3886,6170,131512,1221162,5776,3705,265,171
"15","Bugweri District","2022W38","Busoga",31,96.7,3097,1,1650,2739,46050,370780,2181,1436,588,324
"16","Buhweju District","2022W38","Ankole",20,90,1606,3,78,265,1669,23431,265,69,NA,NA
"17","Buikwe District","2022W38","North Central",81,66.2,8875,NA,1436,3701,56263,620037,2827,1340,675,215
"18","Bukedea District","2022W38","Teso",22,45,3434,NA,2321,3632,184006,296886,3535,2251,86,53
"19","Bukomansimbi District","2022W38","South Central",28,88.9,2217,NA,587,997,10346,167111,848,481,146,98
"20","Bukwo District","2022W38","Bugisu",23,68.4,2694,NA,163,944,14868,134646,944,149,54,54
"21","Bulambuli District","2022W38","Bugisu",29,80.8,2747,NA,876,1980,26904,187556,1851,836,18,2
"22","Buliisa District","2022W38","Bunyoro",15,100,2494,NA,1027,2402,10874,187380,1815,933,169,59
"23","Bundibugyo District","2022W38","Tooro",32,93.5,4937,NA,1781,2877,16251,1879044,2074,1550,713,447
"24","Bunyangabu District","2022W38","Tooro",36,87.9,1901,NA,318,708,1331,24741,296,153,351,208
"25","Bushenyi District","2022W38","Ankole",47,87,9334,NA,576,2296,47713,286301,2126,518,145,39
"26","Busia District","2022W38","Bukedi",37,55.9,4589,NA,1807,3293,27297,573739,3114,2243,302,73
"27","Butaleja District","2022W38","Bukedi",33,68,7340,NA,3466,4711,17554,1386242,3027,2169,1319,742
"28","Butambala District","2022W38","South Central",24,100,2910,NA,713,1447,26373,912756,956,473,441,157
"29","Butebo District","2022W38","Bukedi",11,100,2350,NA,1617,2192,16467,358731,1914,1416,277,202
"30","Buvuma District","2022W38","North Central",14,92.3,1612,NA,396,1068,17887,124292,881,459,234,58
"31","Buyende District","2022W38","Busoga",27,92.6,4349,NA,1948,3680,62197,193812,3296,2058,376,228
"32","Dokolo District","2022W38","Lango",24,100,5622,NA,3193,4502,28822,352683,4226,2992,139,74
"33","Fort Portal City","2022W38","Tooro",28,96.3,4563,NA,424,1311,7783,313668,553,216,744,185
"34","Gomba District","2022W38","South Central",22,66.7,1043,NA,233,560,7790,103646,378,188,173,76
"35","Gulu City","2022W38","Acholi",50,100,11705,NA,1762,5346,27263,1275700,4157,1577,1371,310
"36","Gulu District","2022W38","Acholi",24,95.8,3443,NA,1861,2338,17439,250088,2192,1578,147,106
"37","Hoima City","2022W38","Bunyoro",22,75,2604,3,414,842,8131,968556,522,204,330,157
"38","Hoima District","2022W38","Bunyoro",21,94.7,2799,NA,818,1482,12324,673633,873,469,606,254
"39","Ibanda District","2022W38","Ankole",67,72.3,5392,1,1580,3474,42671,2338303,3339,1823,107,30
"40","Iganga District","2022W38","Busoga",57,95.6,8754,2,3742,6713,224490,1430149,6345,4034,494,200
"41","Isingiro District","2022W38","Ankole",80,93.1,8163,NA,1045,4378,80535,1193774,3738,932,494,173
"42","Jinja City","2022W38","Busoga",65,62.2,6724,NA,978,2824,34251,205287,2628,901,1319,324
"43","Jinja District","2022W38","Busoga",43,55,3260,NA,1190,1899,18291,36540,1493,870,406,107
