"district","year","week","rdt_stock_weeks","rdt_stockout"
"Namayingo District",2022,52,37.3778660959951,"Overstock"
"Namisindwa District",2022,52,8.79611650485437,"Adequate stock"
"Namutumba District",2022,52,8.44180377818403,"Adequate stock"
"Napak District",2022,52,103.574154379879,"Overstock"
"Nebbi District",2022,52,15.7001055966209,"Adequate stock"
"Ngora District",2022,52,18.5320037105751,"Adequate stock"
"Ntoroko District",2022,52,1.9364161849711,"Understock"
"Ntungamo District",2022,52,32.9852160727824,"Overstock"
"Nwoya District",2022,52,8.62120582120582,"Adequate stock"
"Obongi District",2022,52,21.8469879518072,"Overstock"
"Omoro District",2022,52,2.82613449972663,"Understock"
"Otuke District",2022,52,19.9424216765453,"Adequate stock"
"Oyam District",2022,52,15.8141993957704,"Adequate stock"
"Pader District",2022,52,54.0113608895335,"Overstock"
"Pakwach District",2022,52,22.0738372093023,"Overstock"
"Pallisa District",2022,52,21.0507835171213,"Overstock"
"Rakai District",2022,52,3.71088103145146,"Understock"
"Rubanda District",2022,52,15.5182648401826,"Adequate stock"
"Rubirizi District",2022,52,12.241512345679,"Adequate stock"
"Rukiga District",2022,52,21.752380952381,"Overstock"
"Rukungiri District",2022,52,61.9648648648649,"Overstock"
"Rwampara District",2022,52,68.0670731707317,"Overstock"
"Sembabule District",2022,52,5.66059225512528,"Understock"
"Serere District",2022,52,34.9046070460705,"Overstock"
"Sheema District",2022,52,66.3035019455253,"Overstock"
"Sironko District",2022,52,15.5516483516484,"Adequate stock"
"Soroti City",2022,52,47.0583941605839,"Overstock"
"Soroti District",2022,52,361.687401159726,"Overstock"
"Terego District",2022,52,16.9300052826202,"Adequate stock"
"Tororo District",2022,52,3.72831423895254,"Understock"
"Wakiso District",2022,52,3.88917078381626,"Understock"
"Yumbe District",2022,52,43.3615100533443,"Overstock"
"Zombo District",2022,52,4.55676262900598,"Understock"
