"","orgunitlevel3","periodid","orgunitlevel2","orgunitlevel5","HMIS.033b...Weekly.Epidemiological.Surveillance.Report...Reporting.rate","X033B.AP02..Total.OPD","X033B.CD01b..Malaria..diagnosed....Deaths","X033B.CD01a..Malaria..diagnosed.....Cases","X033B.MA01..Suspected.Malaria..Fever.","X033B.TR08..RDT..Malaria..Tests","X033B.TR01..ACT..Tablets.","X033B.MA02..Cases.Tested.with.RDT","X033B.MA03..RDT.Positive.Cases","X033B.MA04..Cases.Tested.with.Microscopy","X033B.MA05..Microscopy.Positive.Cases"
"18","Bukedea District","2022W41","Teso",22,65,3090,NA,2288,3650,153408,143525,3576,2237,61,48
"19","Bukomansimbi District","2022W41","South Central",28,85.2,2482,NA,916,1627,4968,129817,1088,691,538,256
"20","Bukwo District","2022W41","Bugisu",23,36.8,717,NA,16,220,6508,72750,212,35,7,7
"21","Bulambuli District","2022W41","Bugisu",29,88.5,2517,NA,484,1771,23993,133564,1728,695,17,4
"22","Buliisa District","2022W41","Bunyoro",15,60,3451,NA,2101,3290,18179,325168,2530,1640,90,38
"23","Bundibugyo District","2022W41","Tooro",32,93.5,6628,NA,3364,4755,31481,1702268,4477,3115,201,99
"24","Bunyangabu District","2022W41","Tooro",36,87.9,3062,NA,861,1606,3766,56366,1355,649,159,88
"25","Bushenyi District","2022W41","Ankole",47,78.3,4238,NA,540,1898,43001,229643,1768,479,134,28
"26","Busia District","2022W41","Bukedi",37,44.1,3474,1,1132,2338,40402,330724,2078,1416,258,79
"27","Butaleja District","2022W41","Bukedi",33,64,4371,NA,2241,2748,9884,764640,2061,1532,495,370
"28","Butambala District","2022W41","South Central",24,87.5,3034,NA,824,1572,18572,958012,1293,788,228,91
"29","Butebo District","2022W41","Bukedi",11,100,2349,NA,1580,2298,6380,211871,1607,1144,662,429
"30","Buvuma District","2022W41","North Central",14,76.9,1228,NA,346,812,12081,83564,713,287,97,39
"31","Buyende District","2022W41","Busoga",27,92.6,3905,NA,1632,3183,44306,79420,2913,1743,265,162
"32","Dokolo District","2022W41","Lango",24,100,4938,NA,2490,3510,15800,125215,2934,2124,489,305
"33","Fort Portal City","2022W41","Tooro",28,92.6,4553,6,374,1288,14977,359913,897,310,379,85
"34","Gomba District","2022W41","South Central",22,61.9,1590,NA,632,1343,5413,48752,1025,576,310,166
"35","Gulu City","2022W41","Acholi",50,95.2,9165,NA,1728,5103,37345,1604028,3481,1254,1639,423
"36","Gulu District","2022W41","Acholi",24,87.5,3265,NA,1476,2730,34006,515360,2258,1570,319,194
"37","Hoima City","2022W41","Bunyoro",22,65,3061,2,403,910,11775,948412,704,333,151,86
"38","Hoima District","2022W41","Bunyoro",21,73.7,2187,NA,765,1587,10295,334871,1115,626,465,237
"39","Ibanda District","2022W41","Ankole",67,53.2,3529,NA,1184,2252,25750,1446524,2109,1293,147,73
"40","Iganga District","2022W41","Busoga",57,95.6,8987,1,3637,5608,189569,941451,5080,3326,686,259
"41","Isingiro District","2022W41","Ankole",80,93.1,10901,NA,1745,6057,90487,1010225,5843,1911,172,74
"42","Jinja City","2022W41","Busoga",65,66.7,4556,NA,776,2314,19517,128193,1826,691,478,103
"43","Jinja District","2022W41","Busoga",43,55,2682,NA,1010,1878,14287,28540,1577,960,301,66
"44","Kaabong District","2022W41","Karamoja",27,14.8,96,NA,55,152,15400,40505,152,59,NA,NA
"45","Kabale District","2022W41","Kigezi",66,91.5,5549,NA,76,937,13490,55516,736,63,205,17
"46","Kabarole District","2022W41","Tooro",34,100,3403,NA,978,1761,9835,133808,1659,1004,121,47
"47","Kaberamaido District","2022W41","Teso",16,100,5062,2,2813,4632,12057,471424,4164,2986,325,151
"48","Kagadi District","2022W41","Bunyoro",40,78.9,4252,NA,1446,3288,25325,334902,3199,2153,56,25
"49","Kakumiro District","2022W41","Bunyoro",43,71.4,4105,NA,1712,2728,42631,407022,2221,1350,498,267
"50","Kalaki District","2022W41","Teso",12,100,3345,NA,1956,2825,19258,189518,2650,1817,160,84
"51","Kalangala District","2022W41","South Central",24,100,1780,NA,79,357,1466,14771,196,55,147,24
"52","Kaliro District","2022W41","Busoga",35,74.1,2592,NA,1621,2165,7699,115148,1964,1269,279,220
"53","Kalungu District","2022W41","South Central",45,69.4,3302,NA,733,1680,2867,82006,743,433,902,474
"54","Kampala District","2022W41","Kampala",1797,89.4,64171,1,3634,14657,56378,362800,7181,1140,8651,1558
"55","Kamuli District","2022W41","Busoga",74,72.9,7501,NA,3243,5175,55119,633003,4182,2623,600,338
"56","Kamwenge District","2022W41","Tooro",41,85.7,7696,NA,3517,5134,48564,4586711,4976,3355,154,52
"57","Kanungu District","2022W41","Kigezi",58,81.8,5918,NA,1517,3161,35102,456597,2741,1344,381,148
"58","Kapchorwa District","2022W41","Bugisu",36,70.4,1113,NA,69,398,3080,20499,304,54,63,16
"59","Kapelebyong District","2022W41","Teso",14,92.9,2722,NA,1443,2442,89408,2234769,2379,1564,75,32
"60","Karenga District","2022W41","Karamoja",10,90,1569,NA,542,1527,16900,268986,985,545,114,65
"61","Kasese District","2022W41","Tooro",140,83.3,14625,NA,3563,8277,38992,1962484,6488,3190,1742,701
"62","Kassanda District","2022W41","North Central",35,74.3,3029,NA,1353,2376,16447,254696,1793,1065,580,180
"63","Katakwi District","2022W41","Teso",29,77.8,5938,NA,2748,5154,10090,516001,4373,3124,902,397
"64","Kayunga District","2022W41","North Central",90,77.5,6213,NA,1658,3508,46059,181874,2345,1160,1159,437
"65","Kazo District","2022W41","Ankole",35,100,1940,NA,976,1429,21973,651910,1312,866,89,88
"66","Kibaale District","2022W41","Bunyoro",30,100,2360,NA,814,1357,29945,357049,1188,724,154,63
"67","Kiboga District","2022W41","North Central",48,95.7,5506,NA,1622,2886,20905,742377,1977,1256,912,357
"68","Kibuku District","2022W41","Bukedi",19,100,7719,2,5401,7244,167774,1821980,7123,5349,83,52
"69","Kikuube District","2022W41","Bunyoro",29,100,5173,NA,3099,3723,62852,514554,3360,1951,365,239
"70","Kiruhura District","2022W41","Ankole",29,100,3104,NA,834,2229,30834,247723,2163,1031,62,28
"71","Kiryandongo District","2022W41","Bunyoro",41,60.7,2809,NA,1076,2275,26952,712874,2073,1041,232,72
"72","Kisoro District","2022W41","Kigezi",51,93.6,5652,NA,179,924,21215,193929,840,168,79,6
"73","Kitagwenda District","2022W41","Tooro",26,87.5,1211,NA,787,834,5985,24058,811,506,33,16
"74","Kitgum District","2022W41","Acholi",43,75,9001,NA,4044,6322,152333,1358905,5276,3646,604,363
"75","Koboko District","2022W41","West Nile",25,80,4193,NA,2117,3057,52794,883135,3146,2121,7,1
"76","Kole District","2022W41","Lango",50,46.9,1395,NA,710,1029,2498,393561,732,483,307,201
"77","Kotido District","2022W41","Karamoja",22,100,3863,NA,1971,3074,177831,1672043,2934,1948,34,12
"78","Kumi District","2022W41","Teso",35,100,8353,1,3781,6556,210348,1720087,5962,3348,540,223
"79","Kwania District","2022W41","Lango",44,59,2198,NA,1182,1758,12138,26762,1587,1104,156,69
"80","Kween District","2022W41","Bugisu",27,81.5,1618,NA,267,632,3383,11758,615,176,25,16
"81","Kyankwanzi District","2022W41","North Central",32,100,2274,NA,728,1297,5124,192468,519,389,792,304
"82","Kyegegwa District","2022W41","Tooro",39,58.3,5712,NA,2338,4229,54551,1098950,3965,2365,254,117
"83","Kyenjojo District","2022W41","Tooro",54,54.9,5654,2,2010,3274,16872,745854,2366,1516,910,534
"84","Kyotera District","2022W41","South Central",92,100,8286,NA,2223,4104,33141,542349,3126,1762,922,458
"85","Lamwo District","2022W41","Acholi",32,87.1,6582,NA,3698,5803,49904,2105873,4830,3309,286,159
"86","Lira City","2022W41","Lango",42,100,4345,NA,738,1590,11388,406446,719,399,868,295
"87","Lira District","2022W41","Lango",16,100,2086,NA,918,1323,1024,285419,307,226,971,678
"88","Luuka District","2022W41","Busoga",45,88.4,4147,NA,2545,3838,78874,769364,3404,2518,434,257
"89","Luwero District","2022W41","North Central",101,66.3,7343,NA,1433,3537,12408,3786662,1617,818,2029,773
"90","Lwengo District","2022W41","South Central",49,73.8,4772,NA,1291,2741,12357,121726,1860,908,889,433
"91","Lyantonde District","2022W41","South Central",50,100,2576,NA,583,1473,10056,135675,1319,662,139,35
"92","Madi-Okollo District","2022W41","West Nile",19,89.5,6271,NA,4137,5313,77419,1505502,5233,3790,78,45
"93","Manafwa District","2022W41","Bugisu",13,91.7,1132,NA,557,669,3104,110044,415,237,238,165
"94","Maracha District","2022W41","West Nile",18,100,4976,NA,3129,4582,315947,1783289,4466,3067,134,86
"95","Masaka City","2022W41","South Central",43,50,3328,NA,219,683,11739,349315,439,138,244,66
"96","Masaka District","2022W41","South Central",20,93.8,1562,NA,276,594,5500,53191,299,111,303,123
"97","Masindi District","2022W41","Bunyoro",52,76.9,6146,1,1295,3087,28436,1212595,2543,1332,540,169
"98","Mayuge District","2022W41","Busoga",61,91.7,6399,NA,2431,5053,39770,112837,4222,1969,838,390
"99","Mbale City","2022W41","Bugisu",48,97.6,6004,5,1596,3570,13678,255146,1573,667,1602,630
"100","Mbale District","2022W41","Bugisu",26,100,3698,NA,1521,3486,12566,186752,2505,1397,856,288
"101","Mbarara City","2022W41","Ankole",46,86.7,6003,NA,171,733,13540,379616,546,89,217,55
"102","Mbarara District","2022W41","Ankole",27,84.6,1783,NA,304,942,10520,122763,876,283,35,10
"103","Mitooma District","2022W41","Ankole",29,83.3,2591,NA,482,1680,22504,620997,1631,578,20,11
"104","Mityana District","2022W41","North Central",81,91.9,6576,NA,2386,3844,22171,1015779,2448,1630,1362,614
"105","Moroto District","2022W41","Karamoja",19,100,3412,NA,947,2748,39007,498098,2632,1201,110,39
"106","Moyo District","2022W41","West Nile",35,67.7,4555,NA,2316,3410,23055,2273660,2898,2035,528,252
"107","Mpigi District","2022W41","South Central",61,72.4,4968,NA,750,1938,21760,225399,1542,670,449,158
"108","Mubende District","2022W41","North Central",64,83.3,7725,NA,1823,3450,35705,481413,2808,1607,657,264
"109","Mukono District","2022W41","North Central",120,93.5,6079,NA,1503,2953,21407,536805,2037,1032,954,344
"110","Nabilatuk District","2022W41","Karamoja",6,100,1315,1,572,1027,74583,54330,998,648,29,14
"111","Nakapiripirit District","2022W41","Karamoja",13,100,1647,NA,709,1377,26550,64230,1376,676,225,143
"112","Nakaseke District","2022W41","North Central",30,73.3,2314,NA,613,1269,7925,365769,689,349,692,317
"113","Nakasongola District","2022W41","North Central",41,75.6,3793,NA,1423,2639,24675,498937,2147,1265,528,268
"114","Namayingo District","2022W41","Busoga",41,79.4,3570,NA,1872,2854,88144,299960,2792,1726,56,32
"115","Namisindwa District","2022W41","Bugisu",23,81.8,1393,NA,384,851,2820,84132,480,245,222,118
"116","Namutumba District","2022W41","Busoga",35,74.3,3576,NA,2180,2588,16212,172377,2374,1723,212,106
"117","Napak District","2022W41","Karamoja",19,100,3389,NA,1149,2330,104647,450049,2349,1111,30,9
"118","Nebbi District","2022W41","West Nile",26,92.3,5288,1,2779,3849,75188,2235439,3685,2492,163,65
"119","Ngora District","2022W41","Teso",16,46.2,1728,NA,865,1497,87133,485928,1459,882,38,10
"120","Ntoroko District","2022W41","Tooro",11,77.8,1341,NA,300,733,5632,73566,631,271,64,41
"121","Ntungamo District","2022W41","Ankole",68,84.6,6588,NA,1083,3641,75661,883239,2593,884,314,63
"122","Nwoya District","2022W41","Acholi",26,100,4110,NA,1727,2973,37033,506879,2667,1820,281,136
"123","Obongi District","2022W41","West Nile",20,84.2,4006,NA,2089,4106,68383,2808762,3949,2588,150,66
"124","Omoro District","2022W41","Acholi",40,85.2,4364,NA,2513,2912,16966,408335,2519,1877,417,254
"125","Otuke District","2022W41","Lango",17,82.4,2838,NA,1834,2443,60443,372554,2374,1690,69,44
"126","Oyam District","2022W41","Lango",82,73,4473,NA,2856,3477,89077,47917,3162,2037,295,188
"127","Pader District","2022W41","Acholi",50,93.5,9777,NA,6441,8206,201460,1987600,7310,5655,811,462
"128","Pakwach District","2022W41","West Nile",20,63.2,4443,NA,2123,3808,63124,1173442,3784,2402,24,13
"129","Pallisa District","2022W41","Bukedi",37,90,4659,NA,2393,4332,54872,427180,3886,2318,420,235
"130","Rakai District","2022W41","South Central",46,93.5,5415,NA,1669,3146,22982,3031401,2835,1640,306,112
"131","Rubanda District","2022W41","Kigezi",41,76.3,2854,NA,36,260,5330,47289,260,34,NA,NA
"132","Rubirizi District","2022W41","Ankole",33,100,1949,NA,421,1187,8939,244293,926,439,236,74
"133","Rukiga District","2022W41","Kigezi",34,100,2610,NA,87,548,21087,78530,447,78,97,10
"134","Rukungiri District","2022W41","Kigezi",96,68.8,6419,NA,787,2371,115399,1101316,2220,803,167,21
"135","Rwampara District","2022W41","Ankole",21,60,921,NA,69,358,10391,60020,358,36,NA,NA
"136","Sembabule District","2022W41","South Central",51,100,3720,NA,1353,2873,23863,1739356,2465,1215,2128,158
"137","Serere District","2022W41","Teso",27,90.9,5532,NA,2722,4876,240278,546596,4639,2908,232,93
"138","Sheema District","2022W41","Ankole",42,94.6,4025,NA,50,962,67407,227887,832,56,126,6
"139","Sironko District","2022W41","Bugisu",36,63.6,2541,NA,450,1648,24814,61740,1520,538,142,52
"140","Soroti City","2022W41","Teso",41,60,3273,4,1216,2484,59036,696424,1758,817,700,312
"141","Soroti District","2022W41","Teso",16,80,2684,NA,1775,2518,43113,320250,2404,1562,214,113
"142","Terego District","2022W41","West Nile",29,89.7,6402,NA,3934,5329,84700,1472168,5205,3771,59,37
"143","Tororo District","2022W41","Bukedi",123,85.5,16135,NA,3999,11312,37962,3323310,8541,5898,1483,909
"144","Wakiso District","2022W41","South Central",639,61.4,26360,NA,3936,10928,21206,1707789,5158,2009,5624,1631
"145","Yumbe District","2022W41","West Nile",58,100,16612,NA,10360,14230,383606,10505694,12979,9601,1148,753
"146","Zombo District","2022W41","West Nile",22,95.2,3631,NA,1303,3074,36567,2537496,3041,1324,29,2
