"","orgunitlevel3","periodid","orgunitlevel2","orgunitlevel5","HMIS.033b...Weekly.Epidemiological.Surveillance.Report...Reporting.rate","X033B.AP02..Total.OPD","X033B.CD01b..Malaria..diagnosed....Deaths","X033B.CD01a..Malaria..diagnosed.....Cases","X033B.MA01..Suspected.Malaria..Fever.","X033B.TR08..RDT..Malaria..Tests","X033B.TR01..ACT..Tablets.","X033B.MA02..Cases.Tested.with.RDT","X033B.MA03..RDT.Positive.Cases","X033B.MA04..Cases.Tested.with.Microscopy","X033B.MA05..Microscopy.Positive.Cases"
"1","Abim District","2022W41","Karamoja",21,85.7,2708,NA,749,2141,42896,437098,2046,1151,144,76
"2","Adjumani District","2022W41","West Nile",53,71.7,7854,NA,4639,7008,82360,4804227,6719,4928,272,155
"3","Agago District","2022W41","Acholi",43,69.8,9901,NA,5752,9411,77519,1782977,9483,7025,507,132
"4","Alebtong District","2022W41","Lango",21,95.2,4760,NA,2619,3432,7348,651869,2686,1947,906,590
"5","Amolatar District","2022W41","Lango",16,100,4835,NA,3076,4158,68084,138643,4035,2997,123,81
"6","Amudat District","2022W41","Karamoja",13,100,1213,NA,364,1033,13040,378620,958,344,56,22
"7","Amuria District","2022W41","Teso",27,84.6,4642,NA,2388,3737,237214,805564,3454,2224,283,165
"8","Amuru District","2022W41","Acholi",36,78.1,2998,NA,1775,2386,17174,301578,2038,1517,219,149
"9","Apac District","2022W41","Lango",53,75,4380,1,2291,3112,32822,373591,2622,1951,486,340
"10","Arua City","2022W41","West Nile",57,97,4874,1,855,1864,19674,1172170,1477,658,455,157
"11","Arua District","2022W41","West Nile",10,100,1281,NA,548,1012,23467,1281138,994,532,18,9
"12","Budaka District","2022W41","Bukedi",24,82.4,4574,NA,3312,4863,119225,276714,4820,3707,44,16
"13","Bududa District","2022W41","Bugisu",19,87.5,1869,NA,306,1217,10343,191712,755,215,471,133
"14","Bugiri District","2022W41","Busoga",59,58.2,5007,NA,2453,4121,75336,506288,3875,2461,266,115
"15","Bugweri District","2022W41","Busoga",31,93.3,2676,NA,1735,2123,36836,368782,1596,1184,530,281
"16","Buhweju District","2022W41","Ankole",20,80,1416,NA,45,213,1350,23508,163,48,18,18
"17","Buikwe District","2022W41","North Central",81,64.6,7956,NA,1272,2870,40634,983209,2362,1000,513,201
