"","orgunitlevel3","periodid","orgunitlevel2","orgunitlevel5","HMIS.033b...Weekly.Epidemiological.Surveillance.Report...Reporting.rate","X033B.AP02..Total.OPD","X033B.CD01b..Malaria..diagnosed....Deaths","X033B.CD01a..Malaria..diagnosed.....Cases","X033B.MA01..Suspected.Malaria..Fever.","X033B.TR08..RDT..Malaria..Tests","X033B.TR01..ACT..Tablets.","X033B.MA02..Cases.Tested.with.RDT","X033B.MA03..RDT.Positive.Cases","X033B.MA04..Cases.Tested.with.Microscopy","X033B.MA05..Microscopy.Positive.Cases"
"1","Abim District","2022W39","Karamoja",21,95.2,3970,NA,1094,3192,34655,373120,3091,1790,112,56
"2","Adjumani District","2022W39","West Nile",53,87,11675,NA,6862,9214,44644,6627475,8244,6596,832,533
"3","Agago District","2022W39","Acholi",43,95.3,11413,NA,6239,9551,98198,2860799,9600,7305,487,96
"4","Alebtong District","2022W39","Lango",21,95.2,5129,NA,2704,3815,35776,751761,3218,2200,597,404
"5","Amolatar District","2022W39","Lango",16,100,6423,NA,3949,4558,85918,315281,4391,3077,167,79
"6","Amudat District","2022W39","Karamoja",13,100,2141,NA,736,1640,15322,108726,1559,677,81,39
"7","Amuria District","2022W39","Teso",27,88.5,6170,NA,2538,5238,250111,1026912,4856,2915,387,161
"8","Amuru District","2022W39","Acholi",36,90.6,3627,NA,1725,2630,7674,456335,1928,1278,639,397
"9","Apac District","2022W39","Lango",53,72.7,5630,1,2704,3971,31026,459394,3485,2376,486,315
"10","Arua City","2022W39","West Nile",57,97,4576,1,2426,2932,18611,2131334,2396,1476,640,197
"11","Arua District","2022W39","West Nile",10,100,1584,NA,606,1223,31079,1369148,1206,603,16,10
"12","Budaka District","2022W39","Bukedi",24,100,5602,NA,3445,5693,102726,245444,5591,3889,95,34
"13","Bududa District","2022W39","Bugisu",19,81.2,2839,NA,467,1676,13260,221816,1164,309,545,149
"14","Bugiri District","2022W39","Busoga",59,83.6,7621,NA,3791,6504,123846,1148443,6341,4200,278,78
"15","Bugweri District","2022W39","Busoga",31,100,2856,NA,2107,2847,38572,313786,2106,1550,753,423
"16","Buhweju District","2022W39","Ankole",20,90,1912,NA,98,323,2134,23195,313,98,10,5
"17","Buikwe District","2022W39","North Central",81,63.1,8877,NA,1527,3409,52726,591197,2613,1298,738,239
"18","Bukedea District","2022W39","Teso",22,65,3978,NA,2820,3793,207951,329436,3708,2215,90,66
"19","Bukomansimbi District","2022W39","South Central",28,96.3,2797,NA,895,1327,8603,163702,1187,699,145,81
"20","Bukwo District","2022W39","Bugisu",23,73.7,1552,NA,111,685,14556,129608,685,124,31,30
"21","Bulambuli District","2022W39","Bugisu",29,73.1,2664,NA,573,1855,21829,156596,1451,631,55,25
"22","Buliisa District","2022W39","Bunyoro",15,93.3,2781,1,1049,2235,11565,244124,1452,763,487,191
"23","Bundibugyo District","2022W39","Tooro",32,100,8649,NA,3931,6036,33038,1903747,5618,4117,343,175
"24","Bunyangabu District","2022W39","Tooro",36,87.9,2677,NA,602,1164,28487,87989,849,397,333,190
"25","Bushenyi District","2022W39","Ankole",47,78.3,4805,NA,615,2134,43648,212420,2009,594,136,28
"26","Busia District","2022W39","Bukedi",37,50,3478,NA,1672,2727,15932,347832,2423,1807,290,59
"27","Butaleja District","2022W39","Bukedi",33,84,9659,NA,4123,5078,24099,1518316,3735,2798,1176,810
"28","Butambala District","2022W39","South Central",24,100,3492,NA,830,1732,32752,1168000,1280,693,486,206
"29","Butebo District","2022W39","Bukedi",11,81.8,2282,NA,1644,2079,11677,236275,1808,1367,274,172
"30","Buvuma District","2022W39","North Central",14,100,1510,NA,469,1001,19298,104818,861,389,140,80
"31","Buyende District","2022W39","Busoga",27,92.6,4128,NA,1245,2889,44564,123264,2792,1654,86,46
"32","Dokolo District","2022W39","Lango",24,100,5221,NA,2937,4291,26836,233035,4166,2888,124,49
"33","Fort Portal City","2022W39","Tooro",28,96.3,3767,3,308,1209,5574,311591,594,216,597,156
"34","Gomba District","2022W39","South Central",22,52.4,1370,NA,440,1044,6272,82944,741,393,303,86
"35","Gulu City","2022W39","Acholi",50,100,10878,2,1432,4940,19998,1181903,3636,1291,1617,408
"36","Gulu District","2022W39","Acholi",24,100,3702,NA,2453,3499,16985,140118,2792,1945,646,436
"37","Hoima City","2022W39","Bunyoro",22,75,2791,NA,397,842,7427,953908,498,169,304,130
"38","Hoima District","2022W39","Bunyoro",21,94.7,2822,NA,620,1499,8295,625464,811,401,679,251
