"","orgunitlevel3","periodid","orgunitlevel2","orgunitlevel5","HMIS.033b...Weekly.Epidemiological.Surveillance.Report...Reporting.rate","X033B.AP02..Total.OPD","X033B.CD01b..Malaria..diagnosed....Deaths","X033B.CD01a..Malaria..diagnosed.....Cases","X033B.MA01..Suspected.Malaria..Fever.","X033B.TR08..RDT..Malaria..Tests","X033B.TR01..ACT..Tablets.","X033B.MA02..Cases.Tested.with.RDT","X033B.MA03..RDT.Positive.Cases","X033B.MA04..Cases.Tested.with.Microscopy","X033B.MA05..Microscopy.Positive.Cases"
"39","Ibanda District","2022W39","Ankole",67,72.3,5262,NA,1578,3861,39060,2390377,3528,1980,105,22
"40","Iganga District","2022W39","Busoga",57,100,9869,1,4083,6755,215056,1238878,6229,3905,772,300
"41","Isingiro District","2022W39","Ankole",80,98.6,10937,NA,1478,5439,99208,1496411,5141,1485,126,39
"42","Jinja City","2022W39","Busoga",65,60,4968,NA,783,2334,27482,186582,1732,623,803,211
"43","Jinja District","2022W39","Busoga",43,60,3473,NA,1324,2244,25681,36340,1788,1046,454,103
"44","Kaabong District","2022W39","Karamoja",27,100,3212,NA,1067,2509,93790,229778,2445,1240,70,55
"45","Kabale District","2022W39","Kigezi",66,93.2,7004,NA,91,1053,15794,100197,830,86,174,10
"46","Kabarole District","2022W39","Tooro",34,100,2882,NA,664,1279,15465,142100,972,589,296,158
"47","Kaberamaido District","2022W39","Teso",16,100,5234,1,2407,3747,15027,666018,3367,2060,380,180
"48","Kagadi District","2022W39","Bunyoro",40,78.9,1849,2,427,1095,20824,348773,848,525,128,86
"49","Kakumiro District","2022W39","Bunyoro",43,91.4,3804,NA,1122,2507,34197,453523,1570,1027,867,366
"50","Kalaki District","2022W39","Teso",12,100,3038,NA,1734,2104,23987,281792,1500,1084,457,271
"51","Kalangala District","2022W39","South Central",24,100,1603,NA,91,369,8292,16499,210,71,139,32
"52","Kaliro District","2022W39","Busoga",35,85.2,4489,NA,2305,3660,18397,318092,3099,2235,627,357
"53","Kalungu District","2022W39","South Central",45,69.4,3286,NA,720,1545,5122,144240,664,318,906,442
"54","Kampala District","2022W39","Kampala",1797,88.6,63013,1,3448,13634,26049,354189,7059,1139,7754,1433
"55","Kamuli District","2022W39","Busoga",74,75.7,7896,NA,4302,5348,63030,138167,5095,3390,157,112
"56","Kamwenge District","2022W39","Tooro",41,91.4,7049,NA,2799,4665,53241,2599298,4461,2557,147,53
"57","Kanungu District","2022W39","Kigezi",58,94.5,8382,NA,1617,3994,54155,694198,3651,1570,301,92
"58","Kapchorwa District","2022W39","Bugisu",36,66.7,1980,NA,116,524,2682,64361,445,96,79,11
"59","Kapelebyong District","2022W39","Teso",14,100,3494,NA,1701,2684,99127,2236730,2656,1702,35,16
"60","Karenga District","2022W39","Karamoja",10,90,1491,NA,527,1481,19932,503082,1430,693,51,8
"61","Kasese District","2022W39","Tooro",140,95.5,14444,1,3994,9256,55443,2669070,6663,3468,2151,1024
"62","Kassanda District","2022W39","North Central",35,74.3,2314,NA,894,1785,15462,585592,830,490,752,377
"63","Katakwi District","2022W39","Teso",29,85.2,7631,NA,3039,7390,17300,659652,6625,4485,755,383
"64","Kayunga District","2022W39","North Central",90,82.5,5540,NA,1517,3071,29526,125720,2146,1017,917,328
"65","Kazo District","2022W39","Ankole",35,100,3103,NA,1257,2359,38944,1355263,2272,1217,87,66
"66","Kibaale District","2022W39","Bunyoro",30,100,2305,NA,726,1442,32659,412328,1221,671,188,81
"67","Kiboga District","2022W39","North Central",48,93.6,4670,NA,1019,1899,4763,491926,1394,781,520,180
"68","Kibuku District","2022W39","Bukedi",19,100,7765,NA,5307,7258,201377,7605011,7177,5242,103,65
"69","Kikuube District","2022W39","Bunyoro",29,72.4,2624,NA,1285,2363,13184,354567,1544,814,823,537
"70","Kiruhura District","2022W39","Ankole",29,100,3175,NA,775,1959,35600,351563,1886,812,57,24
"71","Kiryandongo District","2022W39","Bunyoro",41,89.3,4716,1,1566,3627,23389,772833,3239,1465,364,135
"72","Kisoro District","2022W39","Kigezi",51,100,8036,NA,230,1265,27157,336957,1205,240,100,10
"73","Kitagwenda District","2022W39","Tooro",26,91.7,2023,NA,850,1225,10368,89126,1166,779,58,41
"74","Kitgum District","2022W39","Acholi",43,83.3,6360,NA,2965,4596,173938,1402702,4191,2710,611,208
"75","Koboko District","2022W39","West Nile",25,90,4960,NA,2231,3355,14188,700415,3438,2186,82,44
"76","Kole District","2022W39","Lango",50,96.9,4303,NA,2355,3359,11577,646144,2914,2133,447,248
"77","Kotido District","2022W39","Karamoja",22,100,5157,NA,2588,4042,197249,1688987,4016,2730,26,17
"78","Kumi District","2022W39","Teso",35,100,9086,NA,3270,5942,246003,1775592,4761,2783,1060,439
"79","Kwania District","2022W39","Lango",44,100,2701,NA,971,2051,21650,44994,1764,1177,267,130
"80","Kween District","2022W39","Bugisu",27,88.9,2192,NA,310,838,3287,21602,750,281,20,10
"81","Kyankwanzi District","2022W39","North Central",32,95.8,1901,NA,507,1257,2279,123656,266,164,868,327
"82","Kyegegwa District","2022W39","Tooro",39,66.7,6877,1,2620,4747,49337,1154410,4263,2356,513,224
"83","Kyenjojo District","2022W39","Tooro",54,88.2,4139,1,1445,2366,19964,696547,1290,671,1127,644
"84","Kyotera District","2022W39","South Central",92,100,8206,NA,1843,3738,44623,699981,2662,1387,1076,463
"85","Lamwo District","2022W39","Acholi",32,87.1,8840,NA,5635,8125,22372,1803954,6506,4381,404,222
"86","Lira City","2022W39","Lango",42,80,3382,NA,828,1889,48973,415712,878,475,1001,293
"87","Lira District","2022W39","Lango",16,100,2273,NA,974,1474,330,138456,641,371,879,572
"88","Luuka District","2022W39","Busoga",45,93,4952,NA,3167,4489,82785,914759,4216,2978,261,143
"89","Luwero District","2022W39","North Central",101,71.4,8946,NA,1830,3815,18786,3981306,1760,882,2076,957
"90","Lwengo District","2022W39","South Central",49,81,3463,NA,1060,2188,16742,260829,1471,737,717,349
"91","Lyantonde District","2022W39","South Central",50,100,2568,NA,591,1281,20757,185941,1090,514,197,71
"92","Madi-Okollo District","2022W39","West Nile",19,100,4479,1,2440,4059,90229,1615024,4004,2924,56,35
"93","Manafwa District","2022W39","Bugisu",13,83.3,1671,NA,922,901,1440,49282,268,162,610,543
"94","Maracha District","2022W39","West Nile",18,100,5392,NA,2873,4283,283490,1420730,4156,2845,166,91
"95","Masaka City","2022W39","South Central",43,71.4,5177,NA,328,889,16159,237370,591,190,337,109
"96","Masaka District","2022W39","South Central",20,100,1677,NA,324,673,3976,77231,421,209,261,115
"97","Masindi District","2022W39","Bunyoro",52,76.9,5528,1,1082,2358,25158,706490,1982,877,317,63
"98","Mayuge District","2022W39","Busoga",61,93.3,6755,NA,3832,5377,59506,231249,4976,2558,372,144
"99","Mbale City","2022W39","Bugisu",48,90.2,6988,7,1912,3963,10271,270817,2174,1017,1797,574
"100","Mbale District","2022W39","Bugisu",26,96.2,4557,NA,1278,2949,17086,244224,2545,1248,393,167
"101","Mbarara City","2022W39","Ankole",46,80,5122,NA,133,1056,15423,414840,492,84,664,37
"102","Mbarara District","2022W39","Ankole",27,92.3,2232,NA,224,942,22835,136706,861,210,72,21
"103","Mitooma District","2022W39","Ankole",29,83.3,3337,NA,686,1789,19379,676010,1748,665,71,13
"104","Mityana District","2022W39","North Central",81,97.3,6104,NA,1890,2817,15094,1177925,857,488,1146,583
"105","Moroto District","2022W39","Karamoja",19,94.7,3256,NA,1554,2628,44450,408527,2520,1230,123,46
"106","Moyo District","2022W39","West Nile",35,71,4515,1,2170,2294,1742,2141054,268,199,623,370
"107","Mpigi District","2022W39","South Central",61,84.5,5152,NA,918,2035,25412,257491,1533,689,478,191
"108","Mubende District","2022W39","North Central",64,88.9,6735,NA,892,2509,24946,463699,1867,648,655,212
"109","Mukono District","2022W39","North Central",120,85.5,9502,NA,1924,5031,36039,582539,3520,1387,1529,534
"110","Nabilatuk District","2022W39","Karamoja",6,100,2234,1,1102,2188,65143,68130,2111,1036,60,52
"111","Nakapiripirit District","2022W39","Karamoja",13,92.3,2053,NA,814,1615,33150,74820,1608,825,201,108
"112","Nakaseke District","2022W39","North Central",30,83.3,4330,NA,848,1739,7436,464571,1076,579,712,299
"113","Nakasongola District","2022W39","North Central",41,70.7,3771,NA,1419,2677,28333,555068,2422,1312,226,105
"114","Namayingo District","2022W39","Busoga",41,70.6,4391,1,2598,3411,85160,135323,3322,2004,84,58
"115","Namisindwa District","2022W39","Bugisu",23,68.2,1721,NA,374,925,3348,92844,336,125,449,269
"116","Namutumba District","2022W39","Busoga",35,74.3,3333,NA,2181,2935,15428,189540,2478,1694,453,292
"117","Napak District","2022W39","Karamoja",19,94.4,3787,NA,1679,2784,129510,605586,2764,1516,28,21
"118","Nebbi District","2022W39","West Nile",26,100,6726,NA,3444,5712,89937,2267839,5456,3324,654,80
"119","Ngora District","2022W39","Teso",16,46.2,2568,NA,1040,2494,129256,710232,2468,1262,26,11
"120","Ntoroko District","2022W39","Tooro",11,100,1164,1,304,599,13214,97604,534,284,64,41
"121","Ntungamo District","2022W39","Ankole",68,76.9,6652,NA,866,3029,107426,749434,2693,820,340,99
"122","Nwoya District","2022W39","Acholi",26,100,4597,NA,2322,3598,34068,508747,3267,2138,330,183
"123","Obongi District","2022W39","West Nile",20,89.5,6649,NA,3314,5436,26375,3563294,4801,3155,273,158
"124","Omoro District","2022W39","Acholi",40,96.3,5763,NA,2668,4362,5288,200087,3557,2201,720,476
"125","Otuke District","2022W39","Lango",17,82.4,3463,1,2188,3135,70148,424956,3009,2289,126,80
"126","Oyam District","2022W39","Lango",82,90.5,6277,NA,2785,4344,100031,27607,4112,2758,167,76
"127","Pader District","2022W39","Acholi",50,89.1,7851,NA,5737,7752,151250,1429917,7089,5584,655,358
"128","Pakwach District","2022W39","West Nile",20,78.9,4780,2,2556,4230,55061,1695976,4190,2675,40,21
"129","Pallisa District","2022W39","Bukedi",37,90,5737,NA,3219,5343,81006,471912,5073,2963,213,93
"130","Rakai District","2022W39","South Central",46,100,5453,NA,1896,3569,29884,3184277,3060,1790,476,180
"131","Rubanda District","2022W39","Kigezi",41,92.1,3983,NA,39,425,6706,46415,414,44,8,4
"132","Rubirizi District","2022W39","Ankole",33,94.4,2331,NA,478,1246,15284,289207,863,516,358,113
"133","Rukiga District","2022W39","Kigezi",34,100,3057,NA,86,453,9967,70108,417,73,37,5
"134","Rukungiri District","2022W39","Kigezi",96,67.7,7687,NA,909,2836,124449,1188466,2702,958,118,25
"135","Rwampara District","2022W39","Ankole",21,70,1189,NA,69,364,14946,97451,364,75,NA,NA
"136","Sembabule District","2022W39","South Central",51,100,3653,NA,1046,2283,27087,797006,1982,936,134,49
"137","Serere District","2022W39","Teso",27,95.5,7260,NA,2903,6453,281302,751392,6275,3620,223,107
"138","Sheema District","2022W39","Ankole",42,89.2,4160,NA,80,744,28210,194385,730,75,34,1
"139","Sironko District","2022W39","Bugisu",36,72.7,3499,NA,900,1876,39390,92886,1861,768,3,NA
"140","Soroti City","2022W39","Teso",41,64,3907,NA,1199,2864,71841,785896,2151,1139,713,271
"141","Soroti District","2022W39","Teso",16,93.3,4561,NA,2411,3407,53749,426793,3123,2196,371,228
"142","Terego District","2022W39","West Nile",29,100,9236,NA,5752,7948,41097,1286288,7767,5636,171,112
"143","Tororo District","2022W39","Bukedi",123,96.1,20724,1,5193,13789,31212,3758849,11016,7712,2525,1274
"144","Wakiso District","2022W39","South Central",639,64.2,27133,NA,3699,10735,21487,2627800,5310,1908,5251,1433
"145","Yumbe District","2022W39","West Nile",58,91.1,15933,1,7309,13243,267165,12667899,12153,8570,1293,696
"146","Zombo District","2022W39","West Nile",22,95.2,2861,NA,1024,1717,24223,2305188,1265,551,49,12
