"location_id","national","region","district","subcounty","facility","location_name","tx_stock","cases","year","week","q1","q3","iqr","potential_outlier"
"Wtx8GzEga6v","MOH - Uganda","Tooro","Bundibugyo District","Nyahuka Town Council","Nyahuka HC IV","Nyahuka HC IV",660960,276,2022,30,6065,236812.5,230747.5,1
"X3ZIaE3ccDb","MOH - Uganda","Tooro","Kasese District","Nyakiyumbu Subcounty","Mushenene HC III","Mushenene HC III",90000,10,2022,28,143.05,18179.9999999998,18036.9499999998,1
"X7iYabwpJfR","MOH - Uganda","South Central","Kyotera District","Mutukula Town Council","Mutukula HC III","Mutukula HC III",658600,72,2022,8,56.8250000000007,77975,77918.175,1
"XI4OsjZYmtZ","MOH - Uganda","Tooro","Kasese District","Nyamwamba Division","Kasese Municipal Council HC III","Kasese Municipal Council HC III",569400,144,2022,40,594,217005,216411,1
"XJMwYIWSmOO","MOH - Uganda","Bukedi","Tororo District","Iyolwa Subcounty","Iyolwa HC III","Iyolwa HC III",1047900,NA,2022,31,3975,252487.199999999,248512.199999999,1
"XRMXI2fhgoK","MOH - Uganda","Tooro","Kyenjojo District","Butiiti Town Council","Butiiti HC III","Butiiti HC III",702000,66,2022,52,49621.5,246600,196978.5,1
"XWqf7PB1OaR","MOH - Uganda","Ankole","Isingiro District","Isingiro Town Council","Rwekubo HC IV","Rwekubo HC IV",1687480,83,2022,52,13959,126594,112635,1
"XazfKCvCCLS","MOH - Uganda","Lango","Amolatar District","Amolatar Town Council","Amolatar HC IV","Amolatar HC IV",1082480,315,2022,24,360,184938.999999997,184578.999999997,1
"XwhywEC2nrF","MOH - Uganda","South Central","Rakai District","Kiziba Subcounty (Rakai District)","Lwensinga HC II","Lwensinga HC II",8746200,140,2022,46,92268,962256.2,869988.2,1
"Y6HWuEiOwo8","MOH - Uganda","Acholi","Nwoya District","Anaka Town Council","St. Francis HC II","St. Francis HC II",60000,32,2022,13,628.5,17984,17355.5,1
"Y7AAzZu1IrM","MOH - Uganda","North Central","Kayunga District","Nazigo Town Council","Nazigo HC III","Nazigo HC III",799200,90,2022,9,7938,145354.499999997,137416.499999997,1
"YQHYY7tXAcO","MOH - Uganda","Kigezi","Rukungiri District","Eastern Division (Rukungiri MC)","North Kigezi HC IV","North Kigezi HC IV",95494,5,2022,52,64,4734.5,4670.5,1
"YkSJ96XhKro","MOH - Uganda","Bukedi","Kibuku District","Bulangira Subcounty","Bulangira HC III","Bulangira HC III",2101060,468,2022,27,984.4,802126.000000002,801141.600000002,1
"Z3WlLWhRcDR","MOH - Uganda","Lango","Otuke District","Okwang Subcounty","Barocok HC II","Barocok HC II",1215001,54,2022,31,1741.375,462115.074999997,460373.699999997,1
"Zd0CL5Qng0B","MOH - Uganda","Karamoja","Kaabong District","Kaabong West Subcounty","Kaabong Prison HC II","Kaabong Prison HC II",39960,77,2022,23,24.05,10596.7,10572.65,1
"ZqwV5PWv4Pt","MOH - Uganda","Tooro","Bundibugyo District","Tokwe Subcounty","Kanyamwirima Army HC III","Kanyamwirima Army HC III",527760,165,2022,19,5350,112342.5,106992.5,1
"a1H4RSyoXOj","MOH - Uganda","Tooro","Kyegegwa District","Hapuuyo Subcounty","Hapuuyo HC III","Hapuuyo HC III",1011060,44,2022,35,9635.45,149877,140241.55,1
"a4WmbJQWIME","MOH - Uganda","Acholi","Lamwo District","Padibe East Subcounty","Katum HC II","Katum HC II",1110160,184,2022,19,456,155346.2,154890.2,1
"a5lQTv6RKkm","MOH - Uganda","South Central","Kalungu District","Bukulula Subcounty","Kiti HC III","Kiti HC III",483200,63,2022,24,1474,57204,55730,1
"a6c8cXzJtGP","MOH - Uganda","South Central","Mpigi District","Kiringente Subcounty","Watoto HC II","Watoto HC II",4428,3,2022,6,26.2,1000,973.8,1
"a9YZv6zCYxO","MOH - Uganda","West Nile","Madi-Okollo District","Okollo Subcounty","Oyima HC III","Oyima HC III",2637702,72,2022,21,56416,390793.049999997,334377.049999997,1
"aAAa6d3Ohyf","MOH - Uganda","Bukedi","Busia District","Western Division (Busia MC)","Nabulola HC III","Nabulola HC III",3094,5,2022,36,134,1194,1060,1
"aBkmoTyWd0a","MOH - Uganda","Karamoja","Moroto District","Nadunget Subcounty","Nadunget HC III","Nadunget HC III",648800,197,2022,40,52704,279972,227268,1
"aC295RRdALc","MOH - Uganda","Kampala","Kampala District","Makindye Division","Safeguard Nursing Home Clinic HC II","Safeguard Nursing Home Clinic HC II",1202,5,2022,34,20,300,280,1
"aCfdOhOH9ni","MOH - Uganda","Karamoja","Kotido District","Western Division (Kotido MC)","Kanawat HC III","Kanawat HC III",498660,43,2022,5,16470,89617.5,73147.5,1
"aFLv0Mbd84E","MOH - Uganda","West Nile","Moyo District","Lefori Subcounty","Gwere HC II","Gwere HC II",567000,24,2022,10,9558,205992.000000001,196434.000000001,1
"aFuRtjSdg4X","MOH - Uganda","North Central","Mityana District","Ssekanyonyi  Town Council","Ssekanyonyi HC IV","Ssekanyonyi HC IV",1188440,31,2022,10,720,392555,391835,1
"aHrBkRnFBmb","MOH - Uganda","Busoga","Mayuge District","Bwondha Town Council","Bwondha HC II","Bwondha HC II",361580,103,2022,27,477,87481.9999999991,87004.9999999991,1
"aHuJWP6FfFo","MOH - Uganda","Ankole","Isingiro District","Rugaaga Subcounty","Rugaaga HC IV","Rugaaga HC IV",197136,77,2022,15,270,45907.2,45637.2,1
"aJHHl6ynpb3","MOH - Uganda","Ankole","Sheema District","Kashozi Division","Kashozi (Kashozi) HC III","Kashozi (Kashozi) HC III",144220,1,2022,17,4860,20549.5,15689.5,1
"aKoVWgIufTx","MOH - Uganda","Acholi","Agago District","Arum Subcounty","Acholpii HC III","Acholpii HC III",1443100,129,2022,2,27126.8,421110,393983.2,1
"aNM5X9P50rl","MOH - Uganda","Acholi","Agago District","Lira Palwo Subcounty","Lira Palwo HC III","Lira Palwo HC III",849696,109,2022,46,842.75,219026,218183.25,1
"aNW8E8PWwck","MOH - Uganda","Acholi","Lamwo District","Palabek Gem Subcounty","Palabek-Gem HC III","Palabek-Gem HC III",1232660,227,2022,25,630.5,271584,270953.5,1
"aOoSM1O7H9D","MOH - Uganda","Teso","Kumi District","Atutur Subcounty","Atutur Hospital","Atutur Hospital",5314200,434,2022,45,98217,499590,401373,1
