"district","year","week","total_rdt_stock","total_suspected","rdt_stock_weeks","rdt_stockout"
"Apac District",2022,2,23175,1625,14.2615384615385,"Adequate stock"
"Apac District",2022,3,16621,1772,9.37979683972912,"Adequate stock"
"Apac District",2022,4,20809,1993,10.4410436527847,"Adequate stock"
"Apac District",2022,5,18551,1874,9.8991462113127,"Adequate stock"
"Apac District",2022,6,15546,1854,8.38511326860841,"Adequate stock"
"Apac District",2022,7,62655,1735,36.1123919308357,"Overstock"
"Apac District",2022,8,85196,2824,30.1685552407932,"Overstock"
"Apac District",2022,9,93607,2879,32.5137200416811,"Overstock"
"Apac District",2022,10,95260,3176,29.9937027707809,"Overstock"
"Apac District",2022,11,67611,2845,23.7648506151142,"Overstock"
"Apac District",2022,12,73679,2714,27.1477523949889,"Overstock"
"Apac District",2022,13,58492,1992,29.363453815261,"Overstock"
"Apac District",2022,14,62605,2033,30.7943925233645,"Overstock"
"Apac District",2022,15,69123,2330,29.6665236051502,"Overstock"
"Apac District",2022,16,66661,2231,29.8794262662483,"Overstock"
"Apac District",2022,17,57916,2468,23.4667747163695,"Overstock"
"Apac District",2022,18,58558,3365,17.4020802377415,"Adequate stock"
"Apac District",2022,19,71567,3994,17.9186279419129,"Adequate stock"
"Apac District",2022,20,37518,2083,18.011521843495,"Adequate stock"
"Apac District",2022,21,36591,2644,13.839258698941,"Adequate stock"
"Apac District",2022,22,26491,2571,10.3037728510307,"Adequate stock"
"Apac District",2022,23,30691,2977,10.3093718508566,"Adequate stock"
"Apac District",2022,24,20715,4006,5.1709935097354,"Understock"
"Apac District",2022,25,26737,2901,9.21647707687005,"Adequate stock"
"Apac District",2022,26,29425,3105,9.47665056360709,"Adequate stock"
"Apac District",2022,27,21637,3486,6.20682730923695,"Understock"
"Apac District",2022,28,42825,3534,12.1179966044143,"Adequate stock"
"Apac District",2022,29,75373,4356,17.3032598714417,"Adequate stock"
"Apac District",2022,30,84296,4205,20.04661117717,"Overstock"
"Apac District",2022,31,59851,3392,17.6447523584906,"Adequate stock"
"Apac District",2022,32,39974,3238,12.3452748610253,"Adequate stock"
"Apac District",2022,33,64955,3155,20.5879556259905,"Overstock"
"Apac District",2022,34,52018,2949,17.6391997287216,"Adequate stock"
"Apac District",2022,35,48570,3041,15.9717198290036,"Adequate stock"
"Apac District",2022,36,41254,2790,14.7863799283154,"Adequate stock"
"Apac District",2022,37,30867,2817,10.9574014909478,"Adequate stock"
"Apac District",2022,38,39013,3193,12.2182900093956,"Adequate stock"
"Apac District",2022,39,31026,3971,7.81314530345001,"Understock"
"Apac District",2022,40,24120,2918,8.2659355723098,"Adequate stock"
"Apac District",2022,41,32819,3405,9.63847283406755,"Adequate stock"
"Apac District",2022,42,49671,4483,11.0798572384564,"Adequate stock"
"Apac District",2022,43,108983,4505,24.1915649278579,"Overstock"
"Apac District",2022,44,71779,5549,12.9354838709677,"Adequate stock"
"Apac District",2022,45,51639,6110,8.45155482815057,"Adequate stock"
"Apac District",2022,46,24672,2400,10.28,"Adequate stock"
"Apac District",2022,47,32303,4039,7.99777172567467,"Understock"
"Apac District",2022,48,32355,4574,7.07367730651509,"Understock"
"Apac District",2022,49,24474,4202,5.82436934792956,"Understock"
"Apac District",2022,50,11925,2841,4.1974656810982,"Understock"
"Apac District",2022,51,10299,1862,5.53114930182599,"Understock"
"Apac District",2022,52,13115,2751,4.76735732460923,"Understock"
"Arua City",2022,1,2120,1324,1.6012084592145,"Understock"
"Arua City",2022,2,4884,1007,4.85004965243297,"Understock"
"Arua City",2022,3,8140,1129,7.20992028343667,"Understock"
"Arua City",2022,4,8477,1134,7.47530864197531,"Understock"
"Arua City",2022,5,11979,1561,7.6739269698911,"Understock"
"Arua City",2022,6,13488,1105,12.206334841629,"Adequate stock"
"Arua City",2022,7,20808,1420,14.6535211267606,"Adequate stock"
"Arua City",2022,8,12724,1371,9.28081692195478,"Adequate stock"
"Arua City",2022,9,10475,954,10.9800838574423,"Adequate stock"
"Arua City",2022,10,13457,1087,12.3799448022079,"Adequate stock"
"Arua City",2022,11,13668,1742,7.84615384615385,"Understock"
"Arua City",2022,12,19305,1854,10.4126213592233,"Adequate stock"
"Arua City",2022,13,13731,1195,11.4903765690377,"Adequate stock"
"Arua City",2022,14,10686,1154,9.25996533795494,"Adequate stock"
"Arua City",2022,15,7627,746,10.2238605898123,"Adequate stock"
"Arua City",2022,16,13690,1373,9.97086671522214,"Adequate stock"
"Arua City",2022,17,18231,992,18.3780241935484,"Adequate stock"
"Arua City",2022,18,17570,1216,14.4490131578947,"Adequate stock"
"Arua City",2022,19,19570,1515,12.9174917491749,"Adequate stock"
"Arua City",2022,20,6494,503,12.9105367793241,"Adequate stock"
