"location_id","national","region","district","subcounty","facility","location_name","tx_stock","cases","year","week","q1","q3","iqr","potential_outlier"
"AjwnALSnLrK","MOH - Uganda","South Central","Rakai District","Kyalulangira Subcounty","Kibaale HC II","Kibaale HC II",240624,20,2022,51,793.14,91384.3359999997,90591.1959999997,1
"CnzSBNkUBIH","MOH - Uganda","Busoga","Namayingo District","Banda Subcounty (Namayingo District)","Lico HC III","Lico HC III",15000,NA,2022,51,28.08,6007.18400000002,5979.10400000002,1
"CyZwgWizfmy","MOH - Uganda","West Nile","Koboko District","Keri Town Council","Kuluba HC III","Kuluba HC III",11852220,351,2022,29,12429.2,4538978.39999997,4526549.19999997,1
"F4phb7m6hiz","MOH - Uganda","West Nile","Adjumani District","Pachara Subcounty","Arra HC II","Arra HC II",911880,54,2022,32,29642.4,377236.800000002,347594.400000002,1
"FvZUwmuSrzB","MOH - Uganda","Acholi","Gulu City","Gulu East","Lapeta HC II","Lapeta HC II",2178047,30,2022,10,2021.76,807443.052000004,805421.292000004,1
"GTtwaqeomFa","MOH - Uganda","Kigezi","Kisoro District","Rubuguri Town Council","Rubuguri HC IV","Rubuguri HC IV",2047200,5,2022,36,19551.04,746824.896000003,727273.856000003,1
"Gs4nX12jUeA","MOH - Uganda","West Nile","Yumbe District","Yumbe Town Council","Yumbe HC IV","Yumbe HC IV",155282040,102,2022,52,46800,47581089.9999996,47534289.9999996,1
"HXq1Fb10i3f","MOH - Uganda","Teso","Katakwi District","Katakwi Town Council","Katakwi Prisons HC II","Katakwi Prisons HC II",53997,2,2022,4,240.16,21253.1280000001,21012.9680000001,1
"JbCOhUCNMdN","MOH - Uganda","West Nile","Yumbe District","Odravu Subcounty","Igamara Health Centre HC III","Igamara Health Centre HC III",826200,218,2022,21,2333.8,322237.799999999,319903.999999999,1
"RXMQeaZcjjG","MOH - Uganda","North Central","Kyankwanzi District","Mulagi Subcounty","Nalinya Ndagire HC III","Nalinya Ndagire HC III",3394200,110,2022,20,6041.6,1103934.12,1097892.52,1
"RnXpcMWI5Zu","MOH - Uganda","West Nile","Yumbe District","Odravu Subcounty","Abiriamajo HC II","Abiriamajo HC II",14351500,243,2022,43,7449.2,5244049.42400002,5236600.22400002,1
"SElLcUjqrGg","MOH - Uganda","South Central","Kyotera District","Kyotera Town Council","Mitukula HC III","Mitukula HC III",1551460,85,2022,3,37800,572537.999999996,534737.999999996,1
"WiDK75EptX5","MOH - Uganda","Kigezi","Kanungu District","Kihihi Town Council","Kihihi HC IV","Kihihi HC IV",1127260,54,2022,31,18533.2,457470.880000001,438937.680000001,1
"YQHYY7tXAcO","MOH - Uganda","Kigezi","Rukungiri District","Eastern Division (Rukungiri MC)","North Kigezi HC IV","North Kigezi HC IV",95494,5,2022,52,64,31971.7999999997,31907.7999999997,1
"aOoSM1O7H9D","MOH - Uganda","Teso","Kumi District","Atutur Subcounty","Atutur Hospital","Atutur Hospital",5314200,434,2022,45,87161.4,2011933.2,1924771.8,1
"fOjYXPjN0QN","MOH - Uganda","South Central","Rakai District","Ddwaniro Subcounty (Rakai District)","Kayonza Ddwaniro HC II","Kayonza Ddwaniro HC II",778644,37,2022,10,119664,381733.920000001,262069.920000001,1
"hhlAmkWLbR2","MOH - Uganda","South Central","Kyotera District","Kyebe Subcounty","Gwanda HC II","Gwanda HC II",662280,15,2022,6,900,255383.999999998,254483.999999998,1
"kvZH9oA6jkJ","MOH - Uganda","Karamoja","Moroto District","Nadunget Subcounty","Loputuk HC III","Loputuk HC III",90002575,48,2022,43,405,33316828.7499998,33316423.7499998,1
"mWaRCpc5hPU","MOH - Uganda","South Central","Kalangala District","Bufumira Subcounty","Bufumira HC III","Bufumira HC III",390294,NA,2022,44,11.44,155625.971999998,155614.531999998,1
"muwJAkGOjj5","MOH - Uganda","Bukedi","Pallisa District","Kamuge Town Council","Kamuge HC III","Kamuge HC III",40326480,238,2022,46,327,15843671.9999999,15843344.9999999,1
