"location_id","national","region","district","subcounty","facility","location_name","tx_stock","cases","year","week","q1","q3","iqr","potential_outlier"
"uDSFrOfKQmE","MOH - Uganda","Ankole","Ntungamo District","Kagarama Town Council","Ihunga (Ntungamo) HC III","Ihunga (Ntungamo) HC III",224533,5,2022,30,1337.5,48846.25,47508.75,1
"uG6WV4UKNaB","MOH - Uganda","Acholi","Nwoya District","Koch Lii Subcounty","Koch Lii HC III","Koch Lii HC III",1218110,NA,2022,13,13506.5,211863.3,198356.8,1
"uIyvgXNXHmG","MOH - Uganda","Tooro","Kasese District","Kitswamba Subcounty","Nkoko HC II","Nkoko HC II",659556,22,2022,22,1806,234072,232266,1
"uXjmJ85M3yr","MOH - Uganda","Bunyoro","Hoima District","Buseruka Subcounty","Buseruka Prison Clinic","Buseruka Prison Clinic",8400,1,2022,17,213.6,1355.1,1141.5,1
"uedWK8hnc7v","MOH - Uganda","Kampala","Kampala District","Makindye Division","Makindye Maternity Home HC II","Makindye Maternity Home HC II",2800,2,2022,18,11,280,269,1
"ugRUoAaYD6f","MOH - Uganda","Kampala","Kampala District","Central Division (Kampala CCA)","Mas Medical Clinic HC II","Mas Medical Clinic HC II",1400,13,2022,42,9,443,434,1
"uqk1XgbxpCg","MOH - Uganda","West Nile","Maracha District","Alikua Subcounty","Yivu Abea HC III","Yivu Abea HC III",351100,55,2022,18,8622,45846,37224,1
"v19MRLoaChf","MOH - Uganda","Tooro","Kabarole District","Harugogo Subcounty","Nyantaboma HC III","Nyantaboma HC III",93600,77,2022,19,177,16379.9999999999,16202.9999999999,1
"vDmdUfmWS3J","MOH - Uganda","North Central","Buvuma District","Nairambi Subcounty","Lukale HC II","Lukale HC II",63000,40,2022,47,317.7,17212.4999999998,16894.7999999998,1
"vULcvu1i8di","MOH - Uganda","Bunyoro","Kikuube District","Kyangwali Subcounty","Buhuuka HC III","Buhuuka HC III",481400,NA,2022,27,11290.4,168280.000000001,156989.600000001,1
"va7uRTbKCoJ","MOH - Uganda","North Central","Luwero District","Wobulenzi Town Council","Bukalasa HC III","Bukalasa HC III",846000,31,2022,2,2952,329985,327033,1
"vhqSTH4VsL4","MOH - Uganda","Tooro","Bundibugyo District","Bundibugyo Town Council","Gadafi Medical Centre HC II","Gadafi Medical Centre HC II",40000,9,2022,27,84,14960,14876,1
"vrGLB32cp8S","MOH - Uganda","Kigezi","Rukungiri District","Nyarushanje Subcounty","Ruyonza HC II","Ruyonza HC II",1426500,NA,2022,9,4428,89279.999999996,84851.999999996,1
"vvb5iPrS8Ou","MOH - Uganda","Lango","Apac District","Akokoro Subcounty","Health Link Drugshop","Health Link Drugshop",30000,10,2022,3,91.5,8000,7908.5,1
