"district","year","week","total_cases"
"Ntoroko District",2022,29,333
"Ntoroko District",2022,3,207
"Ntoroko District",2022,30,355
"Ntoroko District",2022,31,418
"Ntoroko District",2022,32,363
"Ntoroko District",2022,33,304
"Ntoroko District",2022,34,305
"Ntoroko District",2022,35,270
"Ntoroko District",2022,36,295
"Ntoroko District",2022,37,260
"Ntoroko District",2022,38,314
"Ntoroko District",2022,4,245
"Ntoroko District",2022,40,384
"Ntoroko District",2022,41,300
"Ntoroko District",2022,42,302
"Ntoroko District",2022,43,340
"Ntoroko District",2022,44,260
"Ntoroko District",2022,45,252
"Ntoroko District",2022,46,63
"Ntoroko District",2022,47,144
"Ntoroko District",2022,48,148
"Ntoroko District",2022,49,243
"Ntoroko District",2022,5,274
"Ntoroko District",2022,50,121
"Ntoroko District",2022,51,132
"Ntoroko District",2022,52,66
"Ntoroko District",2022,6,272
"Ntoroko District",2022,7,357
"Ntoroko District",2022,8,320
"Ntoroko District",2022,9,260
"Budaka District",2022,11,4129
"Budaka District",2022,14,1516
"Budaka District",2022,15,2312
"Budaka District",2022,16,1479
"Budaka District",2022,18,1457
"Budaka District",2022,19,2513
"Budaka District",2022,20,1722
"Budaka District",2022,23,3192
"Budaka District",2022,24,4744
"Budaka District",2022,25,4868
"Budaka District",2022,27,3365
"Budaka District",2022,28,2981
"Budaka District",2022,29,3214
"Budaka District",2022,30,3551
"Budaka District",2022,31,2464
"Budaka District",2022,32,2545
"Budaka District",2022,33,2675
"Budaka District",2022,34,2798
"Budaka District",2022,35,3911
"Budaka District",2022,36,3715
"Budaka District",2022,37,3524
"Budaka District",2022,38,2590
"Budaka District",2022,39,3445
"Budaka District",2022,40,3339
"Budaka District",2022,43,3208
"Budaka District",2022,45,2786
"Budaka District",2022,46,1722
"Budaka District",2022,47,4415
"Budaka District",2022,48,2816
"Budaka District",2022,49,2230
"Budaka District",2022,50,2213
"Budaka District",2022,51,1440
"Budaka District",2022,52,1993
"Budaka District",2022,7,2677
"Budaka District",2022,8,2415
"Budaka District",2022,9,2310
"Bukomansimbi District",2022,15,331
"Bukomansimbi District",2022,21,515
"Bukomansimbi District",2022,26,504
"Bukomansimbi District",2022,29,490
"Bukomansimbi District",2022,32,377
"Bukomansimbi District",2022,33,389
"Bukomansimbi District",2022,34,277
"Bukomansimbi District",2022,35,350
"Bukomansimbi District",2022,36,395
"Bukomansimbi District",2022,37,496
"Bukomansimbi District",2022,38,609
"Bukomansimbi District",2022,39,923
"Bukomansimbi District",2022,40,925
"Bukomansimbi District",2022,41,1089
"Bukomansimbi District",2022,42,873
"Bukomansimbi District",2022,43,1275
"Bukomansimbi District",2022,44,1117
"Bukomansimbi District",2022,45,928
"Bukomansimbi District",2022,46,534
"Bukomansimbi District",2022,47,553
"Bukomansimbi District",2022,48,711
"Bukomansimbi District",2022,49,591
"Bukomansimbi District",2022,50,492
"Bukomansimbi District",2022,51,870
"Kampala District",2022,41,3656
"Kampala District",2022,42,3534
"Kampala District",2022,43,4063
"Kampala District",2022,44,3541
"Kampala District",2022,45,3783
"Kampala District",2022,49,4364
"Kampala District",2022,50,3150
"Sironko District",2022,1,1215
"Sironko District",2022,11,1222
"Sironko District",2022,12,1275
"Sironko District",2022,15,1040
"Sironko District",2022,16,1048
"Sironko District",2022,18,1035
"Sironko District",2022,2,972
"Sironko District",2022,25,1430
"Sironko District",2022,26,1919
"Sironko District",2022,3,642
"Sironko District",2022,31,1286
"Sironko District",2022,33,1077
"Sironko District",2022,35,722
"Sironko District",2022,36,663
"Sironko District",2022,37,932
"Sironko District",2022,38,1183
"Sironko District",2022,39,1062
"Sironko District",2022,4,754
"Sironko District",2022,40,911
"Sironko District",2022,41,556
"Sironko District",2022,42,967
"Sironko District",2022,43,615
"Sironko District",2022,45,572
"Sironko District",2022,47,926
"Sironko District",2022,48,885
"Sironko District",2022,49,562
"Sironko District",2022,5,886
"Sironko District",2022,50,723
"Sironko District",2022,7,575
"Sironko District",2022,8,749
"Sironko District",2022,9,803
"Lyantonde District",2022,1,962
"Lyantonde District",2022,10,302
"Lyantonde District",2022,11,330
"Lyantonde District",2022,12,353
"Lyantonde District",2022,13,669
"Lyantonde District",2022,14,645
"Lyantonde District",2022,15,441
"Lyantonde District",2022,16,599
"Lyantonde District",2022,17,603
"Lyantonde District",2022,18,845
"Lyantonde District",2022,19,1082
"Lyantonde District",2022,2,846
"Lyantonde District",2022,20,551
"Lyantonde District",2022,22,560
"Lyantonde District",2022,23,727
"Lyantonde District",2022,24,1004
"Lyantonde District",2022,25,957
"Lyantonde District",2022,26,1054
"Lyantonde District",2022,27,1007
"Lyantonde District",2022,28,1007
"Lyantonde District",2022,29,677
"Lyantonde District",2022,3,843
"Lyantonde District",2022,30,577
"Lyantonde District",2022,31,366
"Lyantonde District",2022,32,209
"Lyantonde District",2022,33,255
"Lyantonde District",2022,34,215
"Lyantonde District",2022,35,170
"Lyantonde District",2022,36,202
"Lyantonde District",2022,37,235
"Lyantonde District",2022,38,401
"Lyantonde District",2022,39,591
"Lyantonde District",2022,4,634
"Lyantonde District",2022,40,699
"Lyantonde District",2022,41,583
"Lyantonde District",2022,42,768
"Lyantonde District",2022,43,901
"Lyantonde District",2022,44,975
"Lyantonde District",2022,45,1199
