"district","year","week","total_cases"
"Mitooma District",2022,35,398
"Mitooma District",2022,36,352
"Mitooma District",2022,37,361
"Mitooma District",2022,38,495
"Mitooma District",2022,41,482
"Mitooma District",2022,42,499
"Mitooma District",2022,43,765
"Mitooma District",2022,44,573
"Mitooma District",2022,45,765
"Mitooma District",2022,46,177
"Mitooma District",2022,48,551
"Mitooma District",2022,49,524
"Mitooma District",2022,50,406
"Mitooma District",2022,51,506
"Mitooma District",2022,52,378
"Mpigi District",2022,2,394
"Mpigi District",2022,27,528
"Mpigi District",2022,28,533
"Mpigi District",2022,29,566
"Mpigi District",2022,30,622
"Mpigi District",2022,31,397
"Mpigi District",2022,32,395
"Mpigi District",2022,33,470
"Mpigi District",2022,35,372
"Mpigi District",2022,36,507
"Mpigi District",2022,40,765
"Mpigi District",2022,41,765
"Mpigi District",2022,42,639
"Mpigi District",2022,43,863
"Mpigi District",2022,48,1019
"Mpigi District",2022,5,413
"Mpigi District",2022,50,508
"Mpigi District",2022,51,748
"Mpigi District",2022,6,284
"Mpigi District",2022,8,470
"Kampala District",2022,30,3934
"Dokolo District",2022,1,2509
"Dokolo District",2022,10,2947
"Dokolo District",2022,11,3120
"Dokolo District",2022,12,3007
"Dokolo District",2022,13,2455
"Dokolo District",2022,14,2416
"Dokolo District",2022,15,2195
"Dokolo District",2022,16,2753
"Dokolo District",2022,17,3370
"Dokolo District",2022,18,3951
"Dokolo District",2022,19,4518
"Dokolo District",2022,2,1384
"Dokolo District",2022,20,5250
"Dokolo District",2022,21,4840
"Dokolo District",2022,22,3883
"Dokolo District",2022,23,5753
"Dokolo District",2022,24,5855
"Dokolo District",2022,25,3492
"Dokolo District",2022,26,3642
"Dokolo District",2022,27,4119
"Dokolo District",2022,28,4040
"Dokolo District",2022,29,4578
"Dokolo District",2022,3,1774
"Dokolo District",2022,30,4777
"Dokolo District",2022,31,3802
"Dokolo District",2022,32,4103
"Dokolo District",2022,33,3604
"Dokolo District",2022,34,3194
"Dokolo District",2022,35,2917
"Dokolo District",2022,36,2701
"Dokolo District",2022,37,2879
"Dokolo District",2022,38,3193
"Dokolo District",2022,39,2937
"Dokolo District",2022,4,1803
"Dokolo District",2022,40,2973
"Dokolo District",2022,41,2978
"Dokolo District",2022,42,2992
"Dokolo District",2022,43,7229
"Dokolo District",2022,44,6165
"Dokolo District",2022,45,4229
"Dokolo District",2022,47,3390
"Dokolo District",2022,48,3283
"Dokolo District",2022,5,1469
"Dokolo District",2022,50,2315
"Dokolo District",2022,51,1942
"Dokolo District",2022,6,1618
"Dokolo District",2022,7,1098
"Dokolo District",2022,8,2823
"Dokolo District",2022,9,3120
"Lira City",2022,1,642
"Lira City",2022,10,861
"Lira City",2022,13,625
"Lira City",2022,14,525
"Lira City",2022,15,575
"Lira City",2022,16,591
"Lira City",2022,17,752
"Lira City",2022,18,830
"Lira City",2022,19,1054
"Lira City",2022,2,492
"Lira City",2022,20,824
"Lira City",2022,21,986
"Lira City",2022,22,759
"Lira City",2022,23,1419
"Lira City",2022,24,1072
"Lira City",2022,25,1064
"Lira City",2022,26,990
"Lira City",2022,27,1047
"Lira City",2022,28,984
"Lira City",2022,29,1303
"Lira City",2022,3,675
"Lira City",2022,30,1390
"Lira City",2022,31,1210
"Lira City",2022,32,1491
"Lira City",2022,33,1228
"Lira City",2022,34,1130
"Lira City",2022,36,828
"Lira City",2022,38,884
"Lira City",2022,39,828
"Lira City",2022,4,495
"Lira City",2022,40,811
"Lira City",2022,42,849
"Lira City",2022,43,1274
"Lira City",2022,45,1496
"Lira City",2022,46,856
"Lira City",2022,49,777
"Lira City",2022,5,537
"Lira City",2022,7,543
"Lira City",2022,9,1075
"Soroti District",2022,1,1770
"Soroti District",2022,10,1652
"Soroti District",2022,11,1148
"Soroti District",2022,12,1804
"Soroti District",2022,16,1263
"Soroti District",2022,17,1162
"Soroti District",2022,18,1391
"Soroti District",2022,19,1238
"Soroti District",2022,2,974
"Soroti District",2022,22,1323
"Soroti District",2022,23,1713
"Soroti District",2022,24,3978
"Soroti District",2022,25,3749
"Soroti District",2022,26,3045
"Soroti District",2022,27,2922
"Soroti District",2022,28,2726
"Soroti District",2022,29,2547
"Soroti District",2022,3,1012
"Soroti District",2022,30,2081
"Soroti District",2022,31,1291
"Soroti District",2022,32,1523
"Soroti District",2022,33,1917
"Soroti District",2022,34,1486
"Soroti District",2022,35,1499
"Soroti District",2022,36,1510
"Soroti District",2022,37,1431
"Soroti District",2022,38,1899
"Soroti District",2022,39,2411
"Soroti District",2022,4,1224
"Soroti District",2022,40,2215
"Soroti District",2022,41,2060
"Soroti District",2022,42,1546
"Soroti District",2022,43,1917
"Soroti District",2022,44,1897
"Soroti District",2022,45,1453
"Soroti District",2022,48,1532
"Soroti District",2022,49,2054
"Soroti District",2022,5,1129
"Soroti District",2022,50,1338
"Soroti District",2022,51,1525
"Soroti District",2022,52,928
"Soroti District",2022,6,1484
"Soroti District",2022,7,1318
"Soroti District",2022,8,1556
"Soroti District",2022,9,978
"Obongi District",2022,10,487
"Obongi District",2022,13,393
"Obongi District",2022,14,364
"Obongi District",2022,17,608
"Obongi District",2022,18,533
"Obongi District",2022,19,663
"Obongi District",2022,20,1048
"Obongi District",2022,21,799
"Obongi District",2022,23,1058
"Obongi District",2022,24,1146
"Obongi District",2022,25,1168
"Obongi District",2022,26,1657
"Obongi District",2022,27,2583
"Obongi District",2022,28,2446
"Obongi District",2022,29,2054
"Obongi District",2022,30,2006
"Obongi District",2022,31,1728
"Obongi District",2022,32,2109
"Obongi District",2022,33,1752
"Obongi District",2022,34,2274
"Obongi District",2022,36,2685
"Obongi District",2022,37,3057
"Obongi District",2022,38,3176
"Obongi District",2022,39,3314
"Obongi District",2022,4,693
"Obongi District",2022,40,2102
"Obongi District",2022,41,2089
"Obongi District",2022,42,2510
"Obongi District",2022,43,2910
"Obongi District",2022,44,2206
"Obongi District",2022,45,2050
"Obongi District",2022,46,905
"Obongi District",2022,47,1953
"Obongi District",2022,48,1415
"Obongi District",2022,49,1386
"Obongi District",2022,50,621
"Obongi District",2022,51,317
"Obongi District",2022,9,321
"Kampala District",2022,13,3050
"Kampala District",2022,14,3061
"Kampala District",2022,15,2657
"Kalangala District",2022,11,217
"Kalangala District",2022,12,176
"Kalangala District",2022,13,282
"Kalangala District",2022,14,281
"Kalangala District",2022,15,200
"Kalangala District",2022,16,221
"Kalangala District",2022,18,116
"Kalangala District",2022,19,136
"Kalangala District",2022,21,132
"Kalangala District",2022,4,230
"Kalangala District",2022,47,117
"Kalangala District",2022,50,172
"Kalangala District",2022,52,193
"Oyam District",2022,24,6556
"Oyam District",2022,29,3476
"Oyam District",2022,30,4609
"Oyam District",2022,43,3680
"Ntungamo District",2022,1,1747
"Ntungamo District",2022,10,771
"Ntungamo District",2022,11,747
"Ntungamo District",2022,12,703
"Ntungamo District",2022,13,1578
"Ntungamo District",2022,14,1009
"Ntungamo District",2022,15,1126
"Ntungamo District",2022,16,1028
"Ntungamo District",2022,17,1076
"Ntungamo District",2022,18,988
"Ntungamo District",2022,19,955
"Ntungamo District",2022,2,1276
"Ntungamo District",2022,20,862
"Ntungamo District",2022,21,870
"Ntungamo District",2022,22,955
"Ntungamo District",2022,23,987
"Ntungamo District",2022,24,960
"Ntungamo District",2022,25,726
"Ntungamo District",2022,26,1142
"Ntungamo District",2022,28,943
"Ntungamo District",2022,29,1017
"Ntungamo District",2022,3,1642
"Ntungamo District",2022,30,742
"Ntungamo District",2022,31,690
"Ntungamo District",2022,32,703
"Ntungamo District",2022,33,660
"Ntungamo District",2022,35,549
"Ntungamo District",2022,36,459
"Ntungamo District",2022,38,919
"Ntungamo District",2022,39,906
"Ntungamo District",2022,4,1914
"Ntungamo District",2022,40,1026
"Ntungamo District",2022,41,1161
"Ntungamo District",2022,42,1286
"Ntungamo District",2022,43,1045
"Ntungamo District",2022,44,1379
"Ntungamo District",2022,45,1527
"Ntungamo District",2022,46,873
"Ntungamo District",2022,47,1553
"Ntungamo District",2022,48,1868
"Ntungamo District",2022,49,1554
"Ntungamo District",2022,5,1584
"Ntungamo District",2022,50,1427
"Ntungamo District",2022,51,1252
"Ntungamo District",2022,52,1237
"Ntungamo District",2022,6,1738
"Ntungamo District",2022,7,1703
"Ntungamo District",2022,8,1722
"Ntungamo District",2022,9,1259
"Agago District",2022,1,2020
"Agago District",2022,10,2749
"Agago District",2022,11,1817
"Agago District",2022,13,2173
"Agago District",2022,14,2245
"Agago District",2022,15,2100
"Agago District",2022,16,2040
"Agago District",2022,17,2398
"Agago District",2022,19,6168
"Agago District",2022,24,5803
"Agago District",2022,32,4715
"Agago District",2022,4,1695
"Agago District",2022,45,4878
"Agago District",2022,5,2040
"Agago District",2022,6,1632
"Agago District",2022,9,2808
"Gulu City",2022,1,795
"Gulu City",2022,10,861
"Gulu City",2022,11,759
"Gulu City",2022,12,870
"Gulu City",2022,13,823
"Gulu City",2022,14,805
"Gulu City",2022,15,815
"Gulu City",2022,16,1014
"Gulu City",2022,17,1461
"Gulu City",2022,18,1808
"Gulu City",2022,19,2406
"Gulu City",2022,20,2399
"Gulu City",2022,21,2560
"Gulu City",2022,22,2771
"Gulu City",2022,23,2666
"Gulu City",2022,24,2781
"Gulu City",2022,25,2060
"Gulu City",2022,26,2085
"Gulu City",2022,27,1963
"Gulu City",2022,28,1667
"Gulu City",2022,29,1617
"Gulu City",2022,3,793
"Gulu City",2022,30,1593
"Gulu City",2022,31,1757
"Gulu City",2022,32,1797
"Gulu City",2022,33,1562
"Gulu City",2022,34,1686
"Gulu City",2022,35,1915
"Gulu City",2022,36,1864
"Gulu City",2022,37,1683
"Gulu City",2022,38,1762
"Gulu City",2022,39,1432
"Gulu City",2022,4,1039
"Gulu City",2022,40,1427
"Gulu City",2022,41,1731
"Gulu City",2022,42,1485
"Gulu City",2022,43,1957
"Gulu City",2022,44,1454
"Gulu City",2022,45,1384
"Gulu City",2022,46,1158
"Gulu City",2022,48,1568
"Gulu City",2022,49,1159
"Gulu City",2022,5,902
"Gulu City",2022,50,814
"Gulu City",2022,51,707
"Gulu City",2022,52,722
"Gulu City",2022,6,886
"Gulu City",2022,7,949
"Gulu City",2022,8,1153
"Gulu City",2022,9,1078
"Gomba District",2022,39,440
"Gomba District",2022,40,779
"Gomba District",2022,41,632
"Gomba District",2022,44,936
"Gomba District",2022,46,413
"Gomba District",2022,52,787
"Sheema District",2022,6,142
"Nakaseke District",2022,1,819
"Nakaseke District",2022,18,1102
"Nakaseke District",2022,2,412
"Nakaseke District",2022,3,534
"Nakaseke District",2022,35,744
"Nakaseke District",2022,52,625
"Nakaseke District",2022,6,287
"Nakaseke District",2022,7,343
"Nakaseke District",2022,9,914
"Iganga District",2022,1,3126
"Iganga District",2022,10,2886
"Iganga District",2022,11,3402
"Iganga District",2022,12,3028
"Iganga District",2022,13,2204
"Iganga District",2022,14,2367
"Iganga District",2022,15,2900
"Iganga District",2022,16,3413
"Iganga District",2022,17,2277
"Iganga District",2022,18,3355
"Iganga District",2022,19,3457
"Iganga District",2022,2,2368
"Iganga District",2022,25,4690
"Iganga District",2022,26,4501
"Iganga District",2022,28,4257
"Iganga District",2022,29,4959
"Iganga District",2022,3,2674
"Iganga District",2022,30,4051
"Iganga District",2022,31,3297
"Iganga District",2022,32,3001
"Iganga District",2022,33,2727
"Iganga District",2022,34,3473
"Iganga District",2022,35,3465
"Iganga District",2022,36,3374
"Iganga District",2022,37,3314
"Iganga District",2022,38,3742
"Iganga District",2022,39,4083
"Iganga District",2022,4,3708
"Iganga District",2022,40,4033
"Iganga District",2022,41,3637
"Iganga District",2022,42,3612
"Iganga District",2022,43,3260
"Iganga District",2022,44,3333
"Iganga District",2022,45,3150
"Iganga District",2022,46,1856
"Iganga District",2022,47,4606
"Iganga District",2022,48,4910
"Iganga District",2022,49,3993
"Iganga District",2022,5,3020
"Iganga District",2022,50,2643
"Iganga District",2022,51,3574
"Iganga District",2022,52,3363
"Iganga District",2022,6,2633
"Iganga District",2022,8,2575
"Iganga District",2022,9,2805
"Kassanda District",2022,24,778
"Kassanda District",2022,26,848
"Kassanda District",2022,27,904
"Kassanda District",2022,28,777
"Kassanda District",2022,29,758
"Kassanda District",2022,30,779
"Kassanda District",2022,31,734
"Kassanda District",2022,33,744
"Kassanda District",2022,34,615
"Kassanda District",2022,35,768
"Kassanda District",2022,36,643
"Kassanda District",2022,37,767
"Kassanda District",2022,38,1002
"Kassanda District",2022,45,1204
"Kassanda District",2022,49,1050
"Kassanda District",2022,51,493
"Arua City",2022,48,990
"Arua City",2022,50,471
"Arua City",2022,7,669
"Amolatar District",2022,1,1484
"Amolatar District",2022,10,1949
"Amolatar District",2022,11,2238
"Amolatar District",2022,12,1850
"Amolatar District",2022,13,1722
"Amolatar District",2022,14,1446
"Amolatar District",2022,15,1337
"Amolatar District",2022,16,1670
"Amolatar District",2022,17,1554
"Amolatar District",2022,18,1851
"Amolatar District",2022,19,1800
"Amolatar District",2022,21,1180
"Amolatar District",2022,22,990
"Amolatar District",2022,24,5530
"Amolatar District",2022,27,3214
"Amolatar District",2022,28,3269
"Amolatar District",2022,29,3013
"Amolatar District",2022,3,1228
"Amolatar District",2022,30,2762
"Amolatar District",2022,31,2230
"Amolatar District",2022,33,2138
"Amolatar District",2022,34,2330
"Amolatar District",2022,35,2385
"Amolatar District",2022,36,2773
"Amolatar District",2022,37,3191
"Amolatar District",2022,38,3659
"Amolatar District",2022,39,3949
"Amolatar District",2022,4,1407
"Amolatar District",2022,40,3211
"Amolatar District",2022,41,3046
"Amolatar District",2022,42,3127
"Amolatar District",2022,43,2756
"Amolatar District",2022,44,1839
"Amolatar District",2022,45,1637
"Amolatar District",2022,47,1284
"Amolatar District",2022,48,1595
"Amolatar District",2022,5,1320
"Amolatar District",2022,50,2883
"Amolatar District",2022,51,2161
"Amolatar District",2022,52,2082
"Amolatar District",2022,6,1508
"Amolatar District",2022,7,1293
"Amolatar District",2022,8,1796
"Amolatar District",2022,9,1804
"Namayingo District",2022,21,1039
"Serere District",2022,1,1966
"Serere District",2022,10,1922
"Serere District",2022,12,1543
"Serere District",2022,14,861
"Serere District",2022,15,1343
"Serere District",2022,16,1325
"Serere District",2022,17,1515
"Serere District",2022,18,1479
"Serere District",2022,2,1325
"Serere District",2022,3,1458
"Serere District",2022,30,1925
"Serere District",2022,32,2155
"Serere District",2022,33,2207
"Serere District",2022,34,1839
"Serere District",2022,35,1972
"Serere District",2022,36,2116
"Serere District",2022,37,2352
"Serere District",2022,38,2979
"Serere District",2022,39,2903
"Serere District",2022,4,1666
"Serere District",2022,41,2722
"Serere District",2022,42,2641
"Serere District",2022,43,3374
"Serere District",2022,44,3127
"Serere District",2022,47,2109
"Serere District",2022,48,2587
"Serere District",2022,49,2905
"Serere District",2022,5,1716
"Serere District",2022,50,2515
"Serere District",2022,51,1464
"Serere District",2022,52,2305
"Serere District",2022,6,1736
"Serere District",2022,8,2239
"Serere District",2022,9,2504
"Rakai District",2022,1,3661
"Rakai District",2022,10,1906
"Rakai District",2022,11,1862
"Rakai District",2022,12,2110
"Rakai District",2022,13,1679
"Rakai District",2022,15,2415
"Rakai District",2022,16,2568
"Rakai District",2022,17,2856
"Rakai District",2022,18,2905
"Rakai District",2022,19,3707
"Rakai District",2022,2,3083
"Rakai District",2022,26,4988
"Rakai District",2022,27,4714
"Rakai District",2022,28,4686
"Rakai District",2022,29,4607
"Rakai District",2022,3,3227
"Rakai District",2022,30,3085
"Rakai District",2022,31,2187
"Rakai District",2022,32,1827
"Rakai District",2022,33,2187
"Rakai District",2022,34,1529
"Rakai District",2022,35,1443
"Rakai District",2022,36,930
"Rakai District",2022,37,978
"Rakai District",2022,38,1478
"Rakai District",2022,39,1896
"Rakai District",2022,4,3036
"Rakai District",2022,40,1597
"Rakai District",2022,41,1669
"Rakai District",2022,43,2679
"Rakai District",2022,44,2144
"Rakai District",2022,45,2608
"Rakai District",2022,46,2197
"Rakai District",2022,47,2316
"Rakai District",2022,49,2462
"Rakai District",2022,5,2139
"Rakai District",2022,51,3502
"Rakai District",2022,6,2786
"Rakai District",2022,7,2437
"Rakai District",2022,8,2451
"Busia District",2022,1,4674
"Busia District",2022,10,4957
"Busia District",2022,11,3832
"Busia District",2022,12,2946
"Busia District",2022,13,2891
"Busia District",2022,14,2586
"Busia District",2022,15,1733
"Busia District",2022,16,1733
"Busia District",2022,17,1117
"Busia District",2022,18,1440
"Busia District",2022,19,1602
"Busia District",2022,2,3183
"Busia District",2022,21,1200
"Busia District",2022,22,1324
"Busia District",2022,23,2062
"Busia District",2022,24,2522
"Busia District",2022,25,2627
"Busia District",2022,26,2241
"Busia District",2022,28,2698
"Busia District",2022,29,2215
"Busia District",2022,3,3107
"Busia District",2022,30,2243
"Busia District",2022,31,1603
"Busia District",2022,32,1668
"Busia District",2022,33,1918
"Busia District",2022,34,1972
"Busia District",2022,35,2338
"Busia District",2022,36,1642
"Busia District",2022,37,1601
"Busia District",2022,38,1807
"Busia District",2022,39,1672
"Busia District",2022,4,3856
"Busia District",2022,40,1593
"Busia District",2022,41,1168
"Busia District",2022,42,833
"Busia District",2022,43,1073
"Busia District",2022,44,1190
"Busia District",2022,45,1161
"Busia District",2022,46,1014
"Busia District",2022,47,2875
"Busia District",2022,48,2677
"Busia District",2022,49,2051
"Busia District",2022,5,2893
"Busia District",2022,50,1656
"Busia District",2022,52,855
"Busia District",2022,6,2848
"Busia District",2022,7,2874
"Busia District",2022,8,3305
"Busia District",2022,9,3909
"Masaka City",2022,13,121
"Masaka City",2022,17,332
"Masaka City",2022,24,373
"Masaka City",2022,25,414
"Masaka City",2022,31,193
"Masaka City",2022,32,151
"Masaka City",2022,36,231
"Masaka City",2022,37,199
"Masaka City",2022,39,328
"Masaka City",2022,42,365
"Masaka City",2022,45,451
"Masaka City",2022,46,238
"Masaka City",2022,50,331
"Masaka City",2022,7,256
"Rakai District",2022,14,2040
"Rakai District",2022,20,1212
"Rakai District",2022,21,2727
"Rakai District",2022,22,2740
"Rakai District",2022,23,3259
"Rakai District",2022,24,3656
"Rakai District",2022,25,4513
"Rakai District",2022,42,1837
"Rakai District",2022,48,2556
"Rakai District",2022,50,4416
"Rakai District",2022,52,3538
"Rakai District",2022,9,1744
"Kampala District",2022,1,2193
"Kampala District",2022,12,4034
"Kampala District",2022,17,2615
"Kampala District",2022,3,2031
"Kampala District",2022,5,1926
"Kampala District",2022,7,1929
"Kasese District",2022,11,3096
"Kasese District",2022,12,3329
"Kasese District",2022,15,2331
"Kasese District",2022,18,3836
"Kasese District",2022,19,3889
"Kasese District",2022,2,2580
"Kasese District",2022,3,4270
"Kasese District",2022,34,3326
"Kasese District",2022,51,1375
"Kasese District",2022,52,1201
"Kasese District",2022,7,3695
"Kampala District",2022,11,4284
"Lira District",2022,1,621
"Lira District",2022,10,2220
"Lira District",2022,11,2589
"Lira District",2022,12,2155
"Lira District",2022,13,1698
"Lira District",2022,14,1505
"Lira District",2022,15,1237
"Lira District",2022,16,1088
"Lira District",2022,17,1253
"Lira District",2022,18,1585
"Lira District",2022,19,2258
"Lira District",2022,20,1660
"Lira District",2022,21,1210
"Lira District",2022,22,980
"Lira District",2022,23,2034
"Lira District",2022,24,2168
"Lira District",2022,25,1618
"Lira District",2022,26,1570
"Lira District",2022,27,1759
"Lira District",2022,28,1444
"Lira District",2022,29,1649
"Lira District",2022,3,490
"Lira District",2022,30,2161
"Lira District",2022,31,1822
"Lira District",2022,32,1802
"Lira District",2022,33,1483
"Lira District",2022,34,1435
"Lira District",2022,35,1171
"Lira District",2022,36,1011
"Lira District",2022,37,902
"Lira District",2022,38,808
"Lira District",2022,39,974
"Lira District",2022,4,584
"Lira District",2022,40,650
"Lira District",2022,41,918
"Lira District",2022,42,1510
"Lira District",2022,43,2608
"Lira District",2022,44,2186
"Lira District",2022,45,1622
"Lira District",2022,46,1771
"Lira District",2022,47,1435
"Lira District",2022,48,1479
"Lira District",2022,49,1169
"Lira District",2022,5,529
"Lira District",2022,50,1045
"Lira District",2022,51,660
"Lira District",2022,52,627
"Lira District",2022,6,624
"Lira District",2022,7,521
"Lira District",2022,8,1244
"Lira District",2022,9,1617
"Rwampara District",2022,10,46
"Rwampara District",2022,11,85
"Rwampara District",2022,12,70
"Rwampara District",2022,13,48
"Rwampara District",2022,14,62
"Rwampara District",2022,16,101
"Rwampara District",2022,17,85
"Rwampara District",2022,19,104
"Rwampara District",2022,22,73
"Rwampara District",2022,23,119
"Rwampara District",2022,24,39
"Rwampara District",2022,26,158
"Rwampara District",2022,33,112
"Rwampara District",2022,37,119
"Rwampara District",2022,39,69
"Rwampara District",2022,42,26
"Rwampara District",2022,43,66
"Rwampara District",2022,44,79
"Rwampara District",2022,48,112
"Rwampara District",2022,52,37
"Rwampara District",2022,8,57
"Rwampara District",2022,9,43
"Kiboga District",2022,1,809
"Kiboga District",2022,10,948
"Kiboga District",2022,11,868
"Kiboga District",2022,13,604
"Kiboga District",2022,14,404
"Kiboga District",2022,15,566
"Kiboga District",2022,16,941
"Kiboga District",2022,17,951
"Kiboga District",2022,18,1594
"Kiboga District",2022,19,1726
"Kiboga District",2022,2,713
"Kiboga District",2022,25,1564
"Kiboga District",2022,26,1286
"Kiboga District",2022,27,1275
"Kiboga District",2022,28,1214
"Kiboga District",2022,29,1368
"Kiboga District",2022,3,652
"Kiboga District",2022,30,1116
"Kiboga District",2022,31,1006
"Kiboga District",2022,33,793
"Kiboga District",2022,34,851
"Kiboga District",2022,35,803
"Kiboga District",2022,36,834
"Kiboga District",2022,37,918
"Kiboga District",2022,38,1001
"Kiboga District",2022,39,1019
"Kiboga District",2022,4,568
"Kiboga District",2022,40,1140
"Kiboga District",2022,41,1622
"Kiboga District",2022,42,1742
"Kiboga District",2022,43,1791
"Kiboga District",2022,44,1808
"Kiboga District",2022,45,1783
"Kiboga District",2022,47,971
"Kiboga District",2022,48,1426
"Kiboga District",2022,49,1190
"Kiboga District",2022,5,609
"Kiboga District",2022,50,1039
"Kiboga District",2022,51,581
"Kiboga District",2022,52,769
"Kiboga District",2022,6,1009
"Kiboga District",2022,8,1203
"Kiboga District",2022,9,943
"Bugiri District",2022,10,4416
"Bugiri District",2022,11,4821
"Bugiri District",2022,13,2590
"Bugiri District",2022,14,2486
"Bugiri District",2022,15,2093
"Bugiri District",2022,16,1884
"Bugiri District",2022,17,1652
"Bugiri District",2022,18,1769
"Bugiri District",2022,19,1892
"Bugiri District",2022,20,1538
"Bugiri District",2022,21,1306
"Bugiri District",2022,22,1889
"Bugiri District",2022,23,2755
"Bugiri District",2022,24,3365
"Bugiri District",2022,25,3643
"Bugiri District",2022,26,2742
"Bugiri District",2022,27,2966
"Bugiri District",2022,32,4027
"Bugiri District",2022,33,2354
"Bugiri District",2022,34,3010
"Bugiri District",2022,35,3295
"Bugiri District",2022,37,3748
"Bugiri District",2022,38,3886
"Bugiri District",2022,40,3033
"Bugiri District",2022,41,2789
"Bugiri District",2022,42,3070
"Bugiri District",2022,44,2716
"Bugiri District",2022,45,3207
"Bugiri District",2022,46,2627
"Pallisa District",2022,12,3210
"Pallisa District",2022,15,2152
"Pallisa District",2022,16,1735
"Pallisa District",2022,19,2112
"Pallisa District",2022,20,1677
"Pallisa District",2022,21,1387
"Pallisa District",2022,22,1803
"Pallisa District",2022,34,2431
"Pallisa District",2022,39,2899
"Pallisa District",2022,48,2750
"Pallisa District",2022,5,2222
"Mbale City",2022,1,1254
"Mbale City",2022,10,1451
"Mbale City",2022,11,1576
"Mbale City",2022,12,2043
"Mbale City",2022,13,1606
"Mbale City",2022,14,1697
"Mbale City",2022,15,1771
"Mbale City",2022,17,1524
"Mbale City",2022,2,1598
"Mbale City",2022,21,1144
"Mbale City",2022,22,1295
"Mbale City",2022,23,1366
"Mbale City",2022,24,2270
"Mbale City",2022,25,1875
"Mbale City",2022,26,1923
"Mbale City",2022,27,1872
"Mbale City",2022,28,2151
"Mbale City",2022,29,2156
"Mbale City",2022,3,1327
"Mbale City",2022,30,2037
"Mbale City",2022,31,1774
"Mbale City",2022,32,1955
"Mbale City",2022,33,1614
"Mbale City",2022,34,2039
"Mbale City",2022,35,2058
"Mbale City",2022,36,2020
"Mbale City",2022,37,1914
"Mbale City",2022,38,1897
"Mbale City",2022,39,1912
"Mbale City",2022,4,1366
"Mbale City",2022,40,1932
"Mbale City",2022,41,1668
"Mbale City",2022,42,1877
"Mbale City",2022,43,1432
"Mbale City",2022,45,1420
"Mbale City",2022,46,1002
"Mbale City",2022,47,1487
"Mbale City",2022,48,1654
"Mbale City",2022,49,1712
"Mbale City",2022,5,1395
"Mbale City",2022,50,1346
"Mbale City",2022,51,1212
"Mbale City",2022,52,658
"Mbale City",2022,6,1415
"Mbale City",2022,7,1059
"Mbale City",2022,8,1552
"Mbale City",2022,9,1608
"Kitagwenda District",2022,1,577
"Kitagwenda District",2022,10,620
"Kitagwenda District",2022,11,731
"Kitagwenda District",2022,12,448
"Kitagwenda District",2022,13,550
"Kitagwenda District",2022,14,493
"Kitagwenda District",2022,16,701
"Kitagwenda District",2022,19,654
"Kitagwenda District",2022,2,406
"Kitagwenda District",2022,8,1168
"Kitagwenda District",2022,9,753
"Kayunga District",2022,1,1227
"Kayunga District",2022,10,1339
"Kayunga District",2022,11,1326
"Kayunga District",2022,12,1377
"Kayunga District",2022,13,1208
"Kayunga District",2022,14,1234
"Kayunga District",2022,15,1104
"Kayunga District",2022,16,1003
"Kayunga District",2022,17,982
"Kayunga District",2022,18,1512
"Kayunga District",2022,19,1323
"Kayunga District",2022,2,869
"Kayunga District",2022,20,1179
"Kayunga District",2022,22,1602
"Kayunga District",2022,23,2156
"Kayunga District",2022,24,2579
"Kayunga District",2022,25,2356
"Kayunga District",2022,26,1736
"Kayunga District",2022,27,1648
"Kayunga District",2022,28,1604
"Kayunga District",2022,29,1896
"Kayunga District",2022,3,915
"Kayunga District",2022,30,1581
"Kayunga District",2022,31,1286
"Kayunga District",2022,32,1367
"Kayunga District",2022,33,1209
"Kayunga District",2022,34,1289
"Kayunga District",2022,35,1151
"Kayunga District",2022,36,1490
"Kayunga District",2022,37,1326
"Kayunga District",2022,38,1477
"Kayunga District",2022,39,1517
"Kayunga District",2022,4,1006
"Kayunga District",2022,40,1667
"Kayunga District",2022,41,1778
"Kayunga District",2022,42,1616
"Kayunga District",2022,43,1693
"Kayunga District",2022,45,1406
"Kayunga District",2022,46,748
"Kayunga District",2022,48,1611
"Kayunga District",2022,49,1321
"Kayunga District",2022,5,1329
"Kayunga District",2022,50,1480
"Kayunga District",2022,51,1036
"Kayunga District",2022,52,879
"Kayunga District",2022,6,1589
"Kayunga District",2022,7,1213
"Kayunga District",2022,8,1404
"Kayunga District",2022,9,1515
"Yumbe District",2022,42,8882
"Yumbe District",2022,44,8483
"Yumbe District",2022,46,4150
"Yumbe District",2022,51,2807
"Oyam District",2022,12,3546
"Oyam District",2022,13,2931
"Oyam District",2022,14,2980
"Oyam District",2022,16,3313
"Oyam District",2022,19,5962
"Oyam District",2022,22,5520
"Oyam District",2022,23,6430
"Oyam District",2022,25,5108
"Oyam District",2022,31,3690
"Oyam District",2022,49,2572
"Kibuku District",2022,1,4891
"Kibuku District",2022,10,6370
"Kibuku District",2022,11,6957
"Kibuku District",2022,12,4668
"Kibuku District",2022,13,2910
"Kibuku District",2022,14,4095
"Kibuku District",2022,15,3234
"Kibuku District",2022,16,3011
"Kibuku District",2022,17,3436
"Kibuku District",2022,18,3948
"Kibuku District",2022,19,4487
"Kibuku District",2022,2,3426
"Kibuku District",2022,20,3506
"Kibuku District",2022,21,2622
"Kibuku District",2022,22,4142
"Kibuku District",2022,23,6799
"Kibuku District",2022,24,6616
"Kibuku District",2022,25,5697
