"location_id","national","region","district","subcounty","facility","location_name","rdt_stock","year","week","q1","q3","iqr","potential_outlier"
"GVN2Bcibhmd","MOH - Uganda","Ankole","Kiruhura District","Kanyaryeru Subcounty","Kanyaryeru (Lake Mburo) HC III","Kanyaryeru (Lake Mburo) HC III",22000,2022,42,622.5,4193.74999999992,3571.24999999992,1
"Gzcd4Zsd8iB","MOH - Uganda","Acholi","Gulu District","Owalo Subcounty","Lugore HC II","Lugore HC II",14590,2022,32,143,2441.325,2298.325,1
"H026HbOAZFN","MOH - Uganda","Acholi","Lamwo District","Padibe Town Council","Padibe HC IV","Padibe HC IV",14500,2022,37,101.25,5787.5,5686.25,1
"H0c7BcEQEG6","MOH - Uganda","Bugisu","Sironko District","Mafudu Subcounty","Nampanga HC II","Nampanga HC II",24003825,2022,50,2400,609772.499999966,607372.499999966,1
"H3LpQ7tdT1P","MOH - Uganda","Ankole","Sheema District","Kabwohe Division","Kabwohe Clinical Research Centre HC II","Kabwohe Clinical Research Centre HC II",256,2022,30,4.2,98.9,94.7,1
"H5hAGwZHpUb","MOH - Uganda","West Nile","Zombo District","Nyapea Subcounty","Nyapea Hospital","Nyapea Hospital",7000,2022,28,511.25,2892.5,2381.25,1
"H7B1Pk6eZoE","MOH - Uganda","West Nile","Yumbe District","Kei Subcounty","Tuliki HC II","Tuliki HC II",131425,2022,28,1372.5,5438.75,4066.25,1
"H7mo6x8x8yS","MOH - Uganda","Lango","Dokolo District","Agwata Subcounty","Kachung HC II","Kachung HC II",40000,2022,12,150,4951.875,4801.875,1
"HEnvHqA8JB6","MOH - Uganda","Kigezi","Rubanda District","Muko Subcounty","Ikamiro (Rubanda) HC II","Ikamiro (Rubanda) HC II",1439,2022,25,18.7,334.549999999995,315.849999999995,1
"HNMrtobhini","MOH - Uganda","North Central","Mityana District","Kalangaalo Subcounty","Holy Family Naluggi HC II","Holy Family Naluggi HC II",6780,2022,11,30.5,2328.75,2298.25,1
"HRUwvJnV3yt","MOH - Uganda","Ankole","Isingiro District","Kaberebere Town Council","Kikokwa HC III","Kikokwa HC III",40000,2022,52,114,5625,5511,1
"HXq1Fb10i3f","MOH - Uganda","Teso","Katakwi District","Katakwi Town Council","Katakwi Prisons HC II","Katakwi Prisons HC II",658,2022,46,35.5,225,189.5,1
"Hfy9aC6XZZP","MOH - Uganda","Karamoja","Napak District","Lotome Subcounty","Kalokengel HC II","Kalokengel HC II",51650,2022,24,3000,11918.7499999999,8918.74999999994,1
"IE1qzHTYuNp","MOH - Uganda","Teso","Kumi District","Nyero Subcounty","Ogooma HC II","Ogooma HC II",177500,2022,16,9057.5,21013.75,11956.25,1
"IcWeMuhOQuT","MOH - Uganda","Bukedi","Tororo District","Osukuru Subcounty","Opedede HC II","Opedede HC II",17725,2022,29,25,3826.87499999994,3801.87499999994,1
"IdRkJotD2zZ","MOH - Uganda","Kigezi","Kanungu District","Rugyeyo Subcounty","Rugyeyo HC III","Rugyeyo HC III",9000,2022,8,375,3071.875,2696.875,1
"IgDdvRDyk3K","MOH - Uganda","Karamoja","Nakapiripirit District","Moruita Subcounty","Karinga HC II","Karinga HC II",6250,2022,32,697.5,2877.49999999999,2179.99999999999,1
"IoTKrKIPsRz","MOH - Uganda","Ankole","Isingiro District","Ruborogota Subcounty","Ruborogota HC III","Ruborogota HC III",9898,2022,2,388.75,2660.57499999999,2271.82499999999,1
"IuwBI8xDqBO","MOH - Uganda","Bugisu","Mbale District","Nyondo Subcounty","Muruba HC II","Muruba HC II",9125,2022,9,1700,4317.5,2617.5,1
"JXJMQls2Z9e","MOH - Uganda","Bunyoro","Masindi District","Bwijanga Subcounty","Mihembero HC II","Mihembero HC II",11233,2022,36,130.3,2347.82499999999,2217.52499999999,1
"Jk4Ws9uWKqb","MOH - Uganda","North Central","Buikwe District","Central Division (Njeru MC)","Bugungu Yo Prison HC II","Bugungu Yo Prison HC II",11000,2022,25,603,2011.875,1408.875,1
"JxDea4ibrD2","MOH - Uganda","Ankole","Kazo District","Buremba Subcounty","Kiruhura Kabingo HC II","Kiruhura Kabingo HC II",72720,2022,50,1130,6557.2499999998,5427.2499999998,1
"K7Do3WBvmLa","MOH - Uganda","West Nile","Nebbi District","Nyaravur Subcounty","Angal Hospital","Angal Hospital",8500,2022,42,160,3486.875,3326.875,1
"KC28vpic105","MOH - Uganda","South Central","Kyotera District","Kabira Subcounty (Kyotera District)","Kabira (Kyotera) HC III","Kabira (Kyotera) HC III",7800,2022,39,25,1807.49999999999,1782.49999999999,1
"KTTl1ryBZOH","MOH - Uganda","Kigezi","Kisoro District","Murora Subcounty","Maregamo HC III","Maregamo HC III",4000,2022,37,20,550,530,1
"KhvLQSeeHZM","MOH - Uganda","Tooro","Kasese District","Kisinga Kagando Town Council","Kagando Hospital","Kagando Hospital",8400,2022,18,290,3000.00000000001,2710.00000000001,1
"KuCGJjeYQS4","MOH - Uganda","Tooro","Kasese District","Muhokya Subcounty","Muhokya HC III","Muhokya HC III",5000,2022,10,3.3,1986.59999999999,1983.29999999999,1
"Kzs1S7Hmg3e","MOH - Uganda","South Central","Mpigi District","Mpigi Town Council","Mpigi Prison HC II","Mpigi Prison HC II",720,2022,3,43,200,157,1
"LFkCyiudO0u","MOH - Uganda","Acholi","Pader District","Awere Subcounty","Angole HC II","Angole HC II",30175,2022,30,245,9441.24999999994,9196.24999999994,1
"Lcmjm7r98bi","MOH - Uganda","West Nile","Yumbe District","Midigo Subcounty","Mocha HC III","Mocha HC III",186525,2022,21,4675,24275,19600,1
"Lyd040RjHYd","MOH - Uganda","Bugisu","Bududa District","Bukalasi Subcounty","Bukalasi HC III","Bukalasi HC III",51700,2022,1,1108.75,7730,6621.25,1
"M1T2kR9PYXj","MOH - Uganda","Busoga","Namutumba District","Bulange Subcounty","Bugobi HC II","Bugobi HC II",13375,2022,13,1201.75,3544.375,2342.625,1
"M7xUX14enRA","MOH - Uganda","West Nile","Arua District","Logiri Subcounty","Anyavu HC II","Anyavu HC II",4500,2022,52,32.5,1435,1402.5,1
"MBn7aFC3OAv","MOH - Uganda","West Nile","Yumbe District","Yumbe Town Council","Yumbe Police HC II","Yumbe Police HC II",21135,2022,52,141.6,5287.35,5145.75,1
"MH0SVcF6X2F","MOH - Uganda","North Central","Luwero District","Bombo Town Council","Bombo General Military Hospital","Bombo General Military Hospital",78000,2022,5,275,16668.75,16393.75,1
"MWFDoq84Xp5","MOH - Uganda","Kampala","Kampala District","Central Division (Kampala CCA)","Bethesda Medical Centre HC III","Bethesda Medical Centre HC III",842,2022,37,15,244.400000000002,229.400000000002,1
"N22ImPbP6VG","MOH - Uganda","Kigezi","Kanungu District","Kanungu Kayonza Subcounty","Kayonza HC III","Kayonza HC III",7000,2022,5,330.1,2487.49999999999,2157.39999999999,1
"N8L6gKVGOCM","MOH - Uganda","Teso","Amuria District","Apeduru Subcounty","Amucu HC III","Amucu HC III",4000,2022,22,62.5,1250,1187.5,1
"NLIAgxXVsuv","MOH - Uganda","Kigezi","Kanungu District","Kanyantorogo Subcounty","Kanyantorogo HC III","Kanyantorogo HC III",22250,2022,2,340,7090.00000000005,6750.00000000005,1
"NQaX9PnpOiB","MOH - Uganda","Bunyoro","Kagadi District","Bwikara Subcounty","Bwikara HC III","Bwikara HC III",507500,2022,31,148,39538.9999999993,39390.9999999993,1
"NVzyUPHcrEd","MOH - Uganda","North Central","Mubende District","Kigando Subcounty","Butawata HC III","Butawata HC III",29000,2022,6,26.25,4046.875,4020.625,1
"O4KQDQzBA9s","MOH - Uganda","West Nile","Adjumani District","Dzaipi Subcounty","Elema HC II","Elema HC II",71820,2022,44,1943.75,7400,5456.25,1
"OMxnV3FYIU9","MOH - Uganda","Busoga","Luuka District","Irongo Subcounty","Kalyowa HC II","Kalyowa HC II",18500,2022,13,365,7346.59999999999,6981.59999999999,1
"OOEbAPdUMTg","MOH - Uganda","North Central","Buvuma District","Buwooya Subcounty","Lingira (Ywam) Health Centre HC II","Lingira (Ywam) Health Centre HC II",750,2022,39,11.15,189.75,178.6,1
"OwDder9Wkwn","MOH - Uganda","Tooro","Kabarole District","Mugusu Subcounty","Nyabuswa HC III","Nyabuswa HC III",30500,2022,3,239.25,11977.4999999999,11738.2499999999,1
"PCEYU4GNDtV","MOH - Uganda","West Nile","Yumbe District","Romogi Subcounty","Locomgbo HC II","Locomgbo HC II",53370,2022,23,1400,8107.37499999999,6707.37499999999,1
"PE6zvLA3vmK","MOH - Uganda","Bugisu","Namisindwa District","Lwakhakha Town Council","Buwuma HC II","Buwuma HC II",14025,2022,31,1105,5985.00000000003,4880.00000000003,1
"PR3iWtZLeMK","MOH - Uganda","Kigezi","Kanungu District","Nyanga Subcounty","Kazinga (Kanungu) HC II","Kazinga (Kanungu) HC II",9375,2022,14,50,1246.875,1196.875,1
"Pf3v59iyqdM","MOH - Uganda","Tooro","Fort Portal City","Central Division","Mucwa HC III","Mucwa HC III",4025,2022,1,2,782.849999999999,780.849999999999,1
"PwgfpQbQXTQ","MOH - Uganda","North Central","Buikwe District","Najjembe Division","Najjembe HC III","Najjembe HC III",15750,2022,28,387.5,5031.25,4643.75,1
"QUd8daomu0P","MOH - Uganda","Kampala","Kampala District","Nakawa Division","Benedict HC IV","Benedict HC IV",55418,2022,13,8.9,185.475,176.575,1
"QgpawnbKpCj","MOH - Uganda","Acholi","Kitgum District","Orom Subcounty","Akurumor HC II","Akurumor HC II",63892,2022,45,120.1,19568.1999999999,19448.0999999999,1
"Qvfoevzoi3N","MOH - Uganda","Kampala","Kampala District","Makindye Division","Doctors Diagnostic Clinic HC II","Doctors Diagnostic Clinic HC II",55,2022,9,6,19.625,13.625,1
"R5d0IRBycDO","MOH - Uganda","Kigezi","Rukungiri District","Nyakagyeme Subcounty","Ruteete HC II","Ruteete HC II",29475,2022,38,456.25,3046.875,2590.625,1
"RUGDBdVZ6oS","MOH - Uganda","Teso","Amuria District","Orungo Subcounty","Calvary Chapel HC II","Calvary Chapel HC II",7950,2022,34,390,3318.74999999999,2928.74999999999,1
"RWEo3tF0K1h","MOH - Uganda","South Central","Bukomansimbi District","Kibinge Subcounty","Mirambi HC III","Mirambi HC III",8600,2022,35,212.5,2759.375,2546.875,1
"RXMQeaZcjjG","MOH - Uganda","North Central","Kyankwanzi District","Mulagi Subcounty","Nalinya Ndagire HC III","Nalinya Ndagire HC III",39000,2022,4,25,1118.75,1093.75,1
"RgYxLndiZdy","MOH - Uganda","Kampala","Kampala District","Rubaga Division","Coweser Medical Clinic HC II","Coweser Medical Clinic HC II",20,2022,15,2,6.69999999999996,4.69999999999996,1
"RkPKHtihwLz","MOH - Uganda","Bukedi","Busia District","Lunyo Subcounty","Lunyo HC III","Lunyo HC III",62825,2022,20,459.5,11760,11300.5,1
"RndGp2J7TuE","MOH - Uganda","Ankole","Buhweju District","Kajani Town Council","Butare HC III","Butare HC III",2075,2022,18,58.4,423.55,365.15,1
"Rzh65XAwmdB","MOH - Uganda","Bukedi","Tororo District","Osukuru Subcounty","Tororo Women Prison HC II","Tororo Women Prison HC II",925,2022,17,1.2,95.9999999999999,94.7999999999999,1
"SElLcUjqrGg","MOH - Uganda","South Central","Kyotera District","Kyotera Town Council","Mitukula HC III","Mitukula HC III",20880,2022,35,787.5,2775,1987.5,1
"SPuSIQfsoKF","MOH - Uganda","North Central","Kyankwanzi District","Masodde-Kalagi Subcounty","St. Noah Vvumba HC II","St. Noah Vvumba HC II",3040,2022,51,199.1,670.749999999997,471.649999999997,1
"SSfQUjnbstd","MOH - Uganda","Bunyoro","Kiryandongo District","Kigumba Town Council","St. Mary's Kigumba HC III","St. Mary's Kigumba HC III",13000,2022,34,125,2688.55,2563.55,1
"SlTy2tz2HVD","MOH - Uganda","Tooro","Ntoroko District","Bweramule Subcounty","Bweramule HC III","Bweramule HC III",4500,2022,24,52.5,1500,1447.5,1
"T2ENFWE19Bu","MOH - Uganda","West Nile","Nebbi District","Erussi Subcounty","Jupanziri HC III","Jupanziri HC III",117500,2022,33,4000,27950.0000000001,23950.0000000001,1
"T88viUXcVgf","MOH - Uganda","Busoga","Bugiri District","Bulesa Subcounty","Kibimba HC II","Kibimba HC II",105848,2022,34,1000,30842,29842,1
"TF8Nekqc89W","MOH - Uganda","Acholi","Nwoya District","Lungulu Subcounty","Goodsheperd HC II","Goodsheperd HC II",2000,2022,16,25,563.75,538.75,1
"TOwFMUTd1XN","MOH - Uganda","Busoga","Mayuge District","Kigandalo Subcounty","Kigandalo HC IV","Kigandalo HC IV",62726,2022,9,250,8790.44999999999,8540.44999999999,1
"TROMT6DVKEl","MOH - Uganda","Bunyoro","Kikuube District","Kyangwali Subcounty","Kasonga HC II","Kasonga HC II",15900,2022,8,300,6275,5975,1
"TSYQk88VWVI","MOH - Uganda","Tooro","Fort Portal City","Central Division","Katojo Prisons HC III","Katojo Prisons HC III",1040339,2022,22,227,268024.25,267797.25,1
"TTWscca1VOu","MOH - Uganda","Teso","Ngora District","Kobuin Subcounty","Kobwin HC III","Kobwin HC III",266675,2022,23,996.75,64283.125,63286.375,1
"TTxb0snZcXk","MOH - Uganda","Ankole","Buhweju District","Nsiika Town Council","Buhweju Prison HC II","Buhweju Prison HC II",2323,2022,46,24.7,438.549999999997,413.849999999997,1
"TawGPygknTa","MOH - Uganda","Teso","Serere District","Kateta Subcounty","Kateta HC III","Kateta HC III",222229,2022,23,2116.3,41250.1999999995,39133.8999999995,1
"TnvJjgILYIg","MOH - Uganda","Tooro","Kasese District","Nyakiyumbu Subcounty","Kasese Kayanja HC II Govt","Kasese Kayanja HC II Govt",20000,2022,3,142.2,2727.5,2585.3,1
"Tyxrv2J0s0m","MOH - Uganda","Karamoja","Abim District","Nyakwae Subcounty","Oreta HC II","Oreta HC II",29500,2022,24,603.75,4017.5,3413.75,1
"UHpADuPw9qs","MOH - Uganda","West Nile","Terego District","Omugo Subcounty","Amuru(Ofua 4,5,6) HC II","Amuru(Ofua 4,5,6) HC II",10000,2022,32,176.25,4092.5,3916.25,1
"UIhutvdIhqU","MOH - Uganda","Lango","Kole District","Aboke Subcounty","Aboke HC IV","Aboke HC IV",42500,2022,12,110,15900,15790,1
"UY9Ig6Dn12j","MOH - Uganda","Busoga","Namutumba District","Magada Subcounty","Mulama HC II","Mulama HC II",5929,2022,37,257.5,2315,2057.5,1
"UhCMUEIx3V9","MOH - Uganda","Karamoja","Napak District","Lorengechora Town Council","Lorengechora HC III","Lorengechora HC III",690052,2022,4,286.8,77544.1,77257.3,1
"UzktdjDR9QA","MOH - Uganda","Kigezi","Kisoro District","Kirundo Subcounty","Kalehe HC II","Kalehe HC II",8750,2022,2,270,1050,780,1
"V1elCZIHIcR","MOH - Uganda","Kampala","Kampala District","Central Division (Kampala CCA)","Norvik Hospital","Norvik Hospital",2010,2022,7,106.25,751.75,645.5,1
"VCIAE5Bta3H","MOH - Uganda","South Central","Bukomansimbi District","Bukomansimbi Town Council","St. Mary's Maternity & Nursing Home HC III","St. Mary's Maternity & Nursing Home HC III",800,2022,2,25,225,200,1
"VES7ks4zElA","MOH - Uganda","Kigezi","Kanungu District","Kanungu Kayonza Subcounty","Bwindi Community Hospital","Bwindi Community Hospital",14000,2022,32,25,2143.75,2118.75,1
"VV5c8F4HVjw","MOH - Uganda","Ankole","Bushenyi District","Kakanju Subcounty","Kakanju HC III","Kakanju HC III",19006,2022,43,250,2524.375,2274.375,1
